t_id_predio;numero_predial;condicion_predio;destinacion_economica;uso_construccion
682405;470010102000003780002000000000;NPH;Institucional;
710255;470010106000007490001000000000;NPH;Institucional;
809368;470010110000001670007000000000;NPH;Institucional;
831836;470010102000000020030000000000;NPH;Institucional;
741596;470010101000001400901900000027;PH.Unidad_Predial;Institucional;
964580;470010101000001400901900000065;PH.Unidad_Predial;Institucional;
772318;470010101000001400901900000025;PH.Unidad_Predial;Institucional;
766604;470010104000000520035000000000;NPH;Institucional;
764596;470010108000000050001000000000;NPH;Institucional;
740885;470010102000002730003000000000;NPH;Institucional;
986197;470010002000000010401000000000;NPH;Institucional;
752364;470010102000002890001000000000;NPH;Institucional;
680538;470010101000002040014000000000;NPH;Institucional;
840077;470010106000001620029000000000;NPH;Institucional;
874094;470010103000007890001000000000;NPH;Institucional;
742284;470010114000000610007000000000;NPH;Institucional;
855990;470010101000001400901900000053;PH.Unidad_Predial;Institucional;
741540;470010101000001400901900000029;PH.Unidad_Predial;Institucional;
714419;470010104000001740001000000000;NPH;Institucional;
983695;470010109000000460004000000000;NPH;Institucional;
708536;470010900000000730002000000000;NPH;Institucional;
843953;470010104000000370001000000000;NPH;Institucional;
1070842;470010106000004170901900000087;PH.Unidad_Predial;Institucional;
826351;470010106000002090026000000000;NPH;Institucional;
694268;470010105000001660026500000001;Parque_Cementerio.Unidad_Predial;Institucional;
785541;470010101000001400901900000043;PH.Unidad_Predial;Institucional;
934089;470010115000005360001000000000;NPH;Institucional;
698571;470010001000000021141000000000;NPH;Institucional;
983035;470010102000001290002000000000;NPH;Institucional;
698484;470010106000004170901900000093;PH.Unidad_Predial;Institucional;
880088;470010003000000040067000000000;NPH;Institucional;
794721;470010102000002770003000000000;NPH;Institucional;
1066205;470010104000000280001000000000;NPH;Institucional;
1055156;470010101000000390002000000000;NPH;Institucional;
956699;470010106000001690001000000000;NPH;Institucional;
921037;470010102000002770006000000000;NPH;Institucional;
677842;470010102000003380029000000000;NPH;Institucional;
996913;470010106000004170901900000074;PH.Unidad_Predial;Institucional;
983902;470010105000001170001000000000;NPH;Institucional;
1013048;470010104000000520021000000000;NPH;Institucional;
960492;470010101000001400901900000024;PH.Unidad_Predial;Institucional;
956704;470010106000004170901900000083;PH.Unidad_Predial;Institucional;
1006899;470010101000001400901900000062;PH.Unidad_Predial;Institucional;
938953;470010106000004170901900000072;PH.Unidad_Predial;Institucional;
841040;470010102000002770005000000000;NPH;Institucional;
964624;470010106000000930001000000000;NPH;Institucional;
1004787;470010105000000020001000000000;NPH;Institucional;
741319;470010101000001490003000000000;NPH;Institucional;
905752;470010101000001670006000000000;NPH;Institucional;
797679;470010115000005330001000000000;NPH;Institucional;
722407;470010106000004170901900000084;PH.Unidad_Predial;Institucional;
819398;470010115000005350001000000000;NPH;Institucional;
865956;470010101000000080033000000000;NPH;Institucional;
749915;470010101000001260004000000000;NPH;Institucional;
922508;470010106000004170901900000077;PH.Unidad_Predial;Institucional;
847736;470010109000002280002000000000;NPH;Institucional;
998976;470010101000000450022000000000;NPH;Institucional;
778831;470010102000002150049000000000;NPH;Institucional;
704271;470010115000005300001000000000;NPH;Institucional;
1043288;470010101000000370002000000000;NPH;Institucional;
1032781;470010106000004170901900000088;PH.Unidad_Predial;Institucional;
706412;470010102000002770001000000000;NPH;Institucional;
974834;470010003000000040287000000000;NPH;Institucional;
925585;470010900000000450001000000000;NPH;Institucional;
786994;470010106000004170901900000078;PH.Unidad_Predial;Institucional;
1007958;470010101000000180003000000000;NPH;Institucional;
780850;470010101000001260005000000000;NPH;Institucional;
714621;470010106000009640001000000000;NPH;Institucional;
772320;470010101000001400901900000028;PH.Unidad_Predial;Institucional;
740332;470010106000004170007000000000;NPH;Institucional;
817482;470010106000009630001000000000;NPH;Institucional;
747609;470010101000002270001500000006;Parque_Cementerio.Unidad_Predial;Institucional;
933364;470010106000009620001000000000;NPH;Institucional;
890244;470010107000001390005000000000;NPH;Institucional;
840933;470010900000001590001500000001;Parque_Cementerio.Unidad_Predial;Institucional;
705399;470010101000002250001000000000;NPH;Institucional;
719114;470010106000004170901900000019;PH.Unidad_Predial;Institucional;
699132;470010900000000460001000000000;NPH;Institucional;
948369;470010007000000010068000000000;NPH;Institucional;
1006586;470010002000000064490000000000;NPH;Institucional;
873967;470010102000004020001000000000;NPH;Institucional;
699846;470010101000000020011000000000;NPH;Institucional;
979072;470010106000004170901900000015;PH.Unidad_Predial;Institucional;
993424;470010101000001400901900000066;PH.Unidad_Predial;Institucional;
697874;470010002000000064521000000000;NPH;Institucional;
710737;470010109000001800008500000001;Parque_Cementerio.Unidad_Predial;Institucional;
