t_id_predio;numero_predial;condicion_predio
830596;470010108000000060902900000000;PH.Matriz
982848;470010110000000910901900000000;PH.Matriz
885729;470010108000000160902900000000;PH.Matriz
935555;470010110000001820901900000000;PH.Matriz
662800;470010107000000740901900000000;PH.Matriz
1055690;470010107000000280904900000000;PH.Matriz
906065;470010104000000670902900000000;PH.Matriz
774070;470010104000000640901900000000;PH.Matriz
830937;470010107000000100910900000000;PH.Matriz
1000101;470010107000000610902900000000;PH.Matriz
912224;470010110000000380907900000000;PH.Matriz
1020861;470010107000000460903900000000;PH.Matriz
663702;470010107000000740901900000000;PH.Matriz
737366;470010106000000560901900000000;PH.Matriz
851756;470010110000000320005900000000;PH.Matriz
778455;470010110000000610901900000000;PH.Matriz
957680;470010104000000910903900000000;PH.Matriz
