t_id_predio;numero_predial;municipio
935924;470010002000000021901901050507;1
832971;470010110000000630055000000000;1
935042;470010002000000021901901020201;1
808354;470010002000000021901901020207;1
968349;470010110000000630354000000000;1
862521;470010110000001590901900000103;1
879913;470010109000003680901900000000;1
936063;470010002000000021901901040403;1
935206;470010002000000021901901020203;1
808356;470010002000000021901901050503;1
832967;470010110000000630049000000000;1
658837;470010002000000039016000000000;1
935542;470010002000000021901901050502;1
935469;470010002000000021901901030302;1
1047072;470010109000003670901900000000;1
658831;470010002000000012543000000000;1
935370;470010002000000021901901040411;1
1007242;470010110000000630051000000000;1
935202;470010002000000021901901020202;1
935463;470010002000000021901901020205;1
936419;470010002000000021901901040405;1
1061409;470010110000000630056000000000;1
658825;470010002000000039015000000000;1
668169;1151_345_C;001
935006;470010002000000021901901030303;1
935288;470010002000000021901901020204;1
968347;470010110000000630353000000000;1
933885;470010002000000021901901010110;1
935204;470010002000000021901901020211;1
862519;470010110000000580901900000020;1
690110;470010110000000630355000000000;1
935465;470010002000000021901901030307;1
935210;470010002000000021901901040408;1
935238;470010002000000021901901050511;1
935728;470010002000000021901901050506;1
920020;470010109000004190010000000000;1
935647;470010002000000021901901050505;1
658809;470010109000004170021000000000;1
658827;470010002000000039011000000000;1
658819;470010002000000020078000000000;1
935212;470010002000000021901901040410;1
658823;470010002000000039017000000000;1
935680;470010002000000021901901040401;1
937733;470010101000000850029000000000;1
862525;470010110000000380905900001362;1
658829;470010002000000039010000000000;1
673822;470010002000000039018000000000;1
658935;470010101000001440902900000000;1
680387;470010101000000850030000000000;1
1061578;470010110000000630058000000000;1
935922;470010002000000021901901040402;1
935467;470010002000000021901901050501;1
1061499;470010110000000630054000000000;1
935544;470010002000000021901901020206;1
935637;470010002000000021901901030310;1
832969;470010110000000630050000000000;1
935639;470010002000000021901901050504;1
1058198;470010101000001650901900000000;1
935332;470010002000000021901901030306;1
935208;470010002000000021901901030305;1
935046;470010002000000021901901030304;1
658821;470010002000000039013000000000;1
935044;470010002000000021901901020209;1
935649;470010002000000021901901030311;1
659221;470010110000000300005500000031;1
658839;470010002000000030110000000000;1
689601;470010110000000630356000000000;1
862523;470010110000001590901900000095;1
936510;470010002000000021901901040406;1
661752;470010109000003600134000000000;1
829521;470010002000000021901901020210;1
936554;470010002000000021901901040407;1
1058200;470010101000001840902900000000;1
936456;470010002000000021901901050510;1
828399;470010110000000630053000000000;1
936417;470010002000000021901901050509;1
935286;470010002000000021901901030301;1
935334;470010002000000021901901040409;1
1058202;470010101000001840901900000000;1
1051220;470010001000000022546000000000;1
936415;470010002000000021901901040404;1
934905;470010002000000021901901020208;1
658841;470010002000000022533000000000;1
935004;470010002000000021901901010111;1
808352;470010002000000021901901030309;1
832973;470010110000000630052000000000;1
936095;470010002000000021901901050508;1
930479;470010110000000630057000000000;1
935546;470010002000000021901901030308;1
