t_id_predio;numero_predial;destinacion_economica;t_id_construccion;t_id_unidadconstruccion
791979;470010002000000071443000000000;Lote_Urbanizable_No_Urbanizado;;1262871
1038516;470010107000001380040000000000;Lote_Urbanizable_No_Urbanizado;162018;
793116;470010002000000071323000000000;Lote_Urbanizable_No_Urbanizado;;1212135
960315;470010111000003360014000000000;Lote_Urbanizable_No_Urbanizado;110413;
741397;470010102000001010020000000000;Lote_Urbanizable_No_Urbanizado;217541;
866971;470010105000000930110000000000;Lote_Urbanizable_No_Urbanizado;218002;
790410;470010110000001020001000000000;Lote_Urbanizable_No_Urbanizado;;1243100
1064854;470010002000000051931000000000;Lote_Urbanizable_No_Urbanizado;;1212379
678982;470010002000000071434000000000;Lote_Urbanizable_No_Urbanizado;;1210696
1055888;470010110000000040002000000000;Lote_Urbanizable_No_Urbanizado;;1225891
662862;470010110000000310002000000000;Lote_Urbanizable_No_Urbanizado;;1206563
1002114;470010111000002210002000000000;Lote_Urbanizable_No_Urbanizado;214258;
808903;470010110000001860002000000000;Lote_Urbanizable_No_Urbanizado;215061;
1006286;470010002000000071431000000000;Lote_Urbanizable_No_Urbanizado;138031;
1061213;470010002000000051917000000000;Lote_Urbanizable_No_Urbanizado;199329;
1035910;470010107000000930032000000000;Lote_Urbanizable_No_Urbanizado;;1278164
924178;470010002000000067050500000001;Lote_Urbanizable_No_Urbanizado;218937;
894137;470010002000000051930000000000;Lote_Urbanizable_No_Urbanizado;;1208893
986627;470010111000002030005000000000;Lote_Urbanizable_No_Urbanizado;208509;
878536;470010112000003090014000000000;Lote_Urbanizable_No_Urbanizado;198642;
818343;470010002000000071419000000000;Lote_Urbanizable_No_Urbanizado;193995;
970601;470010002000000065730000000000;Lote_Urbanizable_No_Urbanizado;165496;
743866;470010002000000051933000000000;Lote_Urbanizable_No_Urbanizado;120135;
857504;470010001000000020901900001575;Lote_Urbanizable_No_Urbanizado;;1218651
880899;470010002000000020870000000000;Lote_Urbanizable_No_Urbanizado;207464;
748709;470010002000000051915000000000;Lote_Urbanizable_No_Urbanizado;201570;
790140;470010002000000051861000000000;Lote_Urbanizable_No_Urbanizado;128289;
844034;470010109000003690001000000000;Lote_Urbanizable_No_Urbanizado;;1194737
1018249;470010002000000071444000000000;Lote_Urbanizable_No_Urbanizado;219035;
701877;470010102000000290009000000000;Lote_Urbanizable_No_Urbanizado;139680;
921352;470010900000000510020000000000;Lote_Urbanizable_No_Urbanizado;141220;
684750;470010110000000380556000000000;Lote_Urbanizable_No_Urbanizado;127818;
968597;470010115000003930024000000000;Lote_Urbanizable_No_Urbanizado;;1206753
868673;470010110000000130011000000000;Lote_Urbanizable_No_Urbanizado;259296;
879776;470010110000000310005000000000;Lote_Urbanizable_No_Urbanizado;101704;
914966;470010110000001690018000000000;Lote_Urbanizable_No_Urbanizado;;1197449
790194;470010002000000051921000000000;Lote_Urbanizable_No_Urbanizado;150918;
992712;470010111000002520016000000000;Lote_Urbanizable_No_Urbanizado;192459;
667178;470010110000001130017000000000;Lote_Urbanizable_No_Urbanizado;249981;
835125;470010002000000071425000000000;Lote_Urbanizable_No_Urbanizado;;1200082
999569;470010002000000022564000000000;Lote_Urbanizable_No_Urbanizado;123680;
722301;470010105000001150045000000000;Lote_Urbanizable_No_Urbanizado;101493;
912847;470010003000000010225500000195;Lote_Urbanizable_No_Urbanizado;270932;
1008671;470010002000000071438000000000;Lote_Urbanizable_No_Urbanizado;;1198728
789585;470010002000000071433000000000;Lote_Urbanizable_No_Urbanizado;;1190896
725944;470010110000002560007200000001;Lote_Urbanizable_No_Urbanizado;;1230928
1049948;470010111000003840001000000000;Lote_Urbanizable_No_Urbanizado;;1269153
