t_id_copropiedad;t_id_unidadpredial;t_id_prediomatriz;coeficiente
3026976;3026974;1047947;0.0000000000
978710;978708;858908;0.0000000000
3018384;3018382;858908;0.0000000000
1020265;1020263;858908;0.0000000000
1047926;1047924;790855;0.0000000000
1052404;1052402;858908;0.0000000000
3021507;3021505;983136;0.0000000000
1000735;1000733;858908;0.0000000000
1001775;1001773;858908;0.0000000000
3026484;3026482;1047947;0.0000000000
3024294;3024292;1047947;0.0000000000
3010905;3010903;858908;0.0000000000
3026850;3026848;1047947;0.0000000000
1059561;1059559;1055821;0.0000000000
3022761;3022759;1041389;0.0000000000
1060327;1060325;1047947;0.0000000000
858321;858319;750029;0.0000000000
3017601;3017599;858908;0.0000000000
3025200;3025198;1047947;0.0000000000
3013866;3013864;1055821;0.0000000000
3010650;3010648;858908;0.0000000000
1004478;1004476;750029;0.0000000000
862752;862750;858908;0.0000000000
3013551;3013549;858908;0.0000000000
3024864;3024862;1047947;0.0000000000
3008202;3008200;858908;0.0000000000
750033;750029;750029;0.0000000000
994627;994625;858908;0.0000000000
3027051;3027049;1047947;0.0000000000
997195;997193;858908;0.0000000000
1063662;1063660;858908;0.0000000000
906327;906325;858908;0.0000000000
961419;961417;858908;0.0000000000
1002779;1002777;858908;0.0000000000
994640;994638;858908;0.0000000000
3021420;3021418;858908;0.0000000000
3008706;3008704;858908;0.0000000000
3027297;3027295;1041389;0.0000000000
3009645;3009643;750029;0.0000000000
960397;960395;858908;0.0000000000
1064467;1064465;858908;0.0000000000
993057;993055;661641;0.0000000000
869902;869900;790855;0.0000000000
1048597;1048595;1047947;0.0000000000
3008214;3008212;858908;0.0000000000
995948;995946;858908;0.0000000000
821922;821920;763230;0.0000000000
3026049;3026047;1047947;0.0000000000
3019206;3019204;1047947;0.0000000000
1002670;1002668;858908;0.0000000000
3008268;3008266;858908;0.0000000000
3026712;3026710;1047947;0.0000000000
3013167;3013165;750029;0.0000000000
3017256;3017254;858908;0.0000000000
3020910;3020908;858908;0.0000000000
3017502;3017500;858908;0.0000000000
1051665;1051663;1047947;0.0000000000
994822;994820;858908;0.0000000000
925644;925642;858908;0.0000000000
3023697;3023695;1047947;0.0000000000
994380;994378;763230;0.0000000000
3010227;3010225;858908;0.0000000000
1033303;1033301;858908;0.0000000000
993404;993402;858908;0.0000000000
919778;919776;858908;0.0000000000
1063647;1063645;858908;0.0000000000
3026448;3026446;1047947;0.0000000000
957560;957558;858908;0.0000000000
3017814;3017812;858908;0.0000000000
1063628;1063626;1041389;0.0000000000
3017808;3017806;1047947;0.0000000000
1018112;1018110;858908;0.0000000000
1007838;1007836;858908;0.0000000000
996420;996418;858908;0.0000000000
790859;790855;790855;0.0000000000
3023331;3023329;1047947;0.0000000000
3009651;3009649;858908;0.0000000000
878645;878643;858908;0.0000000000
3015705;3015703;983136;0.0000000000
3026826;3026824;1041389;0.0000000000
3008946;3008944;983136;0.0000000000
