t_id_predio;numero_predial;matricula_inmobiliaria
1038614;470010107000000280903901010112;430a
1069908;470010003000000011987000000000;55911-96
670848;470010105000000960013000000000;1010261-54271
932051;470010002000000021901901010103;1S6732
875537;470010115000006650903900002458;-133578
1029751;470010800000000810006000000000;35086-89
878796;470010003000000060005000000000;201042600365-62
817337;470010002000000010302000000000;222-35466
1002034;470010103000002810007000000000;44759-
953798;470010106000011540029000000000;-133273
800886;470010002000000040908900005636;-118195
666790;470010103000001760007000000000;17360-
717549;470010103000001760004000000000;19229-
1037489;470010103000000970008000000000;46668-97
862960;470010104000001190011000000000;8934-
1054290;470010113000000780048000000000;0890-137608
1025632;470010112000000880011000000000;84538-2004
873776;470010001000000021277500000002;080-110753
737260;470010107000000910013000000000;202024600746-65
904397;470010107000000840029000000000;13155-
1042385;470010103000001760003000000000;17045-
971315;470010103000001760006000000000;16032-
838559;470010103000001760001000000000;7293-
801217;470010110000000830901900000221;-147797
1012464;470010103000001760002000000000;6767-
1025305;470010103000001760008000000000;10824-
740706;470010004000000010043000000000;-133191
785866;470010106000007930007000000000;66960-
874595;470010112000000140020000000000;83596-
947730;470010800000001290007000000000;74631T
813389;470010103000001760012000000000;12540-
1033916;470010109000000140021000000000;97508-
844149;470010115000006650901900001005;-125858
684273;470010101000001650901900000058;-107884
817146;470010002000000022631000000000;-117193
734634;470010103000001760013000000000;25218-
1002488;470010002000000060901900000048;-114582
669740;470010800000000080007000000000;28102T
