t_id_unidadconstruccion;t_id_caracteristicaunidadconstruccion;tipo_unidad_construccion;uso_construccion;total_habitaciones
1235761;64804;Residencial;Residencial.Depositos_Lockers;1
1273128;73333;Residencial;Residencial.Garajes_En_PH;2
1269859;69776;Residencial;Residencial.Garajes_Cubiertos;1
1264864;56185;Residencial;Residencial.Garajes_Cubiertos;1
1208582;72471;Residencial;Residencial.Garajes_Cubiertos;1
1211898;47945;Residencial;Residencial.Garajes_Cubiertos;1
1249658;59618;Residencial;Residencial.Salon_Comunal;3
1268675;81480;Residencial;Residencial.Garajes_En_PH;2
1215917;84611;Residencial;Residencial.Garajes_En_PH;2
1243488;46986;Residencial;Residencial.Salon_Comunal;2
1188374;48997;Residencial;Residencial.Garajes_Cubiertos;1
1193161;48998;Residencial;Residencial.Garajes_Cubiertos;2
1272461;70952;Residencial;Residencial.Garajes_Cubiertos;1
1205227;66126;Residencial;Residencial.Garajes_Cubiertos;1
1233380;82895;Residencial;Residencial.Garajes_En_PH;2
1243455;54208;Residencial;Residencial.Garajes_En_PH;2
1274757;78918;Residencial;Residencial.Garajes_En_PH;2
1215896;84598;Residencial;Comercial.Hoteles;2
1230909;54150;Residencial;Residencial.Garajes_En_PH;2
1200361;66250;Residencial;Residencial.Garajes_Cubiertos;1
1235328;50181;Residencial;Residencial.Salon_Comunal;1
1196222;69076;Residencial;Residencial.Depositos_Lockers;1
1247011;74661;Residencial;Residencial.Garajes_En_PH;2
1257378;48998;Residencial;Residencial.Garajes_Cubiertos;2
1199899;72071;Residencial;Residencial.Garajes_Cubiertos;1
1240280;81128;Residencial;Residencial.Garajes_En_PH;2
1277065;67635;Residencial;Residencial.Garajes_Cubiertos;1
1263894;16220;Residencial;Residencial.Garajes_Cubiertos;1
1201559;80945;Residencial;Residencial.Garajes_Cubiertos;1
1252936;74327;Residencial;Residencial.Garajes_En_PH;2
1210454;60010;Residencial;Residencial.Depositos_Lockers;3
1194429;57923;Residencial;Residencial.Salon_Comunal;1
1210973;55952;Residencial;Residencial.Garajes_Cubiertos;1
1268644;76012;Residencial;Residencial.Garajes_En_PH;2
1189637;63569;Residencial;Residencial.Garajes_Cubiertos;1
