t_id_unidadconstruccion;planta_ubicacion
1245338;4
1282343;1
1242327;4
1263508;5
1215942;1
1220304;0
1221195;0
1282137;4
1239431;5
1236479;2
1216315;1
1216320;1
1236475;2
1226695;5
1221280;3
1258629;2
1236466;5
1233220;4
1219777;0
1282342;1
1242326;2
1216314;1
1233217;4
1216375;1
1233209;4
1279396;5
1279395;5
1276553;4
1216358;1
1239435;2
