t_id_predio;numero_predial
693697;470010106000009230010500000001
888146;470010103000004530028500000002
757389;470010001000000021772500000040
693477;470010101000002200029500000001
772259;470010106000007840003500000001
889829;470010103000005390013500000001
809861;470010115000000820007500000011
880028;470010101000002270001500000004
3024253;470010107000000080908901050334
934747;470010104000001030096500000001
806587;470010104000000300904901020097
888604;470010110000000630901901020094
750620;470010109000002060094500000001
923355;470010600000000010001500000025
866667;470010114000001250001500000002
845250;470010900000001840019500000001
798353;470010900000000900135500000001
834650;470010112000000490001500000006
674750;470010105000001930029500000001
3020290;470010110000000620902901990176
714144;470010106000011300012500000001
843814;470010111000000340001500000006
800891;470010106000001130042500000001
676095;470010800000000570001500000003
705647;470010111000003640001500000004
937932;470010102000000770005500000294
846511;470010002000000044547500000176
783981;470010102000000770005500000092
868485;470010103000002120003500000001
894344;470010114000000780045500000094
774690;470010110000000680086000000000
920929;470010106000009410043500000001
659683;470010106000008610014500000001
873391;470010106000011780013500000001
978411;470010114000000660008500000008
936790;470010103000004620010500000073
888819;470010109000001230016500000001
815609;470010103000003860008500000001
850944;470010114000000720049500000001
1033465;470010103000004580030500000001
689092;470010102000000770005500000066
751117;470010109000000900006500000001
869486;470010109000001750009500000002
929980;470010106000003810001500000001
877097;470010103000005700002500000002
947203;470010115000001780023500000001
940879;470010105000002180001500000043
889203;470010106000005770018500000010
718279;470010103000007310059500000001
701347;470010900000000900045500000190
828017;470010003000000010671500000161
775062;470010103000004620006500000161
796477;470010105000002150077500000045
888727;470010113000001070001500000001
975776;470010106000009820001500000010
832588;470010003000000060132500000001
900679;470010112000000270009500000002
668458;470010109000001590010500000002
820646;470010114000001190029500000007
778017;470010103000001710032500000001
947232;470010103000003050024500000001
700885;470010106000010100007500000001
947781;470010110000000380903901000695
894425;470010003000000012429500000001
776088;470010001000000021424500000006
836294;470010108000000180902901140104
787757;470010002000000065076500000023
887596;470010003000000012659500000001
892130;470010114000000290001500000005
827123;470010109000001520003500000001
685682;470010110000002400001000000000
801417;470010103000000450157500000001
932086;470010106000009400013500000001
933630;470010002000000051083500000043
702169;470010106000001710108500000001
942342;470010106000003730023500000001
748982;470010103000003670002500000001
785492;470010103000004620010500000220
812846;470010103000000820064500000001
1009452;470010106000010260017500000001
801873;470010111000000670001500000046
964604;470010109000001520025500000001
714801;470010106000010680004500000001
815254;470010114000001290001500000104
819438;470010106000001140106500000001
924660;470010003000000010923500000250
686944;470010106000010300020500000001
687413;470010106000010900016500000001
982021;470010107000000630904901000283
893000;470010106000009810012500000001
994066;470010110000001190010500000001
756562;470010112000001360001500000007
667924;470010106000011480004500000001
873113;470010103000001710318500000001
840512;470010106000009410030500000001
833133;470010114000001430010500000001
784164;470010007000000020004500000067
789541;470010114000000780045500000001
969927;470010002000000044547500000140
666405;470010111000004040001500000001
674875;470010106000000310137500000002
849346;470010106000010500011500000001
819056;470010112000000180010500000001
844501;470010106000009460020500000001
838578;470010002000000065545500000001
714026;470010105000000650015500000001
1048812;470010107000000690907901010358
1042630;470010115000002650043500000018
942072;470010112000001200007500000007
897225;470010103000001090026500000001
731848;470010103000002010006500000001
959113;470010900000000290027500000001
833931;470010106000000130048500000001
752378;470010106000001530009500000001
836029;470010103000003650021500000002
832076;470010109000001360004500000001
690847;470010106000009360020500000001
707301;470010103000005430006500000002
973197;470010001000000021293500000002
978512;470010103000005200045500000002
786282;470010103000004610010500000001
833223;470010109000003540007500000001
1001811;470010110000000870902901130252
779214;470010103000003000005500000001
887409;470010104000000540901901010001
880247;470010106000003230012500000001
678444;470010106000009040091500000001
982965;470010110000000640903900010698
974698;470010106000004340006500000001
797786;470010105000002640001500000004
757824;470010114000000040032500000001
3014242;470010107000000120902901000128
826668;470010103000003360089500000046
1052941;470010003000000013887500000001
716789;470010003000000013579500000001
924122;470010103000005700002500000043
933422;470010003000000013609500000001
801332;470010115000000820019500000002
923252;470010116000001860004500000001
976799;470010106000011000012500000001
675097;470010105000000940013500000003
3008569;470010107000000430901901010029
3023176;470010110000000540901901010016
783509;470010900000001750006500000001
938376;470010113000000780042500000001
1028348;470010114000001260002500000001
964091;470010112000003150034500000001
750257;470010109000001320013500000001
841380;470010103000005200030500000001
780498;470010104000000270005000000000
831951;470010109000001870011500000001
1036253;470010106000007190002500000002
973260;470010110000001110015500000035
751348;470010106000003850007500000001
3010054;470010104000000020902901030139
923845;470010103000003710013500000001
739755;470010003000000013397500000002
792441;470010002000000021673500000001
999547;470010110000000640905901020893
690953;470010106000001690001500000026
914745;470010106000009040069500000001
673053;470010106000001140159500000001
937201;470010002000000071527500000004
3027319;470010107000000460903901010164
741093;470010103000004620007500000065
919359;470010103000004620004500000121
767334;470010002000000052012500000026
999090;470010106000004210041500000015
670050;470010103000004470008500000001
825342;470010106000004250005500000001
949608;470010107000000630901901000028
1048781;470010107000000740901901010068
944654;470010003000000010024500000005
720578;470010106000011450002500000001
3008575;470010107000000320904901050189
694496;470010111000001760003500000097
897576;470010003000000013034500000008
873951;470010003000000010671500000048
713167;470010114000001700014500000001
795555;470010105000001800013500000004
830678;470010003000000010670500000007
801998;470010103000002420005500000004
673164;470010001000000021424500000047
741699;470010003000000030119500000031
764699;470010003000000010086500000049
796139;470010105000002110019500000001
3024301;470010110000000620902901990227
799203;470010102000000770005500000201
941849;470010103000006220001500000001
753558;470010112000000280016500000002
667238;470010109000002540001500000001
957361;470010103000003660001500000008
1039771;470010106000011330001500000010
3022981;470010104000000010901901120169
937421;470010111000002340001500000014
859184;470010104000000620901901040025
920979;470010103000004620007500000125
779582;470010103000004620010500000170
734570;470010103000004620007500000208
1028602;470010110000000380903900001463
921239;470010111000001320009500000094
999507;470010800000000390002500000003
1055870;470010110000000020001000000000
3022120;470010110000000380906901011545
898652;470010113000000100012500000001
1003039;470010110000000580902901980117
966382;470010109000001510016500000001
3016564;470010107000000220905901010141
970926;470010003000000010621500000001
3024046;470010104000000740901901020034
1046431;470010106000010160009500000001
795585;470010105000001810031500000001
1005371;470010108000000010901901030281
705013;470010105000000940013500000002
1046734;470010106000011050002500000001
3024451;470010104000000010901901050118
860334;470010109000001670009500000001
1038996;470010110000000640905901020867
872917;470010106000000880016500000001
827633;470010103000001020022500000001
694256;470010109000001240001500000001
847995;470010003000000012939500000001
781293;470010800000000350035500000002
774457;470010105000000660020500000007
696476;470010600000000010001500000014
661508;470010003000000010229500000069
802504;470010003000000040130500000001
774392;470010106000002450005500000001
874216;470010111000001320017500000002
792501;470010103000000360003500000001
670558;470010109000001740013500000001
913210;470010106000002640182500000001
754617;470010103000004530028500000001
943723;470010106000010520010500000001
757189;470010002000000051083500000383
790661;470010103000001990016500000002
689699;470010103000001710336500000001
754326;470010106000009720009500000001
739313;470010114000000730009500000001
767927;470010106000000410111500000001
996485;470010106000009030041500000001
986023;470010108000000160902901050082
764473;470010103000001710397500000001
673013;470010103000001970029500000001
740764;470010116000001620001500000012
965145;470010001000000021424500000077
806229;470010103000002030009500000002
968330;470010002000000070905920010384
756919;470010106000001630016500000001
934237;470010103000004620010500000004
918441;470010109000001070002500000001
3019399;470010104000000280902902020130
879895;470010002000000051083500000544
768084;470010112000001380001500000003
779255;470010109000002100021500000001
672345;470010109000001810011500000001
815754;470010106000012040011500000001
806049;470010103000001070040500000001
844605;470010106000011450007500000001
815144;470010115000005430015500000003
721376;470010900000001840013500000001
873617;470010103000003360282500000001
695272;470010106000012040047500000001
668562;470010003000000010808500000341
704947;470010003000000010808500000124
799561;470010114000001690011500000001
3008572;470010107000000170903901040108
841842;470010106000001680022500000001
3011884;470010108000000010901901010039
815177;470010112000000360001500000026
714547;470010116000001640001500000002
835786;470010002000000051083500000075
774260;470010103000000790060500000029
879930;470010105000001660019500000001
887188;470010103000004620006500000021
671401;470010003000000030119500000066
756506;470010103000003590009500000001
