t_id_caracterististica_unidadconstruccion;identificador;area_construida;anio_construccion
82712;A;78.5;
83991;A;67.7;
60911;A;60.3;
61000;A;60.3;
60926;A;72.1;
76482;A;73.8;
60935;A;72.1;
80387;A;73.8;
60841;A;60.3;
81658;A;31.5;
60904;A;41.8;
84615;A-1;90.0;
84770;A;208.6;
77536;A;78.5;
80036;A;61.5;
60859;A;72.1;
60853;A;41.8;
2980;A;212.7;
60953;A;72.1;
84015;A;67.7;
84053;A;67.7;
42747;A;0.0;
84013;A;67.7;
53419;A;55.9;
84777;A;109.0;
34623;A;0.0;
78678;A;78.5;
62724;A;0.0;
83981;A;0.0;
67302;A;67.7;
52609;A;67.7;
53434;A;55.9;
84007;A;67.7;
83992;A;67.7;
60895;A;41.8;
33735;A;0.0;
53194;A;0.0;
75559;A;0.0;
60845;A;41.8;
18299;A;31.4;
84021;A;67.7;
60889;A;41.8;
53119;A;55.9;
84205;A;47.6;
84183;A;47.6;
73984;A;0.0;
53509;A;47.6;
84030;A;67.7;
53539;A;55.9;
84050;A;67.7;
60933;A;72.1;
84068;A;67.7;
49788;A;67.7;
60855;A;41.8;
50008;A;67.7;
84065;A;67.7;
76350;A;53.7;
84194;A;47.6;
60913;A;60.3;
60849;A;41.8;
60915;A;60.3;
60929;A;72.1;
84071;A;67.7;
53089;A;224.4;
29368;A;0.0;
84067;A;67.7;
74728;A;0.0;
60839;A;60.3;
61004;A;60.3;
10178;A;31.4;
78546;A;31.4;
84763;A-1;0.0;
60891;A;41.8;
83993;A;67.7;
53526;A;55.9;
53431;A;47.6;
25038;A;0.0;
80999;A;53.7;
82844;A;53.7;
60825;A;60.3;
84608;C-12;626.4;
53061;A;47.6;
12947;A;53.7;
53356;A;67.7;
53933;A;67.7;
60909;A;60.3;
60828;A;60.3;
78634;A;31.4;
51502;A;67.7;
73896;A;0.0;
60955;A;41.8;
60948;A;72.1;
60960;A;41.8;
12992;A;73.8;
84044;A;67.7;
58936;A;67.7;
53369;A;55.9;
15028;A;31.4;
76306;A;61.5;
84780;A-1;71.0;
60867;A;41.8;
25261;A;0.0;
83990;A;67.7;
60997;A;60.3;
84163;A;55.9;
84003;A;67.7;
84179;A;47.6;
60908;A;60.3;
41951;A;0.0;
84042;A;67.7;
83999;A;67.7;
53380;A;47.6;
60826;A;60.3;
60878;A;72.1;
60856;A;41.8;
60897;A;41.8;
84023;A;67.7;
60860;A;72.1;
60835;A;60.3;
84189;A;47.6;
53610;A;55.9;
53553;A;47.6;
76700;A;31.4;
77272;A;53.7;
60831;A;60.3;
53575;A;55.9;
60980;A;60.3;
76086;A;0.0;
60862;A;72.1;
36402;A;0.0;
22450;A;31.4;
84029;A;67.7;
83979;A;0.0;
59154;A;67.7;
84774;A;208.6;
72843;A;0.0;
21648;A;78.5;
84045;A;67.7;
60970;A;41.8;
60903;A;41.8;
40351;A;0.0;
53180;A;67.7;
83997;A;67.7;
52555;NULL;74.9;
60883;A;72.1;
60852;A;41.8;
84006;A;67.7;
84177;A;47.6;
3785;A;53.7;
60822;A;60.3;
6018;A;31.4;
60869;A;41.8;
55121;A;67.7;
60927;A;72.1;
20437;A;53.7;
84168;A;47.6;
60973;A;60.3;
40440;A;0.0;
84059;A;67.7;
60347;A;67.7;
60967;A;41.8;
60959;A;41.8;
60988;A;60.3;
60985;A;60.3;
14627;A;73.8;
60998;A;60.3;
50228;A;67.7;
22585;A;61.5;
60987;A;60.3;
59863;A;67.7;
80824;A;73.8;
3963;A;73.8;
84761;A;114.7;
60900;A;41.8;
57712;A;67.7;
60858;A;72.1;
84046;A;67.7;
84020;A;67.7;
84009;A;67.7;
53088;A;47.6;
12589;A;61.5;
83988;A;0.0;
60957;A;41.8;
47149;A;0.0;
53136;A;67.7;
16486;A;31.4;
14006;A;53.7;
60920;A;60.3;
81922;A;61.5;
60303;A;67.7;
74466;A;0.0;
16090;A;73.8;
50886;A;67.7;
78063;A;61.5;
73852;A;0.0;
53672;A;55.9;
83974;A;31.4;
60923;A;60.3;
42567;A;0.0;
74860;A;0.0;
60921;A;60.3;
84035;A;67.7;
53433;A;55.9;
77097;A;53.7;
78458;A;73.8;
84162;A;47.6;
84008;A;67.7;
82492;A;31.4;
53802;A;67.7;
28386;A;0.0;
53130;A;55.9;
80124;A;53.7;
84198;A;55.9;
84005;A;67.7;
60847;A;41.8;
60866;A;41.8;
39686;A;0.0;
60946;A;72.1;
84161;A;47.6;
84773;A;208.6;
54475;A;47.6;
6912;A;73.8;
83987;A;0.0;
83977;A;0.0;
60829;A;60.3;
84167;A;47.6;
74684;A;0.0;
80343;A;53.7;
61007;A;60.3;
52458;NULL;0.0;
19235;A;78.5;
82140;A;53.7;
84060;A;67.7;
81043;A;73.8;
46055;A;0.0;
84001;A;67.7;
55812;A;55.9;
33241;A;0.0;
7971;A;53.7;
84175;A;55.9;
52954;A;47.6;
7839;A;78.5;
60976;A;60.3;
79774;A;31.4;
4678;A;31.4;
83998;A;67.7;
60881;A;72.1;
84760;A;0.0;
53649;A;47.6;
82404;A;73.8;
21426;A;73.8;
76394;A;53.7;
60996;A;60.3;
52554;NULL;74.9;
84203;A;55.9;
59464;A;67.7;
53576;A;47.6;
60989;A;60.3;
83995;A;67.7;
81526;A;78.5;
76788;A;73.8;
60854;A;41.8;
84064;A;67.7;
41107;A;0.0;
60961;A;41.8;
60919;A;60.3;
84171;A;47.6;
60981;A;60.3;
60992;A;60.3;
73720;A;0.0;
66596;A;0.0;
60940;A;72.1;
84762;A-1;179.0;
60876;A;72.1;
48161;A;0.0;
60983;A;60.3;
60906;A;60.3;
60821;A;60.3;
74116;A;0.0;
84180;A;55.9;
79248;A;53.7;
523;A;31.4;
83983;A;0.0;
83282;A;73.8;
60894;A;41.8;
21827;A;31.4;
84031;A;67.7;
16002;A;53.7;
53091;A;67.7;
23741;A;0.0;
52955;A;26.2;
61001;A;60.3;
60824;A;60.3;
60950;A;72.1;
84066;A;67.7;
7927;A;0.0;
78897;A;73.6;
49306;A;0.0;
23029;A;53.7;
30794;A;0.0;
60833;A;60.3;
23920;A;0.0;
12858;A;78.5;
74772;A;0.0;
52558;NULL;0.0;
45041;A;0.0;
60884;A;72.1;
60863;A;72.1;
68665;A;0.0;
84202;A;55.9;
60937;A;72.1;
7312;A;53.7;
84055;A;67.7;
53593;A;47.6;
15914;A;51.4;
84187;A;55.9;
69501;A;67.7;
60901;A;41.8;
60843;A;41.8;
60820;A;60.3;
84011;A;67.7;
83994;A;67.7;
84057;A;67.7;
60986;A;60.3;
17717;A;73.8;
53335;A;0.0;
60947;A;72.1;
8677;A;31.4;
60999;A;60.3;
60984;A;60.3;
34932;A;0.0;
2860;A;53.7;
60938;A;72.1;
84173;A;47.6;
70733;A;0.0;
35153;A;0.0;
82888;A;53.7;
53268;A;67.7;
53131;A;580.6;
84197;A;55.9;
60850;A;41.8;
53432;A;55.9;
74904;A;0.0;
53011;A;25.0;
84193;A;47.6;
25932;A;0.0;
60478;A;67.7;
84204;A;47.6;
60963;A;41.8;
72844;A;67.7;
60877;A;72.1;
79730;A;78.5;
53010;A;55.9;
61583;A;67.7;
32443;A;0.0;
53397;A;47.6;
84206;A;207.1;
72491;A;0.0;
84052;A;67.7;
60890;A;41.8;
565;A;55.9;
78282;A;53.7;
60882;A;72.1;
84772;A;208.6;
60954;A;41.8;
67300;A;0.0;
84200;A;47.6;
84028;A;67.7;
49612;A;0.0;
9693;A;31.4;
15958;A;53.7;
61002;A;60.3;
83986;A;0.0;
84759;A-1;19.0;
84016;A;67.7;
60951;A;72.1;
45216;A;0.0;
60966;A;41.8;
55337;A;67.7;
54913;A;47.6;
84010;A;67.7;
60916;A;60.3;
74816;A;0.0;
76526;A;31.4;
60941;A;72.1;
60912;A;60.3;
60870;A;41.8;
21247;A;53.7;
75209;A;0.0;
84170;A;55.9;
84018;A;67.7;
60864;A;72.1;
60934;A;72.1;
60924;A;60.3;
29725;A;0.0;
61453;A;67.7;
53038;A;47.6;
53592;A;47.6;
15514;A;78.5;
83591;A;78.5;
48557;A;0.0;
60990;A;60.3;
83978;A;0.0;
64660;A;0.0;
60875;A;41.8;
50359;A;67.7;
83976;A;53.7;
84190;A;47.6;
83984;A;0.0;
60832;A;60.3;
60965;A;41.8;
84063;A;67.7;
60887;A;41.8;
53420;A;55.9;
60925;A;72.1;
79818;A;31.4;
84182;A;47.6;
60932;A;72.1;
76921;A;67.7;
60896;A;41.8;
53336;A;47.6;
84769;A;208.6;
16838;A;78.5;
60819;A;60.3;
84037;A;67.7;
84024;A;67.7;
80780;A;78.5;
65320;A;0.0;
60827;A;60.3;
84054;A;67.7;
60939;A;72.1;
60871;A;60.3;
60840;A;60.3;
60993;A;60.3;
82580;A;31.4;
47809;A;0.0;
60874;A;41.8;
83975;A;61.5;
59419;A;67.7;
84781;A-1;15.0;
60975;A;60.3;
84041;A;67.7;
60902;A;41.8;
84169;A;55.9;
58675;A;67.7;
84012;A;67.7;
84072;A;67.7;
60879;A;72.1;
73238;A;0.0;
54192;A;67.7;
84199;A;47.6;
