t_id_predio;numero_predial;matricula_inmobiliaria
671684;470010102000000720901900000000;
660811;470010102000003050904900000000;
659479;470010113000000710901900000000;
659695;470010101000001580901900000000;
659127;470010103000000040901900000000;
660508;470010113000000040901900000000;
660131;470010104000000930905900000000;
878079;470010002000000060911900000000;
660917;470010104000001610903900000000;
659617;470010101000000760901900000000;
660435;470010101000001100901900000000;
660065;470010104000000080903900000000;
658372;470010002000000060912900000000;
864518;470010113000000500901900000000;
661143;470010106000005390901900000000;
659859;470010102000003320901900000000;
661095;470010106000003090901900000000;
659431;470010107000000870902900000000;
661023;470010105000000080902900000000;
660498;470010900000000800901900000000;
660373;470010106000003000901900000000;
659475;470010113000000120901900000000;
659791;470010101000001500902900000000;
866308;470010102000001540901900000000;
660304;470010106000006590901900000000;
660111;470010104000001460902900000000;
659761;470010101000001300901900000000;
659579;470010110000000490073900000000;
659423;470010109000000390901900000000;
661039;470010105000002270902900000000;
659753;470010101000001450901900000000;
660669;470010101000001290901900000000;
660542;470010113000000040902900000000;
660019;470010103000000840901900000000;
659943;470010102000002150902900000000;
662167;470010104000001610907900000000;
661063;470010106000004520901900000000;
660556;470010114000000430901900000000;
660817;470010102000003000901900000000;
659551;470010115000005460901900000000;
661177;470010102000001090801800000000;
660538;470010107000001440903900000000;
658374;470010002000000040923900000000;
660731;470010102000003900901900000000;
660520;470010101000001390901900000000;
660741;470010103000000600901900000000;
660437;470010101000001080902900000000;
659129;470010102000002500901900000000;
660983;470010105000000460901900000000;
660181;470010105000000300902900000000;
672238;470010115000006560902900000000;
661019;470010105000000080901900000000;
660715;470010102000002350902900000000;
660409;470010106000001440901900000000;
660891;470010103000000490901900000000;
659599;470010115000006790901900000000;
865806;470010101000001790903900000000;
660937;470010103000000450902900000000;
660021;470010103000000500902900000000;
874459;470010110000000490070900000000;
659723;470010101000001810901900000000;
1072417;470010002000000060902900000000;
660061;470010103000000520901900000000;
659721;470010101000001690901900000000;
659591;470010115000005470902900000000;
660351;470010106000005710901900000000;
660425;470010101000001080903900000000;
660572;470010107000000810905900000000;
663702;470010107000000740901900000000;52035
659601;470010101000000780901900000000;
659056;470010101000001940906900000000;
660123;470010104000000220901900000000;
659895;470010102000002150903900000000;
659987;470010103000000470901900000000;
830937;470010107000000100910900000000;31359
660209;470010105000002190902900000000;
659533;470010115000003790901900000000;
1055690;470010107000000280904900000000;27841
660552;470010101000002020905900000000;
658766;470010102000002980901900000000;
660129;470010104000000200901900000000;
872082;470010107000001150902900000000;
661183;470010104000001070802800000000;
659807;470010102000001050901900000000;
660055;470010103000002940901900000000;
660213;470010105000000880901900000000;
661135;470010101000000590901900000000;
661041;470010104000000060901900000000;
660627;470010101000001540901900000000;
658989;470010102000001860901900000000;
858164;470010104000000660903900000000;65194
660153;470010105000001010902900000000;
