t_id_predio;numero_predial;fecha_inicio_tenencia;fecha_documento_fuente
3010654;470010002000000076901901080268;2019-10-03;2020-11-24
678515;470010002000000070903906050119;2021-09-27;2021-11-05
866090;470010002000000076901908020208;2019-05-27;2020-11-24
3014083;470010002000000076901908010094;2020-09-24;2020-11-24
911392;470010002000000070902907030132;2021-11-19;2022-01-28
893733;470010002000000040901901010136;2017-05-02;2017-05-22
709045;470010002000000070903918050359;2022-08-29;2022-10-25
1035788;470010002000000076901905080525;2019-11-05;2020-11-24
904104;470010002000000076901905030481;2019-12-18;2020-11-24
1044496;470010002000000070902902030029;2021-08-11;2021-09-03
841378;470010002000000070903903050058;2021-09-09;2021-10-15
753130;470010106000000560901903070178;2022-02-09;2022-02-14
1063540;470010002000000070903911040214;2021-10-29;2021-12-30
721570;470010002000000070903906010104;2021-09-30;2021-11-24
1069511;470010002000000076901905040491;2020-02-06;2020-11-24
792239;470010002000000070903906050117;2021-10-13;2021-11-05
1027844;470010002000000070903903010043;2022-02-18;2022-05-10
1069250;470010002000000070903921020408;2022-04-06;2022-06-10
960549;470010002000000070905914030272;2021-08-30;2021-09-13
912045;470010002000000070905901050020;2022-05-14;2022-07-06
3009931;470010002000000076901901070262;2019-11-25;2020-11-24
925970;470010104000000910903901000211;2018-01-23;2018-02-02
854375;470010002000000040901901010036;2016-12-20;2016-12-23
1044442;470010002000000070902915010281;2021-09-30;2021-11-24
720774;470010003000000050137000000000;2016-02-12;2016-02-26
3013159;470010002000000076901902070324;2019-06-14;2020-11-24
776443;470010002000000070902913010241;2022-05-11;2022-07-29
868763;470010002000000070905914010261;2022-08-30;2022-11-02
725560;470010002000000070905906030109;2022-08-02;2022-10-27
3022348;470010002000000076901902060318;2019-07-03;2020-11-24
687587;470010002000000070903921010403;2021-08-24;2021-10-07
3022399;470010002000000076901905030486;2019-10-28;2020-11-24
1055657;470010104000000910903901050159;2018-01-23;2018-02-02
719792;470010002000000070902914020266;2021-08-26;2021-09-29
839575;470010002000000070903903040056;2021-07-27;2021-08-25
3025894;470010002000000076901908020196;2019-06-27;2020-11-24
838157;470010002000000076901904070450;2020-01-14;2020-11-24
746379;470010002000000070902903050057;2022-02-16;2022-06-28
896962;470010106000000560901901070051;2021-12-10;2022-04-08
813728;470010002000000070905901010002;2022-03-15;2022-07-01
3015121;470010002000000070905914050277;2021-08-30;2021-09-13
925565;470010002000000070902904040074;2021-10-15;2021-12-06
841388;470010002000000070903916030309;2022-02-18;2022-05-13
787640;470010002000000070903905030091;2021-11-04;2021-12-15
878688;470010002000000070903904040073;2021-08-31;2021-10-07
