t_id_derecho;tipo_derecho;fraccion_derecho
3006169;Ocupacion;1.0000000000
2848834;Ocupacion;1.0000000000
2786697;Ocupacion;1.0000000000
2920422;Ocupacion;1.0000000000
2996758;Ocupacion;1.0000000000
2888085;Ocupacion;1.0000000000
2989290;Ocupacion;1.0000000000
2781727;Ocupacion;1.0000000000
2903354;Ocupacion;1.0000000000
2887998;Ocupacion;1.0000000000
2970946;Ocupacion;1.0000000000
2989113;Ocupacion;1.0000000000
2854380;Otro;1.0000000000
2931569;Ocupacion;1.0000000000
2906308;Ocupacion;1.0000000000
2895733;Ocupacion;1.0000000000
2775348;Ocupacion;1.0000000000
2895119;Ocupacion;1.0000000000
2989816;Ocupacion;1.0000000000
2928537;Ocupacion;1.0000000000
2832403;Ocupacion;1.0000000000
2920357;Ocupacion;1.0000000000
2890788;Ocupacion;1.0000000000
2990657;Ocupacion;1.0000000000
2989310;Ocupacion;1.0000000000
2901092;Ocupacion;1.0000000000
2828945;Ocupacion;1.0000000000
2773959;Ocupacion;1.0000000000
2942168;Ocupacion;1.0000000000
2786920;Ocupacion;1.0000000000
2772631;Ocupacion;1.0000000000
2973995;Ocupacion;1.0000000000
2892522;Ocupacion;1.0000000000
2787719;Ocupacion;1.0000000000
2932167;Ocupacion;1.0000000000
2921697;Ocupacion;1.0000000000
2783128;Ocupacion;1.0000000000
2779788;Ocupacion;1.0000000000
2922840;Ocupacion;1.0000000000
2880015;Ocupacion;1.0000000000
2926958;Ocupacion;1.0000000000
2985914;Ocupacion;1.0000000000
2990636;Ocupacion;1.0000000000
2913874;Ocupacion;1.0000000000
2811643;Ocupacion;1.0000000000
2930493;Ocupacion;1.0000000000
2775150;Ocupacion;1.0000000000
2835298;Ocupacion;1.0000000000
2889130;Ocupacion;1.0000000000
2989997;Ocupacion;1.0000000000
2923701;Ocupacion;1.0000000000
2936230;Ocupacion;1.0000000000
2860411;Ocupacion;1.0000000000
2825837;Posesion;1.0000000000
2990173;Ocupacion;1.0000000000
2915256;Ocupacion;1.0000000000
2784059;Ocupacion;1.0000000000
2887729;Ocupacion;1.0000000000
2935036;Ocupacion;1.0000000000
2839552;Ocupacion;1.0000000000
2970049;Ocupacion;1.0000000000
2898391;Ocupacion;1.0000000000
2783596;Ocupacion;1.0000000000
2990700;Ocupacion;1.0000000000
2884667;Ocupacion;1.0000000000
2904426;Ocupacion;1.0000000000
2937567;Ocupacion;1.0000000000
2989830;Ocupacion;1.0000000000
2977495;Ocupacion;1.0000000000
2989371;Ocupacion;1.0000000000
2935895;Ocupacion;1.0000000000
2840801;Ocupacion;1.0000000000
2828395;Ocupacion;1.0000000000
2773100;Ocupacion;1.0000000000
2883658;Ocupacion;1.0000000000
2872293;Ocupacion;1.0000000000
2779404;Ocupacion;1.0000000000
2986346;Ocupacion;1.0000000000
2949143;Ocupacion;1.0000000000
2987134;Ocupacion;1.0000000000
2781862;Ocupacion;1.0000000000
2932569;Ocupacion;1.0000000000
2980655;Ocupacion;1.0000000000
2855201;Ocupacion;1.0000000000
2899399;Ocupacion;1.0000000000
2867202;Ocupacion;1.0000000000
2779979;Ocupacion;1.0000000000
2975690;Ocupacion;1.0000000000
2772221;Ocupacion;1.0000000000
2988955;Ocupacion;1.0000000000
2911091;Ocupacion;1.0000000000
2987633;Ocupacion;1.0000000000
2922194;Ocupacion;1.0000000000
2903506;Ocupacion;1.0000000000
2970040;Ocupacion;1.0000000000
2861164;Otro;1.0000000000
2778716;Ocupacion;1.0000000000
2898050;Ocupacion;1.0000000000
2867987;Ocupacion;1.0000000000
2902053;Ocupacion;1.0000000000
2786191;Ocupacion;1.0000000000
2870089;Ocupacion;1.0000000000
2883985;Ocupacion;1.0000000000
2828785;Ocupacion;1.0000000000
2773764;Ocupacion;1.0000000000
2977519;Ocupacion;1.0000000000
2953717;Ocupacion;1.0000000000
2862053;Otro;1.0000000000
2953708;Ocupacion;1.0000000000
2855391;Ocupacion;1.0000000000
2988620;Ocupacion;1.0000000000
2919385;Ocupacion;1.0000000000
2901048;Ocupacion;1.0000000000
2779430;Ocupacion;1.0000000000
2986638;Ocupacion;1.0000000000
2962707;Ocupacion;1.0000000000
2973963;Ocupacion;1.0000000000
2988008;Ocupacion;1.0000000000
2862959;Ocupacion;1.0000000000
2934583;Ocupacion;1.0000000000
2903667;Ocupacion;1.0000000000
2856832;Ocupacion;1.0000000000
2785975;Ocupacion;1.0000000000
2784099;Ocupacion;1.0000000000
2985970;Ocupacion;1.0000000000
2898791;Ocupacion;1.0000000000
2851785;Otro;1.0000000000
2885453;Ocupacion;1.0000000000
