t_id_terreno;t_id_construccion;construccion_nocontenida_en_terreno;t_id_terreno_asociado_a_construccion;t_id_predio
1132379;256766;false;1132379;679755
1153070;242452;false;1153070;734357
1132376;119754;false;1132376;858546
1169494;212776;false;1169494;741042
1129901;222827;false;1129901;865326
1164467;250476;false;1164467;746639
1109652;246574;false;1109652;905103
1114836;238921;false;1114836;926329
1090511;242265;false;1090511;748163
1127457;248775;false;1127457;786350
1169900;248808;false;1169900;865489
1079688;264431;false;1079688;961123
1075985;255874;false;1075985;960946
1151252;267391;false;1151252;759760
1136156;262946;false;1136156;1026182
1160171;230312;false;1160171;961107
1153545;237792;false;1153545;665223
1113913;237273;false;1113913;1027717
1163813;244202;false;1163813;3023449
1158613;210534;false;1158613;966888
1176919;145521;false;1176919;887416
1154842;239929;false;1154842;981618
1154923;250932;false;1154923;997633
1175202;138579;false;1175202;835497
1103128;106659;false;1103128;1071321
1152793;257874;false;1152793;841117
1126532;252489;false;1126532;1038121
1109792;224329;false;1109792;1005789
1165441;200941;false;1165441;1044450
1140109;207566;false;1140109;816283
1100416;247484;false;1100416;821646
1120153;188862;false;1120153;976502
1172341;179748;false;1172341;986407
1131525;260692;false;1131525;661867
1080973;253599;false;1080973;935684
1114706;172376;false;1114706;798031
1074421;144193;false;1074421;821584
1080897;248065;false;1080897;1059352
1077701;253583;false;1077701;697327
1150463;243601;false;1150463;782977
1118824;261580;false;1118824;662430
1176827;223431;false;1176827;746141
1166191;242545;false;1166191;1024313
1144308;267164;false;1144308;1066205
1075673;239640;false;1075673;789826
1100576;247811;false;1100576;832122
1176122;269074;false;1176122;790534
1078865;244738;false;1078865;914354
1158989;222859;false;1158989;1027787
1120415;193810;false;1120415;750029
1073625;268269;false;1073625;803937
1146353;226403;false;1146353;880827
1175133;241107;false;1175133;1032868
1090468;121065;false;1090468;788327
1164635;245556;false;1164635;990433
1173135;243275;false;1173135;813067
1170806;255538;false;1170806;1062555
1133139;210986;false;1133139;983143
1142208;240492;false;1142208;700271
