t_id_predio;numero_predial;destinacion_economica
791933;470010106000009460042500000001;Lote_Urbanizado_No_Construido
748056;470010002000000071413000000000;Lote_Urbanizable_No_Urbanizado
878599;470010108000000190054000000000;Lote_Urbanizado_No_Construido
790194;470010002000000051921000000000;Lote_Urbanizable_No_Urbanizado
662405;470010110000000110003000000000;Lote_Urbanizable_No_Urbanizado
1038179;470010112000003090007000000000;Lote_Urbanizable_No_Urbanizado
818726;470010002000000020745000000000;Lote_Urbanizado_No_Construido
1023918;470010002000000051913000000000;Lote_Urbanizable_No_Urbanizado
1064854;470010002000000051931000000000;Lote_Urbanizable_No_Urbanizado
914966;470010110000001690018000000000;Lote_Urbanizable_No_Urbanizado
681111;470010102000000290015000000000;Lote_Urbanizable_No_Urbanizado
889288;470010106000004240152000000000;Lote_Urbanizado_No_Construido
789585;470010002000000071433000000000;Lote_Urbanizable_No_Urbanizado
940995;470010109000003690008000000000;Lote_Urbanizable_No_Urbanizado
1031408;470010002000000066222000000000;Lote_Urbanizable_No_Urbanizado
678976;470010111000003470005000000000;Lote_Urbanizable_No_Urbanizado
861193;470010113000000780093000000000;Lote_No_Urbanizable
1025389;470010104000000600002000000000;Lote_Urbanizado_No_Construido
1070819;470010103000003070027000000000;Lote_Urbanizable_No_Urbanizado
828428;470010106000011480015500000001;Lote_Urbanizable_No_Urbanizado
915384;470010110000000380009000000000;Lote_Urbanizado_No_Construido
868673;470010110000000130011000000000;Lote_Urbanizable_No_Urbanizado
869153;470010110000000320003000000000;Lote_Urbanizable_No_Urbanizado
807922;470010104000000730011000000000;Lote_Urbanizado_No_Construido
925323;470010106000000310135000000000;Lote_No_Urbanizable
720843;470010107000000020019000000000;Lote_Urbanizable_No_Urbanizado
934011;470010111000002560014000000000;Lote_Urbanizable_No_Urbanizado
1008671;470010002000000071438000000000;Lote_Urbanizable_No_Urbanizado
770134;470010108000000020008000000000;Lote_Urbanizado_No_Construido
1008225;470010002000000071422000000000;Lote_Urbanizable_No_Urbanizado
778679;470010104000001500011000000000;Lote_Urbanizado_No_Construido
1011844;470010114000000690064000000000;Lote_Urbanizable_No_Urbanizado
710623;470010002000000071416000000000;Lote_Urbanizable_No_Urbanizado
924624;470010900000002050003500000001;Lote_Urbanizable_No_Urbanizado
701497;470010003000000012674500000006;Lote_Urbanizable_No_Urbanizado
869903;470010106000012040020500000001;Lote_Urbanizable_No_Urbanizado
793116;470010002000000071323000000000;Lote_Urbanizable_No_Urbanizado
668894;470010109000000500901900000073;Lote_Urbanizado_No_Construido
759318;470010002000000051925000000000;Lote_Urbanizable_No_Urbanizado
1056740;470010111000001090005000000000;Lote_Urbanizable_No_Urbanizado
1038045;470010115000003930026000000000;Lote_Urbanizable_No_Urbanizado
858512;470010110000001260039000000000;Lote_Urbanizado_No_Construido
1038516;470010107000001380040000000000;Lote_Urbanizable_No_Urbanizado
700750;470010002000000051858000000000;Lote_Urbanizable_No_Urbanizado
701645;470010102000000290015500000004;Lote_Urbanizado_No_Construido
1035910;470010107000000930032000000000;Lote_Urbanizable_No_Urbanizado
960668;470010110000002240001000000000;Lote_Urbanizado_No_Construido
983743;470010111000002030004000000000;Lote_Urbanizable_No_Urbanizado
789718;470010002000000071321000000000;Lote_Urbanizable_No_Urbanizado
782190;470010003000000011920000000000;Lote_Urbanizable_No_Urbanizado
982790;470010107000001520003000000000;Lote_Urbanizado_No_Construido
782196;470010103000003180022500000001;Lote_No_Urbanizable
667178;470010110000001130017000000000;Lote_Urbanizable_No_Urbanizado
1026194;470010107000000020008000000000;Lote_Urbanizado_No_Construido
970444;470010002000000021620000000000;Lote_Urbanizable_No_Urbanizado
1061331;470010109000003690009000000000;Lote_Urbanizable_No_Urbanizado
756558;470010900000002050005000000000;Lote_Urbanizado_No_Construido
828306;470010110000002190001000000000;Lote_Urbanizado_No_Construido
878601;470010104000000730022000000000;Lote_Urbanizado_No_Construido
1053370;470010106000010760010500000001;Lote_Urbanizable_No_Urbanizado
694506;470010003000000012537000000000;Lote_Urbanizable_No_Urbanizado
