t_id_predio;numero_predial
708244;470010107000000560012500000008
797727;470010110000000080007500000005
661999;470010107000000680007200000002
661151;470010110000000260001200000011
660195;470010110000001740011200000002
768001;470010107000001480015500000001
1055950;470010110000002200003200000001
719272;470010110000000290004500000004
807048;470010110000000290003500000017
661977;470010110000001730007500000001
658484;470010107000000370047200000001
693798;470010107000000680007200000007
994066;470010110000001190010500000001
839710;470010110000000250152500000025
661645;470010110000002180006500000012
933866;470010107000000610001500000018
988350;470010104000001640034500000001
734228;470010110000000250071200000097
686340;470010107000000610003500000003
766409;470010110000000260001200000006
826216;470010110000000080027500000002
1063778;470010110000001520009500000002
716556;470010108000000090006500000026
661795;470010104000000570001500000002
678759;470010110000000250003500000005
661737;470010104000000180022500000001
694338;470010104000001750001500000001
1036438;470010110000000250003500000053
661784;470010108000000090006200000004
713916;470010110000001369009200000001
979547;470010110000000390008200000001
684613;470010110000000250152200000001
658923;470010110000000260001200000012
734784;470010110000000260001200000008
1055940;470010110000000250152500000008
658813;470010110000001500003500000002
855657;470010110000000570009200000001
662311;470010110000001330018500000001
953611;470010110000000250152500000028
723290;470010110000001910001500000001
694971;470010110000001940002500000001
939589;470010110000001470008500000001
668744;470010110000001520008500000002
1029339;470010110000000250003500000007
971419;470010108000000030002500000001
720522;470010107000000680007200000005
947557;470010110000000250003500000024
801504;470010110000001520011500000001
658622;470010110000000250158200000106
686097;470010110000000250003500000008
660237;470010104000000800024500000001
1039091;470010107000001490016500000001
751262;470010104000000800023500000001
686338;470010110000000290004500000011
958708;470010110000000250003500000052
740191;470010110000000250152500000020
658616;470010110000000290003500000002
725944;470010110000002560007200000001
704893;470010110000001300019500000001
1039975;470010108000000090006500000012
965473;470010107000000680001200000001
1063826;470010110000001280001500000001
713920;470010110000001380003500000002
981404;470010110000000250003500000018
660239;470010107000000560097500000001
827226;470010110000002270001200000001
1002647;470010110000001930002500000001
661767;470010107000000720047500000001
916653;470010110000000250152500000007
688958;470010110000000290003500000013
660306;470010110000000250040200000105
795919;470010110000000300004500000004
658614;470010110000001830001500000006
986213;470010110000001450008500000001
1065852;470010108000000090006500000034
777012;470010110000000260056200000001
661971;470010110000000250047200000107
760219;470010107000000690071200000001
686436;470010110000001740005200000001
773826;470010110000001270006200000002
694502;470010110000001410003500000001
776068;470010108000000090006500000006
734818;470010110000001160008500000001
825857;470010110000001830001200000002
687721;470010110000000260001200000013
947442;470010110000000980005500000001
791509;470010104000000180015500000001
686991;470010110000001730004200000001
658508;470010110000000290004500000012
660705;470010107000001480007500000001
760221;470010108000000090006500000007
949928;470010110000000290003500000011
662001;470010107000001310001500000001
1000462;470010110000001260012500000001
723397;470010110000001470007500000001
658784;470010110000000290003500000015
803487;470010110000000260001200000021
661280;470010107000001480023500000001
658512;470010110000000080019500000001
763932;470010104000001640035500000001
660203;470010110000000080023500000001
1063830;470010110000001260011500000001
742535;470010110000002430002500000001
658638;470010108000000090006500000039
658725;470010107000000610001500000022
682034;470010108000000130003500000001
688812;470010110000001250009500000001
810945;470010110000000250152500000011
755137;470010110000000260060200000001
661234;470010107000000610001500000009
1020273;470010110000000250073200000102
813207;470010110000000250003500000041
706328;470010110000001930003500000001
1047216;470010110000000080029200000001
806104;470010110000001740006200000005
914318;470010110000001550005500000001
660193;470010110000001500004500000001
661959;470010110000001220001500000002
873842;470010104000000700029500000001
906861;470010110000000250003500000010
661232;470010110000001940003200000001
721885;470010107000000610047500000005
813201;470010110000000250003500000032
1016908;470010107000000700005200000002
658612;470010110000000260033200000001
961260;470010110000000250152500000005
865483;470010110000000310011200000001
757473;470010110000000250159200000108
828324;470010110000001520005200000001
688842;470010110000001730002500000001
893444;470010110000000300004500000001
824486;470010110000000250112200000098
1038756;470010110000001750007500000001
661589;470010107000000100181500000001
919862;470010107000001480020500000002
1063837;470010110000002270005200000001
735888;470010110000000250152500000003
993698;470010110000000250003500000026
1004138;470010110000000250152500000031
907531;470010110000001280003500000001
658390;470010107000000610003500000004
658768;470010107000000560094500000001
660316;470010110000000260001200000017
678916;470010110000000250003500000046
658752;470010110000000260010200000001
694029;470010110000001720011500000001
771068;470010110000001540001200000001
660528;470010108000000090006200000003
694799;470010110000001440016500000001
794437;470010104000001640031500000001
958614;470010110000000250152500000030
1025203;470010110000001400010500000001
661777;470010107000000610001500000001
883473;470010110000001930005500000002
742934;470010104000000800062500000001
1064531;470010110000000250152500000024
984805;470010110000001980002500000002
810222;470010110000000080022500000002
1051799;470010110000000250003500000011
662051;470010110000001750011500000005
658756;470010110000000080007500000004
919709;470010107000000010013500000004
898510;470010110000001520009500000001
1022320;470010104000000800034500000002
663654;470010104000001640026500000001
