t_id_unidadconstruccion;t_id_caracteristicaunidadconstruccion;tipo_unidad_construccion;uso_construccion;total_habitaciones
1278939;84479;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1193655;44300;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1265876;37905;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1224866;11511;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1206262;29240;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1249265;5144;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1188586;44820;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1251889;24855;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1280197;79184;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1245949;8899;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1239739;40932;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1192868;80101;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1260342;30907;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1244564;49227;Residencial;Residencial.Barracas;0
1206948;44661;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1205184;40818;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1279341;30407;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1272629;14704;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1209610;23214;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1204967;44856;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1267597;43021;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1269815;64418;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1199941;13349;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1210839;42835;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1256309;10276;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1208970;58543;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1235526;8397;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1214652;23974;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1197230;2188;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1257902;27444;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1269001;40920;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1262257;45339;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1261348;8210;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1210261;1438;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1249598;56752;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1226173;84382;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1211460;41006;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1229767;12040;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1204680;36689;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1264555;18803;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1267225;51805;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1209481;33554;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1238051;26885;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1232569;4337;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1245408;52966;Residencial;Residencial.Apartamentos_Mas_De_4_Pisos;0
1268294;57310;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1258328;11438;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1209066;12279;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1238199;3744;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1263212;7279;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1192350;19316;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1258934;2967;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1209734;47832;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1189592;42204;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1195180;59706;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1198879;28565;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1193935;44535;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1220578;15679;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1282048;24208;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1256550;35604;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1213019;8634;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1219834;8489;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1209013;61609;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1194558;34488;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1238436;63387;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1199496;24095;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1248691;16107;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1253892;34751;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1201284;67652;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1223154;27344;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1278986;15172;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1213707;52835;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1211089;32050;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1268883;24444;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1233869;6798;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1263460;39300;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1231910;4866;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1208684;37848;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1242563;6329;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1211133;34424;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1248055;61602;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1228646;11864;Residencial;Residencial.Apartamentos_Mas_De_4_Pisos;0
1270753;16961;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1198213;29562;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1188774;8172;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1268937;31051;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1213337;28270;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1208263;38545;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1275671;19122;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1248420;53408;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1248342;41155;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1196117;2998;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1263613;57779;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1208754;50683;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1208085;56595;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1220989;19737;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1211825;34461;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1214313;30186;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1214342;38114;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1257082;21462;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1211976;64546;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1220949;30839;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1276678;74518;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1257248;84226;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1257247;42211;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1234298;11687;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1200579;61408;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1211252;83646;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1204098;68419;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1247622;48311;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1263335;42690;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1198443;27016;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1266677;61558;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1204357;46200;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1264637;29466;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1207049;55991;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1211351;34382;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1210302;15702;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1258989;11098;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1257204;37440;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1199642;58332;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1195174;53537;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1211085;31296;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1255610;5961;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1272160;37712;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1211096;33448;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1260056;68661;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1220946;29628;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1211780;16129;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1256362;16615;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1189208;12337;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1228844;4669;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1270894;37071;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1214119;84574;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1224061;3237;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1279991;84379;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1262467;72524;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1249416;25007;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1198924;45165;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1220999;25525;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1198884;31028;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1248979;45982;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1267065;33301;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1263633;60210;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1203500;58000;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1264560;19748;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1258962;6253;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1251887;43028;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1196239;874;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1201339;69873;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1209860;35325;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1250144;28139;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1199120;58293;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1189035;47448;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1270935;33885;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1213547;12923;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1267523;24077;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1231621;40487;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1199764;34885;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1213809;16463;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1197933;5414;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1215652;22713;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1212296;10883;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1270302;42008;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1245917;2749;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1238942;6509;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1230165;64907;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1267027;28882;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1210265;1856;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1214051;44877;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1251513;49635;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1260348;32267;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1268982;38296;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1238009;48718;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1261540;33338;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1231981;32364;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1240677;4145;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1272718;24297;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1275239;12104;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1222029;12265;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1205474;743;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1209429;34674;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1196346;38102;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1249933;58306;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1266402;28807;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1225409;33980;Residencial;Residencial.Barracas;0
1244159;33011;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1213049;32376;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1249054;61678;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1276007;6577;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1199457;356;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1274466;18995;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1203028;58574;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1251026;71366;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1261595;27457;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1241412;3499;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1238111;68893;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1219630;39652;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1221940;29168;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1188977;22819;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1193883;28693;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1259478;67743;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1250760;41619;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1256954;2012;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1274940;39532;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1210407;47563;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1202887;24236;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1248652;10567;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1239695;19563;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1238320;45444;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1264636;29462;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1226225;22920;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1212140;52707;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1188522;34965;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1218778;54011;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1202721;56329;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1197241;7946;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1248891;36100;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1194480;16023;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1255713;15059;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1211422;59251;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1235619;29467;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1205878;54649;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1247451;6219;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1278021;58213;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1245383;52245;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
