t_id_predio;numero_predial;condicion_predio
813780;470010003000000012935500000001;Parque_Cementerio.Unidad_Predial
1031442;470010114000000550007500000001;Parque_Cementerio.Unidad_Predial
805295;470010106000010450017500000001;Parque_Cementerio.Unidad_Predial
814649;470010103000003360222500000001;Parque_Cementerio.Unidad_Predial
1031840;470010103000003100020500000001;Parque_Cementerio.Unidad_Predial
691833;470010106000010750003500000001;Parque_Cementerio.Unidad_Predial
805285;470010106000010430023500000001;Parque_Cementerio.Unidad_Predial
671401;470010003000000030119500000066;Parque_Cementerio.Unidad_Predial
741379;470010106000009760008500000001;Parque_Cementerio.Unidad_Predial
674692;470010106000004300008500000001;Parque_Cementerio.Unidad_Predial
826445;470010109000001490003500000001;Parque_Cementerio.Unidad_Predial
768606;470010102000000190052500000001;Parque_Cementerio.Unidad_Predial
926172;470010106000010210014500000001;Parque_Cementerio.Unidad_Predial
744496;470010900000000660025500000001;Parque_Cementerio.Unidad_Predial
709742;470010106000001580068500000007;Parque_Cementerio.Unidad_Predial
718074;470010900000002260004500000001;Parque_Cementerio.Unidad_Predial
872467;470010103000003140014500000001;Parque_Cementerio.Unidad_Predial
698441;470010106000010970011500000001;Parque_Cementerio.Unidad_Predial
799699;470010103000003550002500000001;Parque_Cementerio.Unidad_Predial
741171;470010800000000560013500000002;Parque_Cementerio.Unidad_Predial
704650;470010106000006650030500000001;Parque_Cementerio.Unidad_Predial
887184;470010105000001130017500000001;Parque_Cementerio.Unidad_Predial
977148;470010105000002180001500000029;Parque_Cementerio.Unidad_Predial
795281;470010103000003620003500000001;Parque_Cementerio.Unidad_Predial
884207;470010900000000900045500000095;Parque_Cementerio.Unidad_Predial
736764;470010113000000120013500000008;Parque_Cementerio.Unidad_Predial
827049;470010106000012040028500000001;Parque_Cementerio.Unidad_Predial
868163;470010112000001350002500000005;Parque_Cementerio.Unidad_Predial
780085;470010102000000770005500000287;Parque_Cementerio.Unidad_Predial
748054;470010003000000013226500000001;Parque_Cementerio.Unidad_Predial
852434;470010106000006230004500000001;Parque_Cementerio.Unidad_Predial
789828;470010103000001710143500000001;Parque_Cementerio.Unidad_Predial
688916;470010003000000013156500000001;Parque_Cementerio.Unidad_Predial
883421;470010106000005770001500000001;Parque_Cementerio.Unidad_Predial
834762;470010114000001720001500000023;Parque_Cementerio.Unidad_Predial
824629;470010106000004490011500000001;Parque_Cementerio.Unidad_Predial
916681;470010106000010560018500000001;Parque_Cementerio.Unidad_Predial
892176;470010103000001710228500000001;Parque_Cementerio.Unidad_Predial
912824;470010106000000770017500000001;Parque_Cementerio.Unidad_Predial
803401;470010002000000052012500000042;Parque_Cementerio.Unidad_Predial
737400;470010109000001570005500000001;Parque_Cementerio.Unidad_Predial
677097;470010105000002010026500000001;Parque_Cementerio.Unidad_Predial
663040;470010113000000370014500000001;Parque_Cementerio.Unidad_Predial
706219;470010116000001610001500000012;Parque_Cementerio.Unidad_Predial
738333;470011000000000220018500000001;Parque_Cementerio.Unidad_Predial
827828;470010109000003840005500000001;Parque_Cementerio.Unidad_Predial
843846;470010106000011960005500000001;Parque_Cementerio.Unidad_Predial
848985;470010112000000510001500000051;Parque_Cementerio.Unidad_Predial
964017;470010106000004240092500000001;Parque_Cementerio.Unidad_Predial
936955;470010106000007920012500000001;Parque_Cementerio.Unidad_Predial
737856;470010003000000012392500000001;Parque_Cementerio.Unidad_Predial
933177;470010114000001190026500000001;Parque_Cementerio.Unidad_Predial
892699;470010106000001140244500000001;Parque_Cementerio.Unidad_Predial
710138;470010002000000042712500000072;Parque_Cementerio.Unidad_Predial
693343;470010103000002400002500000002;Parque_Cementerio.Unidad_Predial
688864;470010103000002070004500000001;Parque_Cementerio.Unidad_Predial
762601;470010103000001990022500000001;Parque_Cementerio.Unidad_Predial
784257;470010006000000010734500000001;Parque_Cementerio.Unidad_Predial
793081;470010106000004240048500000001;Parque_Cementerio.Unidad_Predial
760682;470010103000002420004500000002;Parque_Cementerio.Unidad_Predial
782432;470010103000003760008500000001;Parque_Cementerio.Unidad_Predial
966904;470010111000001870001500000021;Parque_Cementerio.Unidad_Predial
917206;470010005000000010324500000001;Parque_Cementerio.Unidad_Predial
900011;470010102000004430016500000001;Parque_Cementerio.Unidad_Predial
894734;470010007000000020004500000105;Parque_Cementerio.Unidad_Predial
769089;470010106000004240004500000002;Parque_Cementerio.Unidad_Predial
871803;470010109000002120007500000001;Parque_Cementerio.Unidad_Predial
844039;470010106000004290033500000001;Parque_Cementerio.Unidad_Predial
800854;470010106000010660004500000001;Parque_Cementerio.Unidad_Predial
932176;470010003000000011849500000001;Parque_Cementerio.Unidad_Predial
759189;470010103000000200022500000001;Parque_Cementerio.Unidad_Predial
966874;470010106000007780023500000001;Parque_Cementerio.Unidad_Predial
874806;470010112000000520001500000034;Parque_Cementerio.Unidad_Predial
670147;470010005000000010007500000007;Parque_Cementerio.Unidad_Predial
922146;470010103000001710172500000003;Parque_Cementerio.Unidad_Predial
917561;470010103000004270001500000001;Parque_Cementerio.Unidad_Predial
820130;470010114000000030001500000027;Parque_Cementerio.Unidad_Predial
779907;470010115000006340001500000079;Parque_Cementerio.Unidad_Predial
737898;470010106000003730016500000001;Parque_Cementerio.Unidad_Predial
840264;470010115000006340001500000063;Parque_Cementerio.Unidad_Predial
665060;470010112000000410005500000005;Parque_Cementerio.Unidad_Predial
881437;470010103000005200045500000001;Parque_Cementerio.Unidad_Predial
711953;470010103000008270003500000001;Parque_Cementerio.Unidad_Predial
702978;470010103000001710282500000001;Parque_Cementerio.Unidad_Predial
976991;470010114000001490014500000001;Parque_Cementerio.Unidad_Predial
920533;470010900000000900045500000261;Parque_Cementerio.Unidad_Predial
886950;470010113000001190010500000001;Parque_Cementerio.Unidad_Predial
761878;470010007000000020058500000048;Parque_Cementerio.Unidad_Predial
869379;470010112000001420001500000008;Parque_Cementerio.Unidad_Predial
665653;470010800000000870001500000004;Parque_Cementerio.Unidad_Predial
756098;470010003000000012329500000001;Parque_Cementerio.Unidad_Predial
