t_id_predio;t_id_terreno_1;t_id_terreno_2
687295;1096897;1082039
929497;1091358;1145999
716317;1077023;1154235
856397;1107889;1165097
659409;1100718;1073768
986631;1090387;1123811
658975;1073656;1124435
660983;1154903;1073343
825466;1120347;1073631
747445;1142070;1158430
847403;1077852;1089852
758996;1134633;1100298
659569;1072624;1136113
758996;1100298;1076639
894972;1073626;1140861
1060604;1082711;1156544
1057466;1120742;1130580
658578;1073131;1167869
865806;1111782;1073463
848619;1159306;1073626
3020908;1082976;1073849
820944;1100547;1087261
772183;1142057;1168117
922801;1146852;1073707
893597;1113634;1100156
792537;1078068;1151604
661165;1072506;1117180
725313;1156927;1146348
688494;1168446;1167754
864577;1134794;1118681
984406;1129263;1087413
3009373;1101645;1073849
914506;1159020;1125455
676765;1147451;1126832
802532;1113863;1090735
673095;1091518;1100547
1034260;1079071;1072649
906022;1112053;1143719
742091;1172674;1100298
883467;1152219;1113282
1008276;1144906;1104769
701793;1100547;1099709
819971;1073626;1121464
671684;1108279;1072807
1025354;1101638;1167434
1025354;1101638;1144427
828919;1150078;1074869
828919;1121979;1150078
741594;1164352;1072457
961476;1146347;1072633
670274;1073888;1164388
661321;1111770;1073504
1070416;1081216;1095190
940435;1097963;1115650
979635;1073538;1175514
889366;1101638;1159905
757868;1073345;1150466
758996;1088923;1100298
851467;1077394;1091865
1018781;1113759;1086349
678725;1147450;1073646
710530;1084954;1153582
661399;1073583;1130032
805361;1079673;1073585
936325;1147828;1073626
1019666;1073596;1147668
696343;1114530;1144097
883467;1152219;1145256
937871;1128666;1073870
681852;1150466;1165466
906022;1118617;1112053
1009155;1073837;1118317
887696;1101892;1123630
960948;1161782;1085886
659509;1072596;1110820
950885;1073672;1147548
912130;1101055;1136875
914506;1082090;1159020
862652;1073631;1122861
1036608;1116455;1175784
735582;1073482;1076254
782977;1150463;1150078
952681;1103581;1173882
884478;1113672;1087521
922054;1150078;1121373
660181;1072936;1075658
933277;1091137;1096011
1069491;1142943;1170148
940435;1097963;1088450
896228;1085354;1073903
659395;1073510;1111989
1022191;1178488;1073595
