t_id_predio;numero_predial;matricula_inmobiliaria
739224;470010106000001870013000000000;
789804;470010103000001710106000000000;
789683;470010103000001710043000000000;
915199;470010102000002860010000000000;
704658;470010103000001710339000000000;
732341;470010003000000013984000000000;
674879;470010106000000330032000000000;
847379;470010003000000010846000000000;
825259;470010106000011290027000000000;
794815;470010106000005530003000000000;
885794;470010106000009040065000000000;
785781;470010106000001480012000000000;
802246;470010003000000013741000000000;
866062;470010113000000850057000000000;
880786;470010103000004460015000000000;
691413;470010105000001130019000000000;
918196;470010102000002910010000000000;
890738;470010102000000840021000000000;
778044;470010107000001390017000000000;
802617;470010008000000010051000000000;
869281;470010106000009960020000000000;
984875;470010008000000020008000000000;
972417;470010600000000080002000000000;
868460;470010003000000013584000000000;
804744;470010106000010000007000000000;
852794;470010106000011470020000000000;
964634;470010900000000220007000000000;
964462;470010800000000770008000000000;
799419;470010106000000550004000000000;
819911;470010106000001140056000000000;
938831;470010003000000010829000000000;
761697;470010106000004240128000000000;
1045100;470010106000001460014000000000;
852386;470010106000001140032000000000;
773499;470010003000000013169000000000;
795220;470010106000009310010000000000;
890387;470010103000001710425000000000;
940088;470010003000000011317000000000;
929796;470010113000001220001000000000;
927579;470010104000001120901900000005;
732821;470010106000001140008000000000;
798591;470010106000000130028000000000;
690441;470010105000002140047000000000;
884915;470010103000003360281000000000;
675149;470010106000009380032000000000;
918328;470010106000011580011000000000;
899625;470010800000000610016000000000;
697339;470010003000000013092000000000;
675135;470010106000009310004000000000;
876310;470010800000000390006000000000;
885689;470010103000003360301000000000;
809781;470010106000001710046000000000;
804090;470010003000000012793000000000;
752857;470011000000000080008000000000;
664178;470010003000000011852000000000;
709319;470010003000000012891000000000;
939518;470010114000001530005000000000;
785861;470010103000004740021000000000;
754125;470010114000001690010000000000;
953581;470010103000008280023000000000;
1044848;470010006000000020206000000000;
800409;470010106000000420021000000000;
943902;470010105000002140012000000000;
1055682;470010106000011620018000000000;
897928;470010106000011480007000000000;
714760;470010007000000020423000000000;
868237;470010103000003360158000000000;
791560;470010106000004240143000000000;
790034;470010103000001710256000000000;
768343;470010001000000022351000000000;
934462;470010106000001590018000000000;
840404;470010102000004440008000000000;
843587;470010106000002530005000000000;
664444;470010114000001410007000000000;
899062;470010101000000030026000000000;
834060;470010102000000250011000000000;
977118;470010114000001630017000000000;
718570;470010116000000840053000000000;
771531;470010102000000350029000000000;
754638;470010101000002200012000000000;
896219;470010103000001710416000000000;
738388;470010106000004440010000000000;
753330;470010003000000011333000000000;
985079;470010106000001140322000000000;
787578;470010106000001140278000000000;
782722;470010105000001350005000000000;
767104;470010106000011370061000000000;
752792;470010106000002800011000000000;
674268;470010103000001690008000000000;
716021;470010106000001300004000000000;
917754;470010103000001710194000000000;
963244;470010102000000120013000000000;
924012;470010900000002170003000000000;
845783;470010900000001730001000000000;
832194;470010106000001620027000000000;
871224;470010106000007910001000000000;
743586;470010102000000010031000000000;
825532;470010003000000012495000000000;
876429;470010103000007310091000000000;
693359;470010003000000013850000000000;
940611;470010003000000013996000000000;
934327;470010106000007840007000000000;
892695;470010106000004700005000000000;
974445;470010114000000010006000000000;
721244;470010103000003300003000000000;
764309;470010106000012040026000000000;
748157;470010106000000830042000000000;
740310;470010600000000210026000000000;
958838;470010900000000120004000000000;
886960;470010900000002030019000000000;
939802;470010103000002260001000000000;
788149;470011000000000150001000000000;
802723;470010106000001160025000000000;
867112;470010103000002060002000000000;
876750;470010900000000720012000000000;
866418;470011000000000160004000000000;
792377;470010104000001510020000000000;
715707;470010101000002200009000000000;
852490;470010106000007220039000000000;
782043;470010103000003470014000000000;
936313;470010109000003910015000000000;
841123;470010003000000012176000000000;
835131;470010102000000450005000000000;
779742;470010106000002580020000000000;
697374;470010106000009840010000000000;
740696;470010106000009040089000000000;
716783;470010102000001310021000000000;
926851;470010003000000013764000000000;
1033441;470010106000004250001000000000;
845945;470010106000001880036000000000;
927356;470010103000001740026000000000;
734463;470010102000000120018000000000;
850033;470010115000004070006000000000;
889430;470010002000000021890000000000;
946088;470010106000005280010000000000;
744246;470010900000000020003000000000;
760972;470010006000000010380000000000;
798945;470010006000000010703000000000;
891806;470010105000000010005000000000;
884979;470010106000001260001000000000;
916857;470010003000000012832000000000;
712441;470010003000000030355000000000;
938296;470010001000000022355000000000;
807616;470010106000012040062000000000;
755869;470010103000003390015000000000;
675139;470010106000009330011000000000;
785267;470010900000000900084000000000;
976076;470011000000000140001000000000;
941193;470010103000003310020000000000;
897938;470010106000011600001000000000;
788019;470010106000012100038000000000;
850176;470010101000000520029000000000;
882101;470010101000001310018000000000;
806055;470010103000001130033000000000;
781094;470010103000003360007000000000;
711589;470010002000000020575000000000;
