t_id_predio;numero_predial;condicion_predio;tipo_predio
718141;470010106000011240052000000000;NPH;Predio.Privado
786694;470010102000002160802800000043;Condominio.Unidad_Predial;Predio.Privado
749388;470010103000001280019000000000;NPH;Predio.Privado
786908;470010113000000350801800000024;Condominio.Unidad_Predial;Predio.Privado
981517;470010115000004200011000000000;NPH;Predio.Privado
1051702;470010107000000720069000000000;NPH;Predio.Privado
760896;470010107000001570801800000031;Condominio.Unidad_Predial;Predio.Privado
700359;470010002000000065876000000000;NPH;Predio.Privado
750118;470010109000004250013000000000;NPH;Predio.Privado
969620;470010115000006750010000000000;NPH;Predio.Privado
817759;470010002000000071820000000000;NPH;Predio.Privado
966942;470010105000000250021000000000;NPH;Predio.Privado
995927;470010106000007670801800000010;Condominio.Unidad_Predial;Predio.Privado
1068161;470010115000006830019000000000;NPH;Predio.Privado
927438;470010002000000070803800002178;Condominio.Unidad_Predial;Predio.Privado
766544;470010104000000800050000000000;NPH;Predio.Privado
907898;470010115000006830012000000000;NPH;Predio.Privado
843356;470010110000000500004000000000;NPH;Predio.Privado
1009408;470010103000000590801800000057;Condominio.Unidad_Predial;Predio.Privado
697800;470010106000009340006000000000;NPH;Predio.Privado
746830;470010002000000071659000000000;NPH;Predio.Privado
949059;470010002000000065384000000000;NPH;Predio.Privado
759760;470010001000000020801800002393;Condominio.Unidad_Predial;Predio.Privado
1060311;470010107000001290002000000000;NPH;Predio.Privado
989094;470010104000000600009000000000;NPH;Predio.Privado
692464;470010107000000410001000000000;NPH;Predio.Privado
670816;470010103000000590801800000045;Condominio.Unidad_Predial;Predio.Privado
853491;470010110000000470801800000003;Condominio.Unidad_Predial;Predio.Privado
803550;470010109000000500062000000000;NPH;Predio.Privado
929280;470010002000000070803800002179;Condominio.Unidad_Predial;Predio.Privado
967906;470010102000001090801800000025;Condominio.Unidad_Predial;Predio.Privado
951142;470010106000009040024000000000;NPH;Predio.Privado
751240;470010002000000070803800006984;Condominio.Unidad_Predial;Predio.Privado
895177;470010111000000860801800000021;Condominio.Unidad_Predial;Predio.Privado
1022322;470010104000000670007000000000;NPH;Predio.Privado
908621;470010102000002710057000000000;NPH;Predio.Privado
953445;470010104000000160001000000000;NPH;Predio.Privado
810442;470010110000001370017000000000;NPH;Predio.Privado
989003;470010104000000760013000000000;NPH;Predio.Privado
1056345;470010110000000520801800000010;Condominio.Unidad_Predial;Predio.Privado
771192;470010110000000250001000000000;NPH;Predio.Privado
987238;470010103000001060028000000000;NPH;Predio.Privado
860367;470010107000000600801800000020;Condominio.Unidad_Predial;Predio.Privado
982390;470010115000004170002000000000;NPH;Predio.Privado
895102;470010107000001170002000000000;NPH;Predio.Privado
3027049;470010107000001570801800000043;Condominio.Unidad_Predial;Predio.Privado
957079;470010107000000470002000000000;NPH;Predio.Privado
791089;470010002000000070804800007123;Condominio.Unidad_Predial;Predio.Privado
701361;470010002000000070010000000000;NPH;Predio.Privado
824205;470010106000007680801800000026;Condominio.Unidad_Predial;Predio.Privado
799671;470010107000000060157000000000;NPH;Predio.Privado
996505;470010107000000490065000000000;NPH;Predio.Privado
983635;470010003000000012684000000000;NPH;Predio.Privado
752756;470010104000000570002000000000;NPH;Predio.Privado
1016606;470010002000000065249000000000;NPH;Predio.Privado
1032306;470010111000002500003000000000;NPH;Predio.Privado
1055722;470010107000000690038000000000;NPH;Predio.Privado
786926;470010103000000820041000000000;NPH;Predio.Privado
765562;470010105000002590006000000000;NPH;Predio.Privado
1006580;470010113000000510001000000000;NPH;Predio.Privado
830196;470010106000007670801800000024;Condominio.Unidad_Predial;Predio.Privado
763798;470010107000001220801800000009;Condominio.Unidad_Predial;Predio.Privado
983177;470010113000000840110000000000;NPH;Predio.Privado
683787;470010106000007690801800000025;Condominio.Unidad_Predial;Predio.Privado
903716;470010104000001070801800000032;Condominio.Unidad_Predial;Predio.Privado
1053104;470010115000006840034000000000;NPH;Predio.Privado
1051135;470010002000000071793000000000;NPH;Predio.Privado
817428;470010106000011470016000000000;NPH;Predio.Privado
858452;470010600000000080022000000000;NPH;Predio.Privado
835764;470010103000001940010000000000;NPH;Predio.Privado
700423;470010105000000020010000000000;NPH;Predio.Privado
