t_id_predio;numero_predial;condicion_predio
3008314;470010002000000040901901010156;PH.Unidad_Predial
700965;470010002000000050801800000120;Condominio.Unidad_Predial
712305;470010002000000050801800000194;Condominio.Unidad_Predial
744563;470010002000000050801800000304;Condominio.Unidad_Predial
876972;470011000000000150009500000001;Parque_Cementerio.Unidad_Predial
887488;470010800000000850001500000010;Parque_Cementerio.Unidad_Predial
707373;470010112000000940801800000108;Condominio.Unidad_Predial
965573;470010002000000050802800000395;Condominio.Unidad_Predial
984438;470010002000000050801800000103;Condominio.Unidad_Predial
1020995;470010107000000990801800000024;Condominio.Unidad_Predial
979480;470010002000000040901901010169;PH.Unidad_Predial
818602;470010900000001130006500000001;Parque_Cementerio.Unidad_Predial
947520;470010102000002490801800000043;Condominio.Unidad_Predial
980820;470010002000000060801800004599;Condominio.Unidad_Predial
978934;470010107000001220801800000007;Condominio.Unidad_Predial
1069483;470010001000000020803800001657;Condominio.Unidad_Predial
876217;470010600000000080001500000001;Parque_Cementerio.Unidad_Predial
1008956;470010102000002200015901030001;PH.Unidad_Predial
1040130;470010001000000020803800001649;Condominio.Unidad_Predial
789641;470010107000000560801800000020;Condominio.Unidad_Predial
826149;470010107000000990801800000019;Condominio.Unidad_Predial
676524;470010001000000020802800001509;Condominio.Unidad_Predial
908416;470010109000002580801800000014;Condominio.Unidad_Predial
933885;470010002000000021901901010110;PH.Unidad_Predial
958492;470010800000000960001500000005;Parque_Cementerio.Unidad_Predial
1070468;470010107000000840801800000075;Condominio.Unidad_Predial
908626;470010001000000020803800001665;Condominio.Unidad_Predial
725948;470010107000000810802800000337;Condominio.Unidad_Predial
754363;470011000000000150001500000001;Parque_Cementerio.Unidad_Predial
930118;470010002000000050801800000326;Condominio.Unidad_Predial
818869;470010002000000050801800000101;Condominio.Unidad_Predial
1067368;470010002000000060801800004702;Condominio.Unidad_Predial
1062462;470010107000000840801800000065;Condominio.Unidad_Predial
746879;470010900000002180003500000001;Parque_Cementerio.Unidad_Predial
675283;470010106000010990009500000001;Parque_Cementerio.Unidad_Predial
925331;470010001000000020802800001544;Condominio.Unidad_Predial
723950;470010002000000050801800000155;Condominio.Unidad_Predial
1011491;470010003000000010801800002008;Condominio.Unidad_Predial
819078;470010002000000050801800000204;Condominio.Unidad_Predial
865687;470010110000000490802800000067;Condominio.Unidad_Predial
963926;470010900000001720001500000001;Parque_Cementerio.Unidad_Predial
858240;470010001000000020802800001543;Condominio.Unidad_Predial
746989;470010107000000990801800000035;Condominio.Unidad_Predial
1071564;470010107000000990801800000087;Condominio.Unidad_Predial
1063447;470010002000000040801800004986;Condominio.Unidad_Predial
695336;470010002000000060801800004621;Condominio.Unidad_Predial
829521;470010002000000021901901020210;PH.Unidad_Predial
721838;470010900000001770001500000001;Parque_Cementerio.Unidad_Predial
814325;470010002000000050801800000147;Condominio.Unidad_Predial
959647;470010900000002180004500000001;Parque_Cementerio.Unidad_Predial
713439;470010900000002220008500000001;Parque_Cementerio.Unidad_Predial
960045;470010107000000840801800000084;Condominio.Unidad_Predial
928571;470010002000000050801800000109;Condominio.Unidad_Predial
710466;470010900000001170012500000001;Parque_Cementerio.Unidad_Predial
733361;470010900000002220004500000001;Parque_Cementerio.Unidad_Predial
960023;470010800000001630006500000001;Parque_Cementerio.Unidad_Predial
701693;470010002000000050801800000176;Condominio.Unidad_Predial
974902;470010002000000050802800000375;Condominio.Unidad_Predial
959478;470010900000001820001500000001;Parque_Cementerio.Unidad_Predial
789359;470010002000000050801800000264;Condominio.Unidad_Predial
1059282;470010002000000060801800004692;Condominio.Unidad_Predial
1065169;470010107000001210904904020209;PH.Unidad_Predial
821346;470010800000000660001500000002;Parque_Cementerio.Unidad_Predial
857934;470010002000000050801800000210;Condominio.Unidad_Predial
959344;470010900000000650020500000001;Parque_Cementerio.Unidad_Predial
811054;470010109000002580801800000245;Condominio.Unidad_Predial
991008;470010002000000060801800004578;Condominio.Unidad_Predial
853554;470010002000000050801800000172;Condominio.Unidad_Predial
704911;470010112000000940801800000135;Condominio.Unidad_Predial
935286;470010002000000021901901030301;PH.Unidad_Predial
662041;470010103000000130901900000000;PH.Unidad_Predial
836836;470010002000000050802800000394;Condominio.Unidad_Predial
658829;470010002000000039010000000000;PH.Unidad_Predial
813405;470010002000000050801800000325;Condominio.Unidad_Predial
920268;470010002000000050801800000268;Condominio.Unidad_Predial
702954;470010002000000070802800002044;Condominio.Unidad_Predial
831469;470010002000000050802800000343;Condominio.Unidad_Predial
909912;470010002000000050802800000358;Condominio.Unidad_Predial
901603;470010115000000790801800000038;Condominio.Unidad_Predial
1065181;470010107000001210904904020210;PH.Unidad_Predial
1045650;470010002000000050802800000338;Condominio.Unidad_Predial
856468;470010115000003920027901030002;PH.Unidad_Predial
670860;470010002000000070802800002060;Condominio.Unidad_Predial
903443;470010002000000060801800004695;Condominio.Unidad_Predial
933002;470010900000000360005500000001;Parque_Cementerio.Unidad_Predial
701005;470010002000000050801800000254;Condominio.Unidad_Predial
1045644;470010002000000050801800000228;Condominio.Unidad_Predial
905017;470010002000000050801800000127;Condominio.Unidad_Predial
990625;470010107000000810802800000350;Condominio.Unidad_Predial
1064931;470010112000000940801800000145;Condominio.Unidad_Predial
786992;470010115000000790801800000039;Condominio.Unidad_Predial
758254;470010107000000840801800000083;Condominio.Unidad_Predial
745202;470010002000000060801800004655;Condominio.Unidad_Predial
701889;470010002000000040801800004975;Condominio.Unidad_Predial
952354;470010107000000990801800000039;Condominio.Unidad_Predial
1033850;470010002000000050802800000388;Condominio.Unidad_Predial
698799;470010001000000020803800001661;Condominio.Unidad_Predial
676620;470010900000001780006500000002;Parque_Cementerio.Unidad_Predial
994400;470010002000000060801800004582;Condominio.Unidad_Predial
1026956;470010002000000070802800002041;Condominio.Unidad_Predial
928607;470010002000000050802800000349;Condominio.Unidad_Predial
705114;470010111000002880801800000075;Condominio.Unidad_Predial
1056734;470010001000000020803800001673;Condominio.Unidad_Predial
701843;470010002000000050801800000215;Condominio.Unidad_Predial
684391;470010003000000010802800004057;Condominio.Unidad_Predial
1021364;470010001000000020802800001506;Condominio.Unidad_Predial
878272;470010001000000020802800001494;Condominio.Unidad_Predial
1012667;470010106000007100801800000013;Condominio.Unidad_Predial
733682;470010002000000050801800000162;Condominio.Unidad_Predial
866646;470010900000000160017500000001;Parque_Cementerio.Unidad_Predial
964769;470010001000000020802800001525;Condominio.Unidad_Predial
739832;470010002000000040801800003946;Condominio.Unidad_Predial
1065930;470010002000000050802800000337;Condominio.Unidad_Predial
744575;470010001000000020802800001547;Condominio.Unidad_Predial
775941;470010900000000120027500000001;Parque_Cementerio.Unidad_Predial
968349;470010110000000630354000000000;PH.Unidad_Predial
988647;470010107000000380801800000015;Condominio.Unidad_Predial
930116;470010002000000050802800000329;Condominio.Unidad_Predial
882682;470010002000000050801800000171;Condominio.Unidad_Predial
770643;470010107000000790801800000020;Condominio.Unidad_Predial
731862;470010900000002250016500000001;Parque_Cementerio.Unidad_Predial
738380;470010900000000420032500000001;Parque_Cementerio.Unidad_Predial
812135;470010110000000490802800000071;Condominio.Unidad_Predial
707185;470010900000002250005500000001;Parque_Cementerio.Unidad_Predial
905169;470010002000000070802800002039;Condominio.Unidad_Predial
1029523;470010107000000840801800000071;Condominio.Unidad_Predial
692618;470010107000000490903901150139;PH.Unidad_Predial
845838;470010002000000070802800002063;Condominio.Unidad_Predial
935922;470010002000000021901901040402;PH.Unidad_Predial
925325;470010001000000020802800001497;Condominio.Unidad_Predial
966773;470010900000002240006500000001;Parque_Cementerio.Unidad_Predial
658819;470010002000000020078000000000;PH.Unidad_Predial
1010940;470010115000006470801800000027;Condominio.Unidad_Predial
866642;470010002000000060801800004666;Condominio.Unidad_Predial
980416;470010002000000050802800000386;Condominio.Unidad_Predial
1016128;470010107000000840801800000078;Condominio.Unidad_Predial
785694;470010112000000940801800000121;Condominio.Unidad_Predial
737132;470010108000000160801800000025;Condominio.Unidad_Predial
701737;470010002000000050801800000271;Condominio.Unidad_Predial
935042;470010002000000021901901020201;PH.Unidad_Predial
902703;470010107000000990801800000034;Condominio.Unidad_Predial
742115;470010106000009830020500000001;Parque_Cementerio.Unidad_Predial
791000;470010002000000050801800000100;Condominio.Unidad_Predial
