t_id_predio;numero_predial;matricula_inmobiliaria
792301;470010002000000050801800000324;73837
979530;470010112000000940801800000319;51971
1036444;470010103000000450801800000093;38761
1025330;470010106000007680801800000005;63373
944164;470010107000000530801800000029;14843
1055782;470010108000000160801800000018;31787
948019;470010107000000600801800000024;29315
830736;470010106000007080801800000003;90478
845599;470010106000007670801800000005;63354
845957;470010004000000020801800000310;60510
1001041;470010001000000020801800001388;57794
1051706;470010110000000730802800000021;59263
878202;470010113000000350801800000030;71918
1065388;470010002000000050801800000311;73826
1069480;470010002000000070804800007124;131451
884863;470010107000000840801800000103;36877
723930;470010102000002160801800000035;95754
1018860;470010106000000230801800000037;68747
1018854;470010109000002580801800000353;105779
991783;470010107000000840801800000081;37891
841372;470010002000000070801800007046;101945
751445;470010106000007080801800000019;90479
842671;470010109000002580801800000149;51364
713784;470010112000000940801800000262;51914
704081;470010107000001050801800000043;24195
682208;470010001000000020801800002392;130597
875014;470010002000000060801800004691;107273
845983;470010103000000570801800000045;60822
716177;470010107000000840801800000100;36874
665367;470010112000000940801800000288;51940
734982;470010002000000040801800005010;111234
691944;470010109000002580801800000118;51332
732642;470010112000000940801800000131;51782
907939;470010102000001090801800000021;31331
994235;470010107000001050801800000060;24166
860970;470010107000000990801800000014;59991
1057299;470010106000007090801800000005;51157
1009282;470010105000002350801800000020;56786
838373;470010104000001040801800000031;23441
701853;470010002000000050801800000211;73667
696833;470010107000001550801800000022;86472
1071677;470010107000001050801800000153;32705
968010;470010102000003920801800000025;70712
765310;470010102000002160801800000032;95751
1025976;470010002000000070802800002092;115130
928027;470010002000000020801800002478;113788
1016604;470010106000007080801800000001;51101
901295;470010110000000460801800000004;38934
983223;470010109000002580801800000018;51213
1067962;470010002000000060801800004681;107263
834117;470010110000000460801800000064;38994
1071529;470010107000000990801800000068;100645
1021115;470010002000000070804800007189;131516
1070514;470010107000000840801800000079;37893
1069056;470010002000000070802800002089;115127
982610;470010107000001560801800000009;86493
776313;470010107000000990801800000054;60031
918381;470010109000002580801800000241;51458
913835;470010001000000020803800001679;62072
