t_id_predio;numero_predial;condicion_predio;destinacion_economica
1032654;470010109000002580801800000293;Condominio.Unidad_Predial;Forestal
947946;470010109000001250901900000033;PH.Unidad_Predial;Forestal
998227;470010107000000570903901010135;PH.Unidad_Predial;Forestal
967057;470010112000000310014000000000;NPH;Forestal
1018566;470010110000000640903903010705;PH.Unidad_Predial;Forestal
3009493;470010107000000530903901080091;PH.Unidad_Predial;Forestal
925208;470010102000001090801800000013;Condominio.Unidad_Predial;Forestal
920280;470010103000004620010500000304;Parque_Cementerio.Unidad_Predial;Forestal
769003;470010106000012180004000000000;NPH;Forestal
1027600;470010108000000010901902140562;PH.Unidad_Predial;Forestal
837500;470010107000000130903901020113;PH.Unidad_Predial;Forestal
3021631;470010104000000290901901020093;PH.Unidad_Predial;Agropecuario
718730;470010106000004520007000000000;NPH;Forestal
1064493;470010107000000570903901130226;PH.Unidad_Predial;Forestal
681032;470010106000008220004000000000;NPH;Forestal
955949;470010110000000570902900000155;PH.Unidad_Predial;Forestal
1036977;470010107000000190901901030009;PH.Unidad_Predial;Forestal
764283;470010900000002050013000000000;NPH;Forestal
3019726;470010110000000540902901010091;PH.Unidad_Predial;Forestal
3020536;470010110000000480904901120196;PH.Unidad_Predial;Forestal
846115;470010105000002120801800000040;Condominio.Unidad_Predial;Forestal
669610;470010109000003260015000000000;NPH;Forestal
955524;470010110000000640905901010778;PH.Unidad_Predial;Forestal
901214;470010108000000020902901090038;PH.Unidad_Predial;Forestal
1052352;470010110000000380903900001182;PH.Unidad_Predial;Forestal
3026989;470010110000000400904901030901;PH.Unidad_Predial;Forestal
3020137;470010107000000120902902110327;PH.Unidad_Predial;Forestal
948544;470010107000000410904901060121;PH.Unidad_Predial;Forestal
3021760;470010110000000400904901000619;PH.Unidad_Predial;Forestal
906351;470010107000000630904901000280;PH.Unidad_Predial;Forestal
780091;470010106000000230801800000049;Condominio.Unidad_Predial;Forestal
1027353;470010104000000650901901050467;PH.Unidad_Predial;Forestal
3018058;470010110000000530902901010128;PH.Unidad_Predial;Forestal
973113;470010107000000130901901010042;PH.Unidad_Predial;Forestal
723930;470010102000002160801800000035;Condominio.Unidad_Predial;Forestal
950985;470010107000000490905902000473;PH.Unidad_Predial;Forestal
914426;470010110000000380902900000002;PH.Unidad_Predial;Forestal
761643;470010112000001200005500000018;Parque_Cementerio.Unidad_Predial;Forestal
763874;470010103000003050052500000001;Parque_Cementerio.Unidad_Predial;Forestal
874009;470010114000000640016500000001;Parque_Cementerio.Unidad_Predial;Forestal
950137;470010110000000380903900001310;PH.Unidad_Predial;Forestal
3013252;470010108000000060901901130068;PH.Unidad_Predial;Forestal
986924;470010110000000480904901020112;PH.Unidad_Predial;Forestal
992344;470010109000002150001000000000;NPH;Agropecuario
780067;470010105000000290016000000000;NPH;Forestal
813431;470010110000000380903901001226;PH.Unidad_Predial;Forestal
3019009;470010110000000380901902020165;PH.Unidad_Predial;Forestal
1056577;470010107000000690907901020373;PH.Unidad_Predial;Forestal
3014575;470010107000000150903901010089;PH.Unidad_Predial;Forestal
828664;470010112000000050001500000004;Parque_Cementerio.Unidad_Predial;Forestal
3024313;470010107000000210901901010081;PH.Unidad_Predial;Agropecuario
903001;470010108000000010901901140556;PH.Unidad_Predial;Forestal
3008266;470010107000001610801800000010;Condominio.Unidad_Predial;Forestal
731482;470010110000000570902900000219;PH.Unidad_Predial;Forestal
1055926;470010110000000640903904011188;PH.Unidad_Predial;Forestal
877085;470010103000000570801800000034;Condominio.Unidad_Predial;Forestal
958511;470010110000000680902901010058;PH.Unidad_Predial;Forestal
3017221;470010108000000010901902150580;PH.Unidad_Predial;Forestal
3020626;470010110000000380904901000013;PH.Unidad_Predial;Agropecuario
1036183;470010102000002330901900000284;PH.Unidad_Predial;Forestal
1041560;470010110000000380903901010565;PH.Unidad_Predial;Forestal
799791;470010108000000010901903090951;PH.Unidad_Predial;Forestal
907622;470010108000000020902901000074;PH.Unidad_Predial;Forestal
969225;470010106000010460017000000000;NPH;Forestal
966501;470010105000000430004000000000;NPH;Forestal
999520;470010110000000380903901030595;PH.Unidad_Predial;Forestal
760751;470010103000004620010500000325;Parque_Cementerio.Unidad_Predial;Forestal
1016588;470010107000000690907901140311;PH.Unidad_Predial;Forestal
875147;470010900000000060006500000001;Parque_Cementerio.Unidad_Predial;Forestal
949368;470010107000000190905901120255;PH.Unidad_Predial;Forestal
3012205;470010107000000460901901010016;PH.Unidad_Predial;Forestal
999592;470010110000000530902901110307;PH.Unidad_Predial;Agropecuario
3024385;470010107000000280904902080407;PH.Unidad_Predial;Forestal
950198;470010108000000160901901030060;PH.Unidad_Predial;Forestal
3022252;470010107000000310902901040046;PH.Unidad_Predial;Forestal
3010711;470010106000000560901903010132;PH.Unidad_Predial;Forestal
843742;470010106000001190004500000001;Parque_Cementerio.Unidad_Predial;Forestal
1029382;470010106000000910023000000000;NPH;Forestal
1054328;470010109000002580801800000295;Condominio.Unidad_Predial;Forestal
740087;470010106000006640043500000001;Parque_Cementerio.Unidad_Predial;Forestal
3022450;470010110000000610903900000190;PH.Unidad_Predial;Forestal
928998;470010106000011630008500000001;Parque_Cementerio.Unidad_Predial;Forestal
685114;470010110000000620903901990479;PH.Unidad_Predial;Forestal
900021;470010104000000280902902120228;PH.Unidad_Predial;Forestal
1052481;470010104000000640901901030005;PH.Unidad_Predial;Forestal
1030794;470010104000000280902902020140;PH.Unidad_Predial;Forestal
899922;470010107000000150901901010009;PH.Unidad_Predial;Forestal
833450;470010106000009210002000000000;NPH;Forestal
992156;470010107000000130905901070157;PH.Unidad_Predial;Forestal
3027091;470010104000000730901901140115;PH.Unidad_Predial;Forestal
1065558;470010106000009050005000000000;NPH;Forestal
1027622;470010107000000120902901130344;PH.Unidad_Predial;Forestal
762784;470010104000000600011000000000;NPH;Forestal
948873;470010104000000300904901060606;PH.Unidad_Predial;Forestal
920945;470010106000011950022500000001;Parque_Cementerio.Unidad_Predial;Forestal
3018376;470010110000000400904901030922;PH.Unidad_Predial;Forestal
837151;470010106000008210008000000000;NPH;Forestal
3012073;470010110000000380903901000772;PH.Unidad_Predial;Forestal
1001671;470010110000000190904901030362;PH.Unidad_Predial;Forestal
698392;470010109000002580801800000299;Condominio.Unidad_Predial;Forestal
892040;470010106000009210005000000000;NPH;Forestal
1015531;470010115000003540003000000000;NPH;Forestal
905910;470010115000004960010000000000;NPH;Forestal
1066934;470010106000001160014000000000;NPH;Forestal
3025423;470010104000000170902901060082;PH.Unidad_Predial;Agropecuario
765017;470010106000000310136500000001;Parque_Cementerio.Unidad_Predial;Forestal
1048146;470010110000000610902900000075;PH.Unidad_Predial;Forestal
683257;470010107000000740901902040180;PH.Unidad_Predial;Forestal
3018841;470010104000000010901901020085;PH.Unidad_Predial;Agropecuario
924344;470010104000001070802800000044;Condominio.Unidad_Predial;Forestal
907924;470010106000010430031000000000;NPH;Forestal
780681;470010106000000560901905030266;PH.Unidad_Predial;Forestal
856197;470010102000003100013000000000;NPH;Forestal
3027733;470010104000000290901901020079;PH.Unidad_Predial;Agropecuario
3022909;470010107000000070901901010002;PH.Unidad_Predial;Forestal
3018235;470010110000000380904901000007;PH.Unidad_Predial;Agropecuario
3010297;470010107000000020901901010061;PH.Unidad_Predial;Forestal
3012385;470010107000000080912901040554;PH.Unidad_Predial;Forestal
1000069;470010104000000310074000000000;NPH;Forestal
1072329;470010110000000380906901011517;PH.Unidad_Predial;Forestal
1008350;470010107000000150901901010012;PH.Unidad_Predial;Forestal
3016489;470010110000000400902901030116;PH.Unidad_Predial;Forestal
1003254;470010107000000690903901010087;PH.Unidad_Predial;Forestal
935811;470010106000004250018500000002;Parque_Cementerio.Unidad_Predial;Forestal
3009919;470010107000000460903901010166;PH.Unidad_Predial;Forestal
3009307;470010110000000640905901020958;PH.Unidad_Predial;Forestal
1063841;470010104000000610903901010129;PH.Unidad_Predial;Forestal
899974;470010107000000150901901060060;PH.Unidad_Predial;Forestal
774975;470010106000000560901905060280;PH.Unidad_Predial;Forestal
908731;470010110000000380901902100434;PH.Unidad_Predial;Forestal
3016654;470010104000000020902901020074;PH.Unidad_Predial;Forestal
1048687;470010108000000010901901030261;PH.Unidad_Predial;Forestal
855742;470010110000000640906900001178;PH.Unidad_Predial;Forestal
3026080;470010107000000080904901080153;PH.Unidad_Predial;Forestal
