t_id_predio;numero_predial
1033788;470010107000001550801800000000
976574;470010600000000080028000000000
764128;470010103000000320048000000000
938388;470010900000000950001000000000
888413;470010900000001800002000000000
782724;470010900000000930001000000000
834419;470010900000001790002000000000
940225;470010104000000640901900000000
936030;470010900000000250019000000000
952879;470010102000002930009000000000
778391;470010600000000080007000000000
804243;470010002000000010549000000000
782706;470010900000000940004000000000
780604;470010800000001350004000000000
782859;470010900000001210003000000000
665171;470010800000001480017000000000
927186;470010900000000250025000000000
844370;470010900000002260002000000000
1014912;470010800000000660091000000000
750813;470010900000002220002000000000
934839;470010800000000670154000000000
799046;470010800000000410002000000000
769466;470010800000001090001000000000
1051646;470010900000000540004000000000
681871;470010003000000040054000000000
1052226;470010600000000080018000000000
1012673;470010900000002250001000000000
718974;470010900000002180007000000000
670197;470010800000001490014000000000
773220;470010110000000460801800000102
1039966;470010600000000220002000000000
849397;470010900000002180004000000000
967409;470010600000000080031000000000
976075;470010800000001490004000000000
887534;470010600000000080054000000000
783491;470010900000002250015000000000
986500;470010800000001470001000000000
970849;470010900000000900003000000000
780600;470010800000001480003000000000
919764;470010900000001110002000000000
692633;470010600000000080010000000000
779524;470010800000000660068000000000
747695;470010900000001610003000000000
782845;470010900000001210002000000000
891405;470010110000000600004000000000
668856;470010600000000080005000000000
779094;470010800000000420036000000000
1054631;470010800000000660078000000000
671405;470010800000000660088000000000
783543;470010900000002270003000000000
953089;470010900000000250017000000000
818175;470010800000000670088000000000
778397;470010600000000080016000000000
781925;470010900000000540002000000000
719419;470010102000002930010000000000
783007;470010900000001840006000000000
1056936;470010110000000520801800000010
780664;470010800000001480006000000000
1006626;470010800000000670087000000000
802513;470010107000000100910900000000
715746;470010900000002260003000000000
1035712;470010800000000670129000000000
795659;470010800000000660004000000000
1011577;470010600000000080026000000000
971532;470010800000000950014000000000
799423;470010110000000390014000000000
754301;470010900000000560002000000000
778479;470010600000000080044000000000
717331;470010900000002250013000000000
783505;470010900000002250009000000000
838488;470010600000000080002000000000
666121;470010900000000260001000000000
778437;470010600000000080041000000000
693157;470010115000006840016000000000
783345;470010900000002180003000000000
762977;470010600000000080006000000000
865361;470010110000000520801800000012
693397;470010107000000550015000000000
728240;470010002000000049975000000000
932020;470010600000000220001000000000
793978;470010800000000660014000000000
856293;470010110000001820901900000000
747815;470010900000001720001000000000
721972;470010110000000300002000000000
700378;470010600000000080037000000000
3009507;470010110000000460801800000090
887536;470010600000000080050000000000
784657;470010110000000460801800000096
773180;470010110000000460801800000092
783503;470010900000002250010000000000
779490;470010800000000630006000000000
781426;470010900000000250022000000000
856691;470010900000000250015000000000
783539;470010900000002260005000000000
1046335;470010900000000040001000000000
706640;470010900000002240005000000000
717425;470010110000002550005000000000
705091;470010900000002220004000000000
782971;470010900000001790004000000000
739425;470010900000000540001000000000
699960;470010102000002930011000000000
758472;470010107000000740901900000000
662449;470010600000000080030000000000
892457;470010102000002930012000000000
672202;470010110000000460801800000099
728181;470010111000002450055000000000
1033728;470010110000000460801800000082
1012055;470010110000000460801800000088
950900;470010800000000670089000000000
989670;470010600000000080025000000000
854275;470010800000000660005000000000
780622;470010800000001480001000000000
999948;470010600000000080004000000000
783391;470010900000002220006000000000
964089;470010109000004190010000000000
971417;470010800000000400005000000000
1073050;470010110000001590901900000059
905962;470010800000001350003000000000
961660;470010800000000670063000000000
781328;470010900000000210001000000000
927194;470010900000000260002000000000
3010728;470010110000000460801800000085
782957;470010900000001790003000000000
832961;470010800000000670005000000000
918616;470010110000000460801800000098
1040363;470010800000000660061000000000
833152;470010900000000920001000000000
689352;470010110000000380907900000000
991634;470010800000000950015000000000
782997;470010800000000670131000000000
1027425;470010600000000080033000000000
763313;470010103000004660009000000000
1020370;470010900000001610004000000000
951214;470010002000000070801800007008
862579;470010600000000220003000000000
666412;470010110000000460801800000097
844025;470010600000000080047000000000
1040359;470010900000002250003000000000
995133;470010800000001110001000000000
1065046;470010110000000460801800000084
763005;470010600000000080032000000000
856248;470010900000000140024000000000
778433;470010600000000080021000000000
765396;470010800000000660003000000000
783507;470010900000002250014000000000
778429;470010600000000080009000000000
863140;470010900000002180008000000000
1051182;470010800000000660020000000000
977517;470010110000000460801800000083
1050290;470010900000001190001000000000
779520;470010800000000650003000000000
837043;470010900000000250027000000000
669381;470010800000001590009000000000
707982;470010900000002200002000000000
881619;470010800000001550001000000000
952834;470010003000000040327000000000
781963;470010900000000570001000000000
1064473;470010110000000460801800000094
985593;470010110000000460801800000101
887069;470010600000000080049000000000
782045;470010900000000620004000000000
1006636;470010800000000670150000000000
714517;470010900000002270006000000000
782686;470010900000001070003000000000
778443;470010600000000080029000000000
