t_id_predio;t_id_terreno_1;t_id_terreno_2
1037087;1143295;1134676
727756;1139662;1074065
785550;1109611;1111824
929255;1081386;1112448
770291;1151525;1082429
689862;1175301;1178828
899761;1139304;1142819
959663;1176997;1112729
823506;1170627;1169419
799868;1161631;1105446
690445;1140393;1160978
963524;1076581;1112646
750568;1112441;1094447
799260;1152802;1139304
747064;1111331;1083197
1028288;1150463;1161094
770301;1136729;1157607
764281;1117173;1076621
1026143;1112492;1128960
849105;1160744;1105727
883856;1139304;1174898
929965;1115821;1082971
724078;1074135;1112765
731576;1127423;1111528
749449;1074944;1111391
780145;1159059;1112497
1069173;1112644;1139034
1050425;1095682;1112499
841737;1137618;1091379
1011794;1098300;1079231
770305;1136729;1134264
933368;1085945;1143512
747605;1112287;1093972
724016;1111453;1086783
910042;1178085;1116831
751150;1112513;1111956
748536;1111270;1154057
676259;1138941;1113768
750484;1127694;1112448
709910;1107392;1076074
669675;1120872;1131027
750484;1179210;1112448
690445;1178252;1140393
694456;1142419;1112309
796913;1075148;1124643
817090;1167102;1082429
957995;1152515;1093385
723979;1111307;1111290
749971;1076588;1112383
734493;1111770;1144145
1065440;1096123;1112644
1046894;1085945;1096523
769605;1136729;1168173
939456;1131129;1112470
957100;1102429;1111304
870449;1091047;1117764
769605;1136729;1123567
813334;1103976;1142929
694456;1155051;1112309
683847;1135534;1111308
747002;1111324;1134694
843434;1138360;1116831
742174;1112034;1177271
1057827;1098942;1103041
660989;1085945;1103711
665605;1119371;1139304
660311;1138944;1108439
964198;1078988;1153754
902456;1100383;1111844
681975;1106226;1158964
720429;1123466;1149848
779901;1112491;1169362
747253;1094266;1111723
714879;1131086;1163254
786440;1112311;1092913
729244;1111299;1116018
1054842;1076024;1142718
748637;1166510;1111283
843563;1115523;1125434
694456;1112309;1144508
743417;1133422;1140393
690445;1120645;1140393
878278;1112681;1116307
852670;1124400;1111505
770291;1085618;1082429
729198;1111463;1129360
993586;1111298;1076711
1065648;1111248;1074488
1070110;1178372;1102525
744543;1109818;1112181
1040480;1143391;1082429
830323;1151588;1157755
670160;1140389;1111331
718814;1100829;1111397
770029;1082429;1073117
752337;1129428;1126098
1006372;1138270;1152515
861054;1080184;1112448
742605;1076390;1140393
796913;1098453;1124643
779869;1085945;1116690
751361;1159922;1112552
1009369;1123249;1112376
834008;1175850;1085977
1063012;1124643;1108533
828867;1149848;1167775
1058777;1121927;1112729
1049483;1112309;1151839
786140;1136729;1154689
1058753;1161179;1112686
879874;1158921;1139304
713624;1144467;1091379
1012378;1123320;1125943
1071035;1150044;1133960
866074;1102058;1089597
909882;1152229;1116831
863011;1078704;1073762
923817;1111355;1177087
845782;1141954;1110568
733346;1111922;1109961
726047;1157471;1135400
769605;1136729;1156448
690445;1140393;1171637
770291;1165947;1082429
1062572;1141103;1145215
1022713;1082429;1176910
905956;1101632;1124745
770291;1155644;1082429
1065768;1112361;1139845
777397;1108215;1153274
939480;1095776;1111672
747208;1081966;1111672
1038874;1178022;1073445
809842;1112448;1160579
708260;1090714;1169029
825510;1139304;1121467
1052128;1112730;1148799
816696;1082429;1171283
750838;1178489;1112458
920037;1168430;1117071
750726;1112644;1075682
965623;1166621;1139949
714935;1128418;1126072
713624;1091379;1141607
662778;1168633;1109645
657996;1163618;1075316
770291;1082429;1157607
3021237;1152029;1112309
1036428;1155644;1136729
690445;1140393;1089871
750568;1126098;1112441
883856;1109783;1139304
770291;1109762;1082429
692082;1175734;1173360
883856;1114489;1139304
746755;1160808;1111304
673424;1083036;1112295
750029;1150173;1112389
747470;1112136;1096930
958962;1111453;1086783
991430;1112339;1155647
735407;1111798;1160614
740760;1140393;1114118
926048;1096267;1170798
796913;1124643;1112893
803898;1081037;1096527
769605;1136729;1076797
729985;1075645;1111401
662483;1112644;1118790
1021993;1108296;1112430
724016;1148942;1111453
714389;1121712;1100225
907313;1135655;1112680
741166;1108663;1111999
709786;1075936;1112139
750484;1162599;1112448
994401;1179208;1173770
1010778;1111284;1081089
1001570;1110443;1112219
1054960;1142408;1136729
1058146;1128418;1146305
965823;1157695;1105665
819495;1176182;1111793
885947;1112346;1089173
827028;1085340;1112195
660311;1152820;1138944
763847;1111898;1123613
936417;1128561;1138705
924321;1112332;1172742
746906;1164331;1117598
814567;1155174;1095821
751486;1151326;1111248
769605;1136729;1077533
750211;1111242;1108149
1012744;1111248;1084309
674559;1094368;1131244
720300;1165168;1138944
1027335;1087026;1126033
869813;1076063;1169727
772916;1117473;1113429
903575;1104925;1111765
990969;1112409;1118654
1050476;1112515;1120530
982402;1156992;1147246
779946;1112487;1090837
733487;1138023;1111727
746799;1148559;1170296
713624;1091379;1089684
882956;1084129;1119413
924472;1153274;1130677
694456;1112309;1091366
1072024;1111322;1081015
769605;1136729;1089415
779881;1135670;1112499
1052128;1112730;1164881
866452;1094210;1112112
747361;1175277;1111955
997229;1176259;1076859
749973;1112384;1152957
728538;1112476;1111281
963676;1121064;1158577
794399;1152059;1169727
770121;1136729;1074748
733491;1111729;1153051
770058;1144613;1082429
929073;1096839;1124492
1058030;1103976;1080036
790572;1137694;1079806
717868;1145215;1158274
1026749;1159986;1082782
974446;1147671;1112395
828867;1114914;1149848
751302;1174805;1112551
929051;1121437;1088012
865334;1083105;1158504
726965;1112409;1113405
713624;1176402;1091379
939789;1175339;1111278
798037;1119042;1112291
770291;1082429;1097516
742164;1112035;1134663
847084;1139304;1173309
1025505;1081991;1145091
717594;1076074;1080536
978216;1125773;1164571
853739;1126035;1140393
853462;1153832;1095316
682813;1107467;1125328
909962;1091379;1135781
1009223;1168578;1090398
1006372;1152515;1101908
847975;1155452;1111602
764622;1177501;1135628
713868;1155204;1105244
803898;1081037;1075484
1042840;1168037;1170148
843563;1121362;1115523
1033634;1111197;1112750
849105;1105727;1179341
1028288;1101288;1150463
728326;1093830;1111286
748171;1119103;1112644
753342;1078448;1166485
750726;1138255;1112644
815432;1111248;1078229
1022960;1165344;1139498
898725;1157522;1140393
747574;1112280;1093490
905639;1138383;1082429
924819;1178042;1111637
1061394;1074472;1164827
991132;1106207;1112644
998214;1104490;1157755
928867;1083425;1133960
1022699;1167180;1094368
910009;1153019;1116831
770243;1082429;1153086
727613;1100140;1112472
828867;1149848;1097973
770291;1082429;1112336
750786;1094462;1112454
883856;1139304;1118629
953018;1094447;1091654
891823;1112317;1160285
734278;1111764;1148593
680646;1112677;1093145
749714;1112354;1156762
750726;1112644;1093664
750484;1151651;1112448
819823;1140905;1177421
795286;1125326;1147553
1051447;1129194;1092472
1052598;1167808;1119213
808889;1137225;1097477
747576;1112283;1158759
897005;1130804;1134398
846945;1106282;1111248
954838;1092882;1112306
770291;1082429;1112747
749335;1112299;1153827
793615;1142043;1125773
750681;1109564;1112450
1020669;1099028;1121289
750726;1112644;1136598
799987;1129499;1112543
931024;1118690;1102118
779869;1166743;1085945
839375;1111228;1154437
685309;1112690;1140686
731576;1111528;1127423
942633;1108268;1163674
700919;1122733;1112252
865220;1120847;1091379
3022947;1112309;1171557
738958;1114364;1149848
852580;1129618;1102880
869538;1112211;1157310
837437;1139304;1138456
834491;1175487;1133093
750842;1112462;1085409
732049;1111554;1112293
963289;1150570;1136687
747064;1111331;1094142
683172;1158598;1163193
751116;1097321;1112507
747064;1174517;1111331
842362;1117280;1130084
749534;1112336;1082429
902489;1112557;1141761
786582;1105980;1098979
997435;1142179;1159293
665175;1104966;1112489
950821;1112448;1087929
870429;1091187;1084219
770291;1168173;1082429
1034092;1148287;1112093
888634;1131869;1127317
747161;1085377;1111359
667117;1163363;1137114
1071035;1133960;1128135
737044;1111246;1111874
1023650;1156481;1107720
733971;1112576;1171858
777397;1176674;1153274
751486;1140307;1111248
750313;1121019;1112411
748726;1152089;1112409
816549;1111829;1165547
747876;1082469;1112403
786857;1130128;1078352
681137;1110674;1112355
671479;1074732;1081738
673766;1163254;1109068
742593;1140393;1137650
732885;1178159;1111677
963388;1111731;1173648
799689;1112551;1171477
1051103;1148866;1129640
1051459;1169840;1163716
1054018;1112450;1108237
671045;1179305;1128053
932243;1154987;1111946
712899;1112712;1141101
748637;1111283;1149374
784340;1158598;1163193
692863;1139213;1112002
935245;1133960;1154097
1040778;1136729;1082915
725622;1175339;1111699
929924;1157377;1104529
1050104;1083251;1090714
747516;1081549;1112269
751302;1170236;1112551
714196;1130688;1112729
1053564;1093971;1173026
668411;1164735;1074820
770291;1162631;1082429
713624;1077074;1091379
1022897;1129846;1098893
1039235;1073573;1139304
957995;1093385;1152515
1058030;1162255;1080036
736441;1111837;1143727
832609;1111228;1141081
699950;1111577;1133377
1027652;1161462;1174180
710812;1077586;1136729
779325;1110685;1090785
883856;1095459;1139304
956560;1139304;1089697
