t_id_terreno;geometria_valida
1086332;f
1139047;f
1139101;f
1074192;f
1111357;f
1093723;f
1111724;f
1145490;f
1086106;f
1168457;f
1159181;f
1133498;f
1169003;f
1134065;f
1142655;f
1112649;f
1176355;f
1158038;f
1147449;f
1159006;f
1128508;f
1097193;f
1171532;f
1156584;f
1086709;f
1117490;f
1101702;f
1161111;f
1118138;f
1105430;f
1152679;f
1131604;f
1095898;f
1133697;f
1174557;f
1166721;f
1086865;f
1131344;f
