t_id_predio;numero_predial
786948;470010002000000021901900000000
918530;470010114000000230902900000000
1058777;470010002000000070803800000000
934714;470010113000000070903900000000
868570;470010113000000740901900000000
802077;470010110000001720005200000001
728330;470010105000002580901900000000
749718;470010001000000020801800002376
722195;470010101000001400903900000000
868590;470010114000000350901900000000
725229;470010110000000300003500000001
899208;470010001000000029001900000000
750905;470010002000000060801800004585
868621;470010114000000190901900000000
750388;470010106000003770901900000000
723592;470010111000001370024200000000
749481;470010107000000460903900000000
1067750;470010114000000780901900000000
737959;470010109000002010801800000050
869762;470010101000001410901900000000
1058765;470010113000000070902900000000
750788;470010002000000060801800000610
899427;470010101000001060901900000000
657753;470010110000000300001500000013
907093;470010004000000020801800000000
667928;470010106000000560901900000000
749248;470010101000001790903900000000
899425;470010101000001230901900000000
868592;470010114000000530901900000000
658099;470010111000001760003500000056
750269;470010106000003770901900000000
1073050;470010110000001590901900000059
749487;470010107000001300801800000000
749389;470010106000007100801800000017
750897;470010002000000060914900000000
899123;470010105000000470901900000000
720539;470010114000001520901900000000
1058779;470010115000006770901900000000
918528;470010114000000960902900000000
749371;470010107000000100905900000000
751150;470010109000002010801800000050
749335;470010101000001840902900000000
658346;470010105000000440901900000000
907147;470010113000000070901900000000
694456;1151_345_C
749907;470010110000000170801800000030
750941;470010002000000070801800000421
1061127;470010101000001400901900000000
749714;470010002000000040801800003950
751355;470010800000000700901900000000
749534;470010112000000940801800000001
750974;470010002000000060801800004718
717659;470010110000000300003500000043
724026;470010109000002580801800000053
750677;470010002000000060801800004447
749443;956_8_A
745368;470010003000000010901900000000
868640;470010101000001440901900000000
750840;470010109000002580801800000344
918508;470010114000000230901900000000
750679;470010002000000060801800004446
678188;470010110000001500010500000001
1058771;470010101000000310901900000000
918526;470010114000000960901900000000
1058767;470010101000000280901900000000
1058769;470010101000000300901900000000
750945;470010109000002580801800000091
749333;470010101000001440902900000000
750790;470010002000000070801800000420
750209;470010106000003770901900000000
722197;470010101000000990901900000000
723017;470010115000001540901900000000
741154;470010003000000010901900000000
749485;470010107000000810801800000333
659868;470010105000001150901900000000
899228;470010115000006460901900000000
751363;470010800000000700901900000000
868594;470010114000000210901900000000
