t_id_predio;numero_predial;condicion_predio
1041958;470010110000000050013300000000;Mejoras
817632;470010110000000790009300000000;Mejoras
1065770;470010003000000010225500000269;Mejoras
699902;470010111000001220001500000012;Mejoras
803666;470010110000000640018300000000;Mejoras
685424;470010110000000640763300000000;Mejoras
937500;470010110000000640019300000000;Mejoras
671816;470010110000000640017300000000;Mejoras
902416;470010107000000490707000000000;Mejoras
658514;470010110000000790010300000000;Mejoras
958290;470010110000000640011300000000;Mejoras
894135;470010108000000010009000000000;Mejoras
1041470;470010110000000050012300000000;Mejoras
