t_id_caracterististica_unidadconstruccion;identificador
72986;A
48250;A
62774;A
84765;A-1
74092;A
74136;A
71489;A
43674;A
33735;A
28474;A
74003;A
28386;A
46056;A
35153;A
75588;A
25038;A
45173;A
34623;A
74795;A
76117;A
73737;A
75721;A
34932;A
72501;A
75765;A
36402;A
47632;A
74705;A
53197;A
45748;A
45129;A
73871;A
73384;A
29413;A
84034;A
41107;A
55812;A
52463;NULL
48162;A
32043;A
84040;A
70212;A
67308;A
84039;A
31062;A
74750;A
42170;A
26107;A
84031;A
84160;A
52563;NULL
84762;A
29725;A
72853;A
62730;A
49306;A
40440;A
66604;A
42747;A
84033;A
84028;A
73915;A
45085;A
74487;A
70740;A
73251;A
75809;A
76029;A
38216;A
84037;A
43718;A
47810;A
29368;A
45217;A
25932;A
74883;A
75235;A
65284;A
74839;A
75413;A
32443;A
84032;A
73693;A
74618;A
61893;A
25261;A
23741;A
41951;A
33286;A
74971;A
84030;A
42434;A
49481;A
23920;A
74927;A
84038;A
65328;A
29770;A
30794;A
48558;A
84035;A
68673;A
84029;A
61013;A
47149;A
33241;A
62202;A
49525;A
30127;A
39686;A
42567;A
32931;A
64668;A
84036;A
71930;A
76293;A
7971;A
46100;A
40351;A
45041;A
74180;A
53337;A
