t_id_derecho;tipo_derecho;t_id_predio;numero_predial
2949811;Dominio;1066413;470010002000000049983000000000
2949783;Dominio;826725;470010106000000560095000000000
2863420;Dominio;1028502;470010002000000076901908010126
2980160;Dominio;1003876;470010110000000640903902030505
2940291;Dominio;979197;470010108000000060902902070092
2940294;Dominio;808061;470010002000000049984000000000
2814300;Dominio;657749;470010002000000076901907040612
2949720;Dominio;1003731;470010002000000076901908010125
2863418;Dominio;1061217;470010002000000049985000000000
