t_id_terreno;area_terreno;area_digital_gestor
1112745;0.0;
1112740;0.0;0.0
1112749;0.0;
1112738;0.0;0.0
1112647;0.0;
1112732;0.0;0.0
1112741;0.0;
1112744;0.0;
1112728;0.0;
1112639;0.0;0.0
1170404;1.0;
1112737;0.0;0.0
1112733;0.0;0.0
1112746;0.0;
1142832;0.0;
1112748;0.0;
1112739;0.0;0.0
1112650;0.0;
1112743;0.0;
1112742;0.0;
1112736;0.0;0.0
