t_id_predio;numero_predial;condicion_predio;tipo_interesado
892373;470010104000000760902900000000;PH.Matriz;Persona_Natural
954279;470010107000000070903900000000;PH.Matriz;Persona_Natural
1015634;470010107000000210903900000000;PH.Matriz;Persona_Natural
667179;470010107000000430902900000000;PH.Matriz;Persona_Natural
676077;470010104000000750901900000000;PH.Matriz;Persona_Natural
1006972;470010104000000660901900000000;PH.Matriz;Persona_Natural
861805;470010107000000090904900000000;PH.Matriz;Persona_Natural
896989;470010107000000060905900000000;PH.Matriz;Persona_Natural
1067481;470010107000000450902900000000;PH.Matriz;Persona_Natural
1008106;470010110000000190905900000000;PH.Matriz;Persona_Natural
1060918;470010107000000130904900000000;PH.Matriz;Persona_Natural
928168;470010107000000410903900000000;PH.Matriz;Persona_Natural
1041016;470010107000000100903900000000;PH.Matriz;Persona_Natural
928174;470010107000000080913900000000;PH.Matriz;Persona_Natural
1043954;470010107000000130908900000000;PH.Matriz;Persona_Natural
802513;470010107000000100910900000000;PH.Matriz;Persona_Natural
963859;470010107000000100907900000000;PH.Matriz;Persona_Natural
1029608;470010104000000760901900000000;PH.Matriz;Persona_Natural
675461;470010107000000270901900000000;PH.Matriz;Persona_Natural
826867;470010110000000480902900000000;PH.Matriz;Persona_Natural
1034394;470010110000000170801800000000;Condominio.Matriz;Persona_Natural
1066471;470010107000000100905900000000;PH.Matriz;Persona_Natural
1028677;470010107000000480901900000000;PH.Matriz;Persona_Natural
1028424;470010107000000080908900000000;PH.Matriz;Persona_Natural
1067204;470010107000000070902900000000;PH.Matriz;Persona_Natural
963827;470010107000000100904900000000;PH.Matriz;Persona_Natural
958428;470010107000000560901900000000;PH.Matriz;Persona_Natural
953125;470010107000000060901900000000;PH.Matriz;Persona_Natural
914671;470010107000001300901900000000;PH.Matriz;Persona_Natural
1033772;470010107000000510901900000000;PH.Matriz;Persona_Natural
940188;470010107000000970801800000000;Condominio.Matriz;Persona_Natural
801630;470010107000000220901900000000;PH.Matriz;Persona_Natural
1028707;470010107000000270904900000000;PH.Matriz;Persona_Natural
684976;470010107000000310905900000000;PH.Matriz;Persona_Natural
940163;470010107000000300901900000000;PH.Matriz;Persona_Natural
1021034;470010110000001820902900000000;PH.Matriz;Persona_Natural
1056466;470010110000000540902900000000;PH.Matriz;Persona_Natural
678293;470010115000003920027900000000;PH.Matriz;Persona_Natural
708189;470010102000002200015900000000;PH.Matriz;Persona_Natural
758652;470010107000000740901900000000;PH.Matriz;Persona_Natural
1067521;470010107000000470901900000000;PH.Matriz;Persona_Natural
926260;470010104000000280901900000000;PH.Matriz;Persona_Natural
1003862;470010104000000140901900000000;PH.Matriz;Persona_Natural
1067555;470010107000000690901900000000;PH.Matriz;Persona_Natural
992350;470010107000000270905900000000;PH.Matriz;Persona_Natural
693887;470010107000000560902900000000;PH.Matriz;Persona_Natural
1060416;470010110000000470801800000000;Condominio.Matriz;Persona_Natural
1003809;470010107000000690902900000000;PH.Matriz;Persona_Natural
720553;470010104000000800901900000000;PH.Matriz;Persona_Natural
958454;470010107000001480901900000000;PH.Matriz;Persona_Natural
953080;470010107000000630901900000000;PH.Matriz;Persona_Natural
985658;470010104000000690901900000000;PH.Matriz;Persona_Natural
662582;470010107000000130906900000000;PH.Matriz;Persona_Natural
957679;470010107000000410901900000000;PH.Matriz;Persona_Natural
675825;470010110000000540801800000000;Condominio.Matriz;Persona_Natural
666274;470010104000000320901900000000;PH.Matriz;Persona_Natural
976978;470010104000000140902900000000;PH.Matriz;Persona_Natural
666318;470010107000000080910900000000;PH.Matriz;Persona_Natural
695586;470010107000000530903900000000;PH.Matriz;Persona_Natural
1068312;470010107000000720901900000000;PH.Matriz;Persona_Natural
923375;470010107000001220801800000000;Condominio.Matriz;Persona_Natural
922288;470010104000000330901900000000;PH.Matriz;Persona_Natural
695159;470010104000000610901900000000;PH.Matriz;Persona_Natural
1009917;470010110000000700901900000000;PH.Matriz;Persona_Natural
774527;470010107000000310902900000000;PH.Matriz;Persona_Natural
956919;470010107000000630801800000000;Condominio.Matriz;Persona_Natural
958592;470010107000000450903900000000;PH.Matriz;Persona_Natural
1041249;470010110000000490802800000000;Condominio.Matriz;Persona_Natural
1044383;470010107000000610903900000000;PH.Matriz;Persona_Natural
941373;470010110000001670901900000000;PH.Matriz;Persona_Natural
1060261;470010110000000650902900000000;PH.Matriz;Persona_Natural
940155;470010107000000300903900000000;PH.Matriz;Persona_Natural
1020658;470010104000000030902900000000;PH.Matriz;Persona_Natural
956222;470010107000000320901900000000;PH.Matriz;Persona_Natural
658092;470010107000000130903900000000;PH.Matriz;Persona_Natural
1038453;470010104000000670902900000000;PH.Matriz;Persona_Natural
979807;470010107000000430903900000000;PH.Matriz;Persona_Natural
985027;470010107000001210901900000000;PH.Matriz;Persona_Natural
1056322;470010107000000300904900000000;PH.Matriz;Persona_Natural
694336;470010107000000570904900000000;PH.Matriz;Persona_Natural
659649;470010107000000280906900000000;PH.Matriz;Persona_Natural
940151;470010107000000210905900000000;PH.Matriz;Persona_Natural
1014479;470010104000000550902900000000;PH.Matriz;Persona_Natural
1042630;470010107000000560801800000000;Condominio.Matriz;Persona_Natural
1028874;470010107000000490906900000000;PH.Matriz;Persona_Natural
958744;470010107000000460902900000000;PH.Matriz;Persona_Natural
964616;470010110000000710901900000000;PH.Matriz;Persona_Natural
675522;470010107000000310901900000000;PH.Matriz;Persona_Natural
976988;470010107000000550902900000000;PH.Matriz;Persona_Natural
775136;470010107000000090905900000000;PH.Matriz;Persona_Natural
1056289;470010107000000280904900000000;PH.Matriz;Persona_Natural
925139;470010107000000610902900000000;PH.Matriz;Persona_Natural
922100;470010107000001170901900000000;PH.Matriz;Persona_Natural
760133;470010110000001130901900000000;PH.Matriz;Persona_Natural
796661;470010107000000160902900000000;PH.Matriz;Persona_Natural
690353;470010107000000520904900000000;PH.Matriz;Persona_Natural
992763;470010105000000130003900000000;PH.Matriz;Persona_Natural
1048835;470010104000000590901900000000;PH.Matriz;Persona_Natural
955088;470010107000000120902900000000;PH.Matriz;Persona_Natural
685014;470010110000000470802800000000;Condominio.Matriz;Persona_Natural
801561;470010107000000380801800000000;Condominio.Matriz;Persona_Natural
940147;470010107000000130907900000000;PH.Matriz;Persona_Natural
958436;470010107000000560802800000000;Condominio.Matriz;Persona_Natural
826854;470010102000002710039000000000;PH.Matriz;Persona_Natural
664415;470010107000000610901900000000;PH.Matriz;Persona_Natural
1015955;470010104000000570902900000000;PH.Matriz;Persona_Natural
1003902;470010110000000400801800000000;Condominio.Matriz;Persona_Natural
963775;470010107000000080911900000000;PH.Matriz;Persona_Natural
727682;470010107000001210902900000000;PH.Matriz;Persona_Natural
1007757;470010107000000220903900000000;PH.Matriz;Persona_Natural
1056960;470010110000000650901900000000;PH.Matriz;Persona_Natural
1021028;470010110000000680903900000000;PH.Matriz;Persona_Natural
1011991;470010107000000070901900000000;PH.Matriz;Persona_Natural
1000039;470010104000000320902900000000;PH.Matriz;Persona_Natural
957265;470010104000000310902900000000;PH.Matriz;Persona_Natural
720084;470010104000000550901900000000;PH.Matriz;Persona_Natural
933010;470010107000000540901900000000;PH.Matriz;Persona_Natural
777843;470010104000000300901900000000;PH.Matriz;Persona_Natural
1060184;470010107000000520905900000000;PH.Matriz;Persona_Natural
984995;470010104000000570901900000000;PH.Matriz;Persona_Natural
933004;470010107000000520902900000000;PH.Matriz;Persona_Natural
1067461;470010107000000270903900000000;PH.Matriz;Persona_Natural
666272;470010104000000300902900000000;PH.Matriz;Persona_Natural
678580;470010104000000310901900000000;PH.Matriz;Persona_Natural
1060938;470010104000000050901900000000;PH.Matriz;Persona_Natural
823857;470010110000000680902900000000;PH.Matriz;Persona_Natural
932207;470010110000000580901900000000;PH.Matriz;Persona_Natural
962772;470010110000000010901900000000;PH.Matriz;Persona_Natural
