t_id_predio;numero_predial;condicion_predio;destinacion_economica;uso_construccion
1060106;470010002000000040901901010004;PH.Unidad_Predial;Agroindustrial;
791979;470010002000000040901901010012;PH.Unidad_Predial;Agroindustrial;
792004;470010002000000040901901010017;PH.Unidad_Predial;Agroindustrial;
791971;470010002000000040901901010001;PH.Unidad_Predial;Agroindustrial;
792002;470010002000000040901901010025;PH.Unidad_Predial;Agroindustrial;
666224;470010002000000040901901010013;PH.Unidad_Predial;Agroindustrial;
662746;470010002000000040901901010026;PH.Unidad_Predial;Agroindustrial;
792006;470010002000000040901901010016;PH.Unidad_Predial;Agroindustrial;
1003719;470010002000000040901901010002;PH.Unidad_Predial;Agroindustrial;
662512;470010002000000040901901010008;PH.Unidad_Predial;Agroindustrial;
791967;470010002000000040901901010014;PH.Unidad_Predial;Agroindustrial;
1000173;470010002000000040901901010021;PH.Unidad_Predial;Agroindustrial;
792008;470010002000000040901901010024;PH.Unidad_Predial;Agroindustrial;
1036500;470010002000000040901901010022;PH.Unidad_Predial;Agroindustrial;
792036;470010003000000030336000000000;NPH;Agroindustrial;
801060;470010002000000040901901010019;PH.Unidad_Predial;Agroindustrial;
792010;470010107000001400015000000000;NPH;Agroindustrial;
791987;470010002000000040901901010006;PH.Unidad_Predial;Agroindustrial;
1016327;470010002000000040901901010011;PH.Unidad_Predial;Agroindustrial;
1032247;470010110000001760005000000000;NPH;Agroindustrial;
791969;470010002000000040901901010009;PH.Unidad_Predial;Agroindustrial;
1045606;470010002000000040901901010023;PH.Unidad_Predial;Agroindustrial;
799511;470010002000000040901901010027;PH.Unidad_Predial;Agroindustrial;
791981;470010002000000040901901010010;PH.Unidad_Predial;Agroindustrial;
792020;470010002000000040901901010015;PH.Unidad_Predial;Agroindustrial;
792016;470010002000000040901901010020;PH.Unidad_Predial;Agroindustrial;
671646;470010002000000040901901010007;PH.Unidad_Predial;Agroindustrial;
974702;470010002000000040901901010005;PH.Unidad_Predial;Agroindustrial;
657954;470010002000000040901901010003;PH.Unidad_Predial;Agroindustrial;
792026;470010002000000040901901010018;PH.Unidad_Predial;Agroindustrial;
