t_id_predio;numero_predial;condicion_predio;destinacion_economica;uso_construccion
961680;470010114000000360006000000000;NPH;Educativo;
763789;470010109000001570024000000000;NPH;Educativo;
815697;470010101000000420029000000000;NPH;Educativo;
694764;470010002000000010194000000000;NPH;Educativo;
934568;470010104000000770002000000000;NPH;Educativo;
934209;470010106000008810001000000000;NPH;Educativo;
801618;470010101000000540003000000000;NPH;Educativo;
811777;470010103000001540005500000001;Parque_Cementerio.Unidad_Predial;Educativo;
805863;470010102000002820007000000000;NPH;Educativo;
792022;470010102000002650001000000000;NPH;Educativo;
932978;470010102000001860015000000000;NPH;Educativo;
767987;470010002000000020465000000000;NPH;Educativo;
678287;470010109000002080019000000000;NPH;Educativo;
792032;470010114000000190015000000000;NPH;Educativo;
957923;470010105000000940159000000000;NPH;Educativo;
764820;470010112000001370001500000008;Parque_Cementerio.Unidad_Predial;Educativo;
936835;470010103000004510007000000000;NPH;Educativo;
663625;470010101000001080031000000000;NPH;Educativo;
961213;470010113000001170010000000000;NPH;Educativo;
1064246;470010107000000060141000000000;NPH;Educativo;
946492;470010107000000060124000000000;NPH;Educativo;
1012941;470010102000001060007000000000;NPH;Educativo;
795499;470010002000000066540000000000;NPH;Educativo;
708720;470010106000006200010000000000;NPH;Educativo;
1029706;470010102000002520010000000000;NPH;Educativo;
1027303;470010102000003360009000000000;NPH;Educativo;
759317;470010001000000021726500000001;Parque_Cementerio.Unidad_Predial;Educativo;
972213;470010107000000060001000000000;NPH;Educativo;
765207;470010900000000120030000000000;NPH;Educativo;
714883;470010102000002500018000000000;NPH;Educativo;
763887;470010103000001540005000000000;NPH;Educativo;
1029855;470010105000000090009000000000;NPH;Educativo;
797481;470010114000000660007500000013;Parque_Cementerio.Unidad_Predial;Educativo;
1014113;470010102000002820013000000000;NPH;Educativo;
807877;470010113000000720001000000000;NPH;Educativo;
697351;470010103000000480019000000000;NPH;Educativo;
663984;470010115000006560003000000000;NPH;Educativo;
1013290;470010103000001960001000000000;NPH;Educativo;
1003695;470010102000002030003000000000;NPH;Educativo;
970916;470010105000000030001000000000;NPH;Educativo;
926194;470010102000002160005000000000;NPH;Educativo;
1041576;470010107000001350008000000000;NPH;Educativo;
815643;470010101000000610009000000000;NPH;Educativo;
802996;470010101000000390004000000000;NPH;Educativo;
1022481;470010113000000940005000000000;NPH;Educativo;
980855;470010102000002520001000000000;NPH;Educativo;
1022808;470010101000001010003000000000;NPH;Educativo;
939170;470010800000000670070000000000;NPH;Educativo;
795537;470010114000000200004000000000;NPH;Educativo;
672444;470010109000003600002000000000;NPH;Educativo;
708718;470010106000006200006000000000;NPH;Educativo;
889562;470010101000001290020000000000;NPH;Educativo;
814623;470010002000000010326500000001;Parque_Cementerio.Unidad_Predial;Educativo;
792034;470010104000000220006000000000;NPH;Educativo;
934064;470010102000002160076000000000;NPH;Educativo;
958539;470010102000002250012000000000;NPH;Educativo;
763825;470010109000001570024500000001;Parque_Cementerio.Unidad_Predial;Educativo;
703703;470010102000004490003000000000;NPH;Educativo;
1024301;470010107000001210076000000000;NPH;Educativo;
762746;470010109000004040001000000000;NPH;Educativo;
815851;470010007000000020162000000000;NPH;Educativo;
680685;470010800000000480001000000000;NPH;Educativo;
697840;470010101000001660005000000000;NPH;Educativo;
763430;470010102000001010017000000000;NPH;Educativo;
676287;470010115000001700001000000000;NPH;Educativo;
710738;470010006000000020346000000000;NPH;Educativo;
981039;470010103000001620001000000000;NPH;Educativo;
765046;470010103000004620010500000061;Parque_Cementerio.Unidad_Predial;Educativo;
1005382;470010105000000170016000000000;NPH;Educativo;
1039415;470010102000003380017000000000;NPH;Educativo;
974463;470010101000001600001000000000;NPH;Educativo;
763586;470010109000001920001500000001;Parque_Cementerio.Unidad_Predial;Educativo;
821991;470010102000003010005000000000;NPH;Educativo;
696427;470010006000000010652000000000;NPH;Educativo;
1016655;470010102000001720011000000000;NPH;Educativo;
789463;470010109000002580801800000006;Condominio.Unidad_Predial;Educativo;
958762;470010102000001430001000000000;NPH;Educativo;
816193;470010101000001530014000000000;NPH;Educativo;
755195;470010106000000510045000000000;NPH;Educativo;
1051674;470010106000004880002000000000;NPH;Educativo;
800290;470010008000000010011500000004;Parque_Cementerio.Unidad_Predial;Educativo;
764019;470010800000000880001500000001;Parque_Cementerio.Unidad_Predial;Educativo;
707931;470010003000000010808500000252;Parque_Cementerio.Unidad_Predial;Educativo;
660915;470010112000000130013000000000;NPH;Educativo;
850226;470010102000000030020000000000;NPH;Educativo;
853707;470010109000001330001000000000;NPH;Educativo;
900250;470010106000003980018000000000;NPH;Educativo;
817166;470010101000001680011000000000;NPH;Educativo;
667083;470010107000001340011000000000;NPH;Educativo;
932891;470010103000000470019000000000;NPH;Educativo;
1059187;470010102000002510001000000000;NPH;Educativo;
958473;470010102000002310018000000000;NPH;Educativo;
719198;470010108000000110022000000000;NPH;Educativo;
713566;470010107000000060152000000000;NPH;Educativo;
960460;470010900000000760006000000000;NPH;Educativo;
1013240;470010103000002160003000000000;NPH;Educativo;
881539;470010106000001690002500000001;Parque_Cementerio.Unidad_Predial;Educativo;
957907;470010105000000170003000000000;NPH;Educativo;
817110;470010101000001780001000000000;NPH;Educativo;
958531;470010101000001150013000000000;NPH;Educativo;
708722;470010106000006200009000000000;NPH;Educativo;
763153;470010109000001560001000000000;NPH;Educativo;
1058240;470010102000000940011000000000;NPH;Educativo;
795109;470010002000000010404000000000;NPH;Educativo;
965798;470010107000000060013000000000;NPH;Educativo;
1010940;470010109000003600006000000000;NPH;Educativo;
724996;470010006000000010461500000001;Parque_Cementerio.Unidad_Predial;Educativo;
811636;470010003000000040021500000023;Parque_Cementerio.Unidad_Predial;Educativo;
845325;470010007000000020004500000058;Parque_Cementerio.Unidad_Predial;Educativo;
934019;470010102000000690008000000000;NPH;Educativo;
802942;470010101000000390001000000000;NPH;Educativo;
803691;470010106000006200012000000000;NPH;Educativo;
669821;470010002000000020779000000000;NPH;Educativo;
932178;470010106000000090002000000000;NPH;Educativo;
767314;470010001000000021718500000009;Parque_Cementerio.Unidad_Predial;Educativo;
699585;470010106000000360007000000000;NPH;Educativo;
890148;470010109000000050006000000000;NPH;Educativo;
829237;470010105000000980017500000001;Parque_Cementerio.Unidad_Predial;Educativo;
763027;470010101000001620017000000000;NPH;Educativo;
967453;470010105000000870013000000000;NPH;Educativo;
815443;470010101000000770064000000000;NPH;Educativo;
980870;470010102000003240013000000000;NPH;Educativo;
958641;470010101000002120007000000000;NPH;Educativo;
1022945;470010106000001340007000000000;NPH;Educativo;
1047964;470010102000003200019000000000;NPH;Educativo;
937851;470010111000002060036000000000;NPH;Educativo;
1055530;470010101000001840022000000000;NPH;Educativo;
816779;470010101000001360025000000000;NPH;Educativo;
991434;470010114000000200001000000000;NPH;Educativo;
673625;470010102000002300003000000000;NPH;Educativo;
827183;470010105000001770026500000001;Parque_Cementerio.Unidad_Predial;Educativo;
960826;470010115000000730062000000000;NPH;Educativo;
989179;470010107000001340052000000000;NPH;Educativo;
1011915;470010102000002160077000000000;NPH;Educativo;
798563;470010006000000020360000000000;NPH;Educativo;
1052598;470010107000000060121000000000;NPH;Educativo;
1006192;470010002000000020627000000000;NPH;Educativo;
932935;470010102000003360012000000000;NPH;Educativo;
792069;470010104000001120061000000000;NPH;Educativo;
799086;470010111000002060037000000000;NPH;Educativo;
1043457;470010101000000070022000000000;NPH;Educativo;
957919;470010106000000400006500000001;Parque_Cementerio.Unidad_Predial;Educativo;
674685;470010109000002080020000000000;NPH;Educativo;
884663;470010106000005610064500000001;Parque_Cementerio.Unidad_Predial;Educativo;
801559;470010005000000010007500000008;Parque_Cementerio.Unidad_Predial;Educativo;
976332;470010105000000570022000000000;NPH;Educativo;
776832;470010103000003180011000000000;NPH;Educativo;
989394;470010107000001340002000000000;NPH;Educativo;
712724;470010103000004620007500000097;Parque_Cementerio.Unidad_Predial;Educativo;
676380;470010103000001900029000000000;NPH;Educativo;
664202;470010107000000980001000000000;NPH;Educativo;
1003092;470010105000000870009000000000;NPH;Educativo;
960782;470010115000004190011000000000;NPH;Educativo;
972242;470010107000000060134000000000;NPH;Educativo;
936365;470010001000000021768000000000;NPH;Educativo;
670572;470010102000002430019000000000;NPH;Educativo;
1022958;470010106000002800009000000000;NPH;Educativo;
