t_id_predio;numero_predial;matricula_inmobiliaria
766688;470010115000006650901900001005;-125858
716830;470010103000001760012000000000;12540-
715009;470010103000000970008000000000;46668-97
1070525;470010003000000011987000000000;55911-96
712223;470010001000000021277500000002;080-110753
1018507;470010112000000880011000000000;84538-2004
723518;470010002000000021901901010103;1S6732
932500;470010004000000010043000000000;-133191
841820;470010800000000080007000000000;28102T
815012;470010103000001760006000000000;16032-
774152;470010115000006650903900002458;-133578
681417;470010104000001190011000000000;8934-
662609;470010110000000830901900000221;-147797
1037010;470010107000000280903901010112;430a
716844;470010103000001760013000000000;25218-
767579;470010112000000140020000000000;83596-
955405;470010800000001290007000000000;74631T
1023540;470010800000000810006000000000;35086-89
1043309;470010103000001760003000000000;17045-
1002515;470010103000001760002000000000;6767-
962005;470010002000000010302000000000;222-35466
1030034;470010109000000140021000000000;97508-
804097;470010103000001760007000000000;17360-
676244;470010103000001760001000000000;7293-
988516;470010002000000060901900000048;-114582
1036590;470010106000011540029000000000;-133273
1054885;470010113000000780048000000000;0890-137608
1018157;470010103000001760008000000000;10824-
1012655;470010107000000840029000000000;13155-
796000;470010003000000060005000000000;201042600365-62
680328;470010101000001650901900000058;-107884
1045763;470010002000000022631000000000;-117193
734351;470010107000000910013000000000;202024600746-65
863175;470010103000001760004000000000;19229-
785572;470010106000007930007000000000;66960-
987889;470010103000002810007000000000;44759-
854259;470010105000000960013000000000;1010261-54271
666240;470010002000000040908900005636;-118195
