t_id_predio;numero_predial;condicion_predio;destinacion_economica;tipo_predio
792101;470010106000004170901900000073;PH.Unidad_Predial;Institucional;Predio.Publico.Ejido
884334;470010106000004170901900000072;PH.Unidad_Predial;Institucional;Predio.Publico.Ejido
792073;470010106000004170901900000076;PH.Unidad_Predial;Institucional;Predio.Publico.Ejido
795029;470010002000000010401000000000;NPH;Institucional;Predio.Publico.Ejido
765241;470010115000005360001000000000;NPH;Institucional;Predio.Publico.Ejido
792089;470010101000001400901900000064;PH.Unidad_Predial;Institucional;Predio.Publico.Ejido
834235;470010003000000012208500000001;Parque_Cementerio.Unidad_Predial;Institucional;Predio.Publico.Ejido
765271;470010115000005340001000000000;NPH;Institucional;Predio.Publico.Ejido
1025648;470010101000002040014000000000;NPH;Institucional;Predio.Publico.Ejido
678714;470010101000001400901900000059;PH.Unidad_Predial;Institucional;Predio.Publico.Ejido
685875;470010106000000260002000000000;NPH;Institucional;Predio.Publico.Ejido
997299;470010115000005290001000000000;NPH;Institucional;Predio.Publico.Ejido
885370;470010003000000040287000000000;NPH;Institucional;Predio.Publico.Ejido
1043642;470010101000001400901900000052;PH.Unidad_Predial;Institucional;Predio.Publico.Ejido
994526;470010101000001400901900000062;PH.Unidad_Predial;Institucional;Predio.Publico.Ejido
661810;470010102000003780002000000000;NPH;Institucional;Predio.Publico.Ejido
776797;470010102000000010031000000000;NPH;Institucional;Predio.Publico.Ejido
894317;470010106000008040005000000000;NPH;Institucional;Predio.Publico.Ejido
934559;470010106000004170901900000065;PH.Unidad_Predial;Institucional;Predio.Publico.Ejido
767971;470010101000002040015000000000;NPH;Institucional;Predio.Publico.Ejido
763110;470010102000002940001000000000;NPH;Institucional;Predio.Publico.Ejido
853679;470011000000000040001000000000;NPH;Institucional;Predio.Publico.Ejido
831226;470010104000001740001000000000;NPH;Institucional;Predio.Publico.Ejido
817078;470010102000001530005000000000;NPH;Institucional;Predio.Publico.Ejido
778228;470010102000002770001000000000;NPH;Institucional;Predio.Publico.Ejido
1005897;470010101000001400901900000063;PH.Unidad_Predial;Institucional;Predio.Publico.Ejido
795063;470010002000000010398000000000;NPH;Institucional;Predio.Publico.Ejido
1013100;470010101000001400901900000051;PH.Unidad_Predial;Institucional;Predio.Publico.Ejido
792837;470010001000000021141000000000;NPH;Institucional;Predio.Publico.Ejido
764034;470010104000000860002000000000;NPH;Institucional;Predio.Publico.Ejido
766289;470010900000000220011000000000;NPH;Institucional;Predio.Publico.Ejido
958087;470010104000001440001000000000;NPH;Institucional;Predio.Publico.Ejido
959896;470010106000004170901900000019;PH.Unidad_Predial;Institucional;Predio.Publico.Ejido
934173;470010101000001400901900000029;PH.Unidad_Predial;Institucional;Predio.Publico.Ejido
807029;470010106000006090001000000000;NPH;Institucional;Predio.Publico.Ejido
659367;470010101000001260003000000000;NPH;Institucional;Predio.Publico.Ejido
701205;470010106000004170901900000070;PH.Unidad_Predial;Institucional;Predio.Publico.Ejido
980927;470010106000006210003000000000;NPH;Institucional;Predio.Publico.Ejido
1011269;470010101000001400901900000034;PH.Unidad_Predial;Institucional;Predio.Publico.Ejido
957743;470010106000004170120000000000;NPH;Institucional;Predio.Publico.Ejido
960794;470010106000002150001000000000;NPH;Institucional;Predio.Publico.Ejido
935498;470010106000001200001000000000;NPH;Institucional;Predio.Publico.Ejido
934179;470010101000001400901900000028;PH.Unidad_Predial;Institucional;Predio.Publico.Ejido
818584;470010110000001670007000000000;NPH;Institucional;Predio.Publico.Ejido
670170;470010104000000520035000000000;NPH;Institucional;Predio.Publico.Ejido
957964;470010108000000050001000000000;NPH;Institucional;Predio.Publico.Ejido
792091;470010106000004170901900000079;PH.Unidad_Predial;Institucional;Predio.Publico.Ejido
845176;470010106000004170119000000000;NPH;Institucional;Predio.Publico.Ejido
931986;470010106000004170007000000000;NPH;Institucional;Predio.Publico.Ejido
958529;470010102000003380029000000000;NPH;Institucional;Predio.Publico.Ejido
960278;470010109000000460005000000000;NPH;Institucional;Predio.Publico.Ejido
677294;470010101000001400901900000044;PH.Unidad_Predial;Institucional;Predio.Publico.Ejido
934791;470010109000003870009000000000;NPH;Institucional;Predio.Publico.Ejido
710918;470010102000001530006000000000;NPH;Institucional;Predio.Publico.Ejido
959898;470010106000004170901900000069;PH.Unidad_Predial;Institucional;Predio.Publico.Ejido
817230;470010101000001710003000000000;NPH;Institucional;Predio.Publico.Ejido
706644;470010101000000020009000000000;NPH;Institucional;Predio.Publico.Ejido
1055763;470010101000000390002000000000;NPH;Institucional;Predio.Publico.Ejido
933104;470010101000002040001000000000;NPH;Institucional;Predio.Publico.Ejido
827264;470010109000002280002000000000;NPH;Institucional;Predio.Publico.Ejido
959622;470010103000002930011000000000;NPH;Institucional;Predio.Publico.Ejido
762758;470010106000004170004000000000;NPH;Institucional;Predio.Publico.Ejido
678251;470010101000001400901900000048;PH.Unidad_Predial;Institucional;Predio.Publico.Ejido
816209;470010101000001260004000000000;NPH;Institucional;Predio.Publico.Ejido
845874;470010101000002250001000000000;NPH;Institucional;Predio.Publico.Ejido
763133;470010103000007490001000000000;NPH;Institucional;Predio.Publico.Ejido
934013;470010101000001490003000000000;NPH;Institucional;Predio.Publico.Ejido
783989;470010105000000020003000000000;NPH;Institucional;Predio.Publico.Ejido
795497;470010002000000066541000000000;NPH;Institucional;Predio.Publico.Ejido
1019029;470010103000001240001000000000;NPH;Institucional;Predio.Publico.Ejido
862065;470010107000001390005000000000;NPH;Institucional;Predio.Publico.Ejido
1055040;470010101000001400901900000054;PH.Unidad_Predial;Institucional;Predio.Publico.Ejido
1034094;470010101000001400901900000046;PH.Unidad_Predial;Institucional;Predio.Publico.Ejido
792099;470010101000001400901900000065;PH.Unidad_Predial;Institucional;Predio.Publico.Ejido
769142;470010002000000010460000000000;NPH;Institucional;Predio.Publico.Ejido
958426;470010103000007490002000000000;NPH;Institucional;Predio.Publico.Ejido
954451;470010106000004170901900000085;PH.Unidad_Predial;Institucional;Predio.Publico.Ejido
816217;470010101000001260001000000000;NPH;Institucional;Predio.Publico.Ejido
730578;470010106000002090026000000000;NPH;Institucional;Predio.Publico.Ejido
961019;470010105000001170001000000000;NPH;Institucional;Predio.Publico.Ejido
802041;470010101000002270001500000006;Parque_Cementerio.Unidad_Predial;Institucional;Predio.Publico.Ejido
669533;470010106000000260003000000000;NPH;Institucional;Predio.Publico.Ejido
792109;470010106000004170901900000095;PH.Unidad_Predial;Institucional;Predio.Publico.Ejido
1003125;470010102000001530004000000000;NPH;Institucional;Predio.Publico.Ejido
934332;470010101000001400901900000060;PH.Unidad_Predial;Institucional;Predio.Publico.Ejido
1047701;470010106000004170005000000000;NPH;Institucional;Predio.Publico.Ejido
