t_id_agrupacion;suma_participacion
328;
344;
337;
333;
326;
320;
331;
319;
325;
336;
346;
329;
340;
341;
345;
339;
347;
330;
338;
342;
343;
335;
332;
334;
327;
324;
321;
323;
322;
