t_id_predio;numero_predial;condicion_predio;destinacion_economica;uso_construccion
691319;470010110000001590901900000013;PH.Unidad_Predial;Pecuario;
853887;470010008000000020007500000001;Parque_Cementerio.Unidad_Predial;Pecuario;
989002;470010110000001590901900000082;PH.Unidad_Predial;Pecuario;
886753;470010106000008970001000000000;NPH;Pecuario;
971019;470010003000000010001500000001;Parque_Cementerio.Unidad_Predial;Pecuario;
769878;470010106000008940001000000000;NPH;Pecuario;
703945;470010004000000050046500000001;Parque_Cementerio.Unidad_Predial;Pecuario;
762698;470010003000000040021500000025;Parque_Cementerio.Unidad_Predial;Pecuario;
860530;470010106000008930001000000000;NPH;Pecuario;
753570;470010003000000040025500000001;Parque_Cementerio.Unidad_Predial;Pecuario;
888782;470010106000008990001000000000;NPH;Pecuario;
789393;470010006000000020015500000101;Parque_Cementerio.Unidad_Predial;Pecuario;
856195;470010003000000010141500000027;Parque_Cementerio.Unidad_Predial;Pecuario;
724675;470010106000008950001000000000;NPH;Pecuario;
761799;470010002000000020606500000001;Parque_Cementerio.Unidad_Predial;Pecuario;
