t_id_tramite;tramite;t_id_predio
1185524;Cancelacion;696044
1185606;Cancelacion;960792
1185604;Cancelacion;871416
1185603;Cancelacion;883436
1185523;Cancelacion;803265
1186455;Cancelacion;1042632
1186457;Cancelacion;660501
1186483;Cancelacion;796212
1184456;Cancelacion;990242
