t_id_unidadconstruccion;planta_ubicacion
1232725;4
1276061;4
1220704;0
1281908;1
1238939;5
1258137;2
1281645;4
1215510;1
1241834;2
1281906;1
1238943;2
1235983;2
1281910;1
1235974;5
1281911;3
1241835;4
1278904;5
1232728;4
1235987;2
1232717;4
1281909;1
1244847;4
1226200;5
1281907;1
1219816;0
1263017;5
1219286;0
1278903;5
