t_id_predio;numero_predial;condicion_predio;destinacion_economica;tipo_predio
809431;470010006000000020155500000018;Parque_Cementerio.Unidad_Predial;Religioso;Predio.Publico.Ejido
813102;470010107000001370069000000000;NPH;Religioso;Predio.Publico.Ejido
807888;470010106000009490002500000001;Parque_Cementerio.Unidad_Predial;Religioso;Predio.Publico.Ejido
960671;470010107000001370016000000000;NPH;Religioso;Predio.Publico.Ejido
959637;470010102000002450025000000000;NPH;Religioso;Predio.Publico.Ejido
960091;470010104000000430016000000000;NPH;Religioso;Predio.Publico.Ejido
1011039;470010116000000850007000000000;NPH;Religioso;Predio.Publico.Ejido
935233;470010116000001250017000000000;NPH;Religioso;Predio.Publico.Ejido
769466;470010800000001090001000000000;NPH;Religioso;Predio.Publico.Ejido
813142;470010107000001370071000000000;NPH;Religioso;Predio.Publico.Ejido
807543;470010107000001420001000000000;NPH;Religioso;Predio.Publico.Ejido
963975;470010107000001370040000000000;NPH;Religioso;Predio.Publico.Ejido
793599;470011000000000080004000000000;NPH;Religioso;Predio.Publico.Ejido
863602;470010106000005740004000000000;NPH;Religioso;Predio.Publico.Ejido
678051;470010113000000600001000000000;NPH;Religioso;Predio.Publico.Ejido
935235;470010116000001250008000000000;NPH;Religioso;Predio.Publico.Ejido
767641;470010900000000900029000000000;NPH;Religioso;Predio.Publico.Ejido
871561;470010600000000140005000000000;NPH;Religioso;Predio.Publico.Ejido
938607;470010800000000980004000000000;NPH;Religioso;Predio.Publico.Ejido
764439;470010107000001370002000000000;NPH;Religioso;Predio.Publico.Ejido
1017743;470010115000000720062000000000;NPH;Religioso;Predio.Publico.Ejido
1008053;470010006000000020317000000000;NPH;Religioso;Predio.Publico.Ejido
718449;470010006000000020493500000001;Parque_Cementerio.Unidad_Predial;Religioso;Predio.Publico.Ejido
1007854;470010106000006210005000000000;NPH;Religioso;Predio.Publico.Ejido
935228;470010116000001250004000000000;NPH;Religioso;Predio.Publico.Ejido
854275;470010800000000660005000000000;NPH;Religioso;Predio.Publico.Ejido
737553;470010106000005970001000000000;NPH;Religioso;Predio.Publico.Ejido
1040933;470010800000000740001000000000;NPH;Religioso;Predio.Publico.Ejido
959805;470010107000001370035000000000;NPH;Religioso;Predio.Publico.Ejido
934654;470010105000001140010000000000;NPH;Religioso;Predio.Publico.Ejido
806409;470010106000005600006000000000;NPH;Religioso;Predio.Publico.Ejido
971262;470010105000001140006000000000;NPH;Religioso;Predio.Publico.Ejido
851317;470010109000004260012500000001;Parque_Cementerio.Unidad_Predial;Religioso;Predio.Publico.Ejido
703462;470010006000000010426000000000;NPH;Religioso;Predio.Publico.Ejido
764203;470010900000000900027000000000;NPH;Religioso;Predio.Publico.Ejido
967749;470010109000000210003000000000;NPH;Religioso;Predio.Publico.Ejido
960567;470010116000001250016000000000;NPH;Religioso;Predio.Publico.Ejido
965347;470010800000000780003000000000;NPH;Religioso;Predio.Publico.Ejido
822390;470010105000000950002000000000;NPH;Religioso;Predio.Publico.Ejido
935091;470010111000003040001000000000;NPH;Religioso;Predio.Publico.Ejido
994775;470010101000000740009000000000;NPH;Religioso;Predio.Publico.Ejido
999524;470010105000001140001000000000;NPH;Religioso;Predio.Publico.Ejido
934637;470010105000000230902900000001;PH.Unidad_Predial;Religioso;Predio.Publico.Ejido
958306;470010800000000640018000000000;NPH;Religioso;Predio.Publico.Ejido
881811;470010115000000730025000000000;NPH;Religioso;Predio.Publico.Ejido
807890;470010115000000720015000000000;NPH;Religioso;Predio.Publico.Ejido
765356;470010114000001520012500000001;Parque_Cementerio.Unidad_Predial;Religioso;Predio.Publico.Ejido
938908;470010800000001030001000000000;NPH;Religioso;Predio.Publico.Ejido
1051451;470010115000000720018000000000;NPH;Religioso;Predio.Publico.Ejido
795962;470010107000001370007000000000;NPH;Religioso;Predio.Publico.Ejido
1024839;470010113000000220001000000000;NPH;Religioso;Predio.Publico.Ejido
717524;470010006000000020359500000001;Parque_Cementerio.Unidad_Predial;Religioso;Predio.Publico.Ejido
960104;470010103000007980180000000000;NPH;Religioso;Predio.Publico.Ejido
894370;470010111000000620022500000001;Parque_Cementerio.Unidad_Predial;Religioso;Predio.Publico.Ejido
751799;470010102000002780003000000000;NPH;Religioso;Predio.Publico.Ejido
1051182;470010800000000660020000000000;NPH;Religioso;Predio.Publico.Ejido
1008692;470010800000000870005000000000;NPH;Religioso;Predio.Publico.Ejido
671282;470010103000004630002000000000;NPH;Religioso;Predio.Publico.Ejido
788419;470010800000000760008000000000;NPH;Religioso;Predio.Publico.Ejido
810752;470010800000000280001000000000;NPH;Religioso;Predio.Publico.Ejido
889862;470010106000005850017500000001;Parque_Cementerio.Unidad_Predial;Religioso;Predio.Publico.Ejido
1006626;470010800000000670087000000000;NPH;Religioso;Predio.Publico.Ejido
762943;470010105000000950005000000000;NPH;Religioso;Predio.Publico.Ejido
803293;470010800000000310008000000000;NPH;Religioso;Predio.Publico.Ejido
960832;470010115000000730001000000000;NPH;Religioso;Predio.Publico.Ejido
785898;470010103000000470057000000000;NPH;Religioso;Predio.Publico.Ejido
795659;470010800000000660004000000000;NPH;Religioso;Predio.Publico.Ejido
1057727;470010102000002560002000000000;NPH;Religioso;Predio.Publico.Ejido
938315;470010800000000810002000000000;NPH;Religioso;Predio.Publico.Ejido
813094;470010107000001370037000000000;NPH;Religioso;Predio.Publico.Ejido
678333;470010116000001250027000000000;NPH;Religioso;Predio.Publico.Ejido
970914;470010111000002650003000000000;NPH;Religioso;Predio.Publico.Ejido
