t_id_unidadconstruccion;planta_ubicacion;relacion_superficie
1244112;2;En_Rasante
1233152;2;En_Rasante
1279401;2;En_Rasante
1253770;2;En_Rasante
1224110;2;En_Rasante
1248483;2;En_Rasante
1271789;2;En_Rasante
1262451;2;En_Rasante
1248097;2;En_Rasante
1246418;2;En_Rasante
1265466;2;En_Rasante
1228357;2;En_Rasante
1244511;2;En_Rasante
1249986;2;En_Rasante
1219813;3;En_Rasante
1240468;2;En_Rasante
1244922;2;En_Rasante
1237932;2;En_Rasante
1246417;2;En_Rasante
1245769;2;En_Rasante
1278927;2;En_Rasante
1238247;2;En_Rasante
1244657;2;En_Rasante
1240411;2;En_Rasante
1244834;2;En_Rasante
1272445;2;En_Rasante
1224779;2;En_Rasante
1239804;2;En_Rasante
1236336;2;En_Rasante
1274068;2;En_Rasante
1261874;2;En_Rasante
1253144;2;En_Rasante
1251240;2;En_Rasante
1239006;2;En_Rasante
1248096;2;En_Rasante
1231640;2;En_Rasante
1257452;3;En_Rasante
1280332;2;En_Rasante
1246180;2;En_Rasante
1268971;2;En_Rasante
1251809;2;En_Rasante
1235206;2;En_Rasante
1276892;2;En_Rasante
1241517;2;En_Rasante
1277971;2;En_Rasante
1229979;2;En_Rasante
1239803;2;En_Rasante
1239004;2;En_Rasante
1280666;2;En_Rasante
1247126;2;En_Rasante
1272491;2;En_Rasante
1257100;2;En_Rasante
1220004;2;En_Rasante
1223556;2;En_Rasante
1232540;2;En_Rasante
1219817;0;En_Rasante
1271247;2;En_Rasante
1255524;2;En_Rasante
