t_id_predio;numero_predial;condicion_predio;destinacion_economica;uso_construccion
849642;470010005000000010023000000000;NPH;Agricola;
679306;470010005000000010027000000000;NPH;Agricola;
679266;470010002000000010239000000000;NPH;Agricola;
688185;470010005000000010039000000000;NPH;Agricola;
763165;470010005000000010061000000000;NPH;Agricola;
794870;470010005000000010031000000000;NPH;Agricola;
866337;470010005000000010073000000000;NPH;Agricola;
794886;470010005000000010032000000000;NPH;Agricola;
796106;470010005000000010077000000000;NPH;Agricola;
1006226;470010005000000010094000000000;NPH;Agricola;
801705;470010006000000020024500000001;Parque_Cementerio.Unidad_Predial;Agricola;
883520;470010002000000010471500000001;Parque_Cementerio.Unidad_Predial;Agricola;
859445;470010002000000010465000000000;NPH;Agricola;
712907;470010104000000360012000000000;NPH;Agricola;
752496;470010002000000067058000000000;NPH;Agricola;
796378;470010005000000010115000000000;NPH;Agricola;
705196;470010005000000010048000000000;NPH;Agricola;
891392;470010002000000010475500000001;Parque_Cementerio.Unidad_Predial;Agricola;
796042;470010005000000010058000000000;NPH;Agricola;
727516;470010005000000010149000000000;NPH;Agricola;
700455;470010005000000010040000000000;NPH;Agricola;
888417;470010005000000010084000000000;NPH;Agricola;
714413;470010002000000010469500000001;Parque_Cementerio.Unidad_Predial;Agricola;
835554;470010005000000010030000000000;NPH;Agricola;
775408;470010002000000010473500000001;Parque_Cementerio.Unidad_Predial;Agricola;
722386;470010106000006790024000000000;NPH;Agricola;
877693;470010005000000010033000000000;NPH;Agricola;
986640;470010005000000010056000000000;NPH;Agricola;
723231;470010005000000010029000000000;NPH;Agricola;
712111;470010002000000010466500000001;Parque_Cementerio.Unidad_Predial;Agricola;
841705;470010106000001530020000000000;NPH;Agricola;
795990;470010005000000010057000000000;NPH;Agricola;
883486;470010002000000010464000000000;NPH;Agricola;
836568;470010002000000010468000000000;NPH;Agricola;
660313;470010005000000010026000000000;NPH;Agricola;
1004621;470010109000003940002000000000;NPH;Agricola;
763273;470010106000006790026000000000;NPH;Agricola;
857198;470010002000000010462000000000;NPH;Agricola;
952952;470010005000000010013000000000;NPH;Agricola;
825031;470010005000000010072000000000;NPH;Agricola;
810756;470010005000000010078000000000;NPH;Agricola;
681192;470010003000000012071000000000;NPH;Agricola;
833565;470010005000000010016000000000;NPH;Agricola;
679324;470010005000000010069000000000;NPH;Agricola;
794909;470010005000000010035000000000;NPH;Agricola;
687815;470010002000000010191000000000;NPH;Agricola;
986011;470010005000000010090000000000;NPH;Agricola;
811194;470010005000000010096000000000;NPH;Agricola;
796104;470010005000000010076000000000;NPH;Agricola;
1071567;470010005000000010062000000000;NPH;Agricola;
706086;470010002000000010465500000001;Parque_Cementerio.Unidad_Predial;Agricola;
886154;470010005000000010015000000000;NPH;Agricola;
679282;470010002000000020109000000000;NPH;Agricola;
726561;470010005000000010068000000000;NPH;Agricola;
752465;470010002000000067057000000000;NPH;Agricola;
883572;470010005000000010146000000000;NPH;Agricola;
832627;470010005000000010042000000000;NPH;Agricola;
753733;470010005000000010012500000001;Parque_Cementerio.Unidad_Predial;Agricola;
856659;470010002000000010464500000001;Parque_Cementerio.Unidad_Predial;Agricola;
919724;470010002000000010463500000001;Parque_Cementerio.Unidad_Predial;Agricola;
841278;470010005000000010080000000000;NPH;Agricola;
883492;470010002000000010470500000001;Parque_Cementerio.Unidad_Predial;Agricola;
808063;470010005000000010012000000000;NPH;Agricola;
883564;470010005000000010087000000000;NPH;Agricola;
843669;470010005000000010063000000000;NPH;Agricola;
795903;470010005000000010044000000000;NPH;Agricola;
838511;470010005000000010082000000000;NPH;Agricola;
863445;470010001000000021771000000000;NPH;Agricola;
