t_id_predio;numero_predial
882184;470010106000009060008500000001
990379;470010108000000180902901000147
796280;470010106000010700019500000001
921887;470010113000000940053500000002
883194;470010109000004250018500000001
823572;470010106000001140125500000001
781398;470010103000001040013500000001
792344;470010106000004420017500000001
894175;470010003000000010671500000033
848427;470010002000000020104500000005
891730;470010106000001710063500000001
957880;470010108000000180902901110097
881379;470010103000003460019500000001
761823;470010103000003860014500000001
952246;470010003000000010557500000001
986904;470010107000000690903901030079
796395;470010006000000010466500000027
831060;470010111000003710001500000003
814265;470010002000000051083500000132
762927;470010111000000500001500000005
711185;470010105000002740001500000003
825071;470010110000000250003500000001
721687;470010007000000020004500000138
852650;470010001000000021404500000012
658125;470010107000000030005000000000
737430;470010114000000780045500000033
867121;470010106000004140239500000001
759813;470010106000010510005500000001
705408;470010105000000690022500000001
989383;470010110000000530902901010102
937175;470010003000000010679500000016
802735;470010106000004410107500000004
855601;470010002000000042712500000015
815505;470010103000002140009500000001
739449;470010105000001350016500000001
844308;470010103000002230006500000001
864759;470010111000002690001500000008
899170;470010106000012040050500000001
847299;470010105000000190010500000001
847823;470010109000004230001500000001
742085;470010106000001770008500000001
763082;470010111000000560001500000009
845757;470010109000001170012500000001
851317;470010109000004260012500000001
963990;470010003000000010808500000371
837103;470010113000000330010500000001
749775;470010103000003360204500000001
975175;470010109000003450006500000001
952194;470010003000000010553500000001
837658;470010112000000450001500000008
810533;470010103000002260001500000001
3009852;470010108000000140902901100115
3010335;470010107000000400902901060051
759234;470010106000006410006500000001
725431;470010105000002750001500000001
758527;470010106000010270022500000001
757382;470010003000000010229500000153
893344;470010113000000230005500000003
705749;470010003000000010923500000094
707296;470010103000004620004500000039
1056983;470010110000000400904901090990
725421;470010103000004620006500000187
859063;470010105000002260007500000001
947592;470010104000000490007500000001
990642;470010107000000570903901010066
836261;470010109000000420029500000001
769406;470010113000000120030500000001
708656;470010001000000022117500000019
839926;470010109000001210014500000002
735046;470010114000001720001500000009
784001;470010106000001140021500000001
720952;470010002000000044547500000188
856681;470010105000001760068500000001
908978;470010103000008310006500000001
866163;470010109000001310012500000001
950271;470010110000000260056200000001
881823;470010111000000540001500000005
1000306;470010110000000610901901050019
959861;470010110000000190906900000324
709300;470010111000001960010500000001
831882;470010107000001400005500000033
768801;470010111000000270001500000006
910726;470010106000004240161500000001
738908;470010114000001230012500000001
988148;470010108000000010901901140557
722868;470010109000001250001500000002
826420;470010006000000010692500000001
701389;470010800000000560001500000005
710710;470010103000004620007500000180
812455;470010103000004620007500000368
880829;470010106000001140221500000001
746139;470010109000002850008500000001
901810;470010103000003750016500000001
866769;470010103000001960044500000001
853434;470010103000000010034500000001
798148;470010106000004300010500000001
702528;470010106000000400035500000002
864163;470010106000009310016500000001
705884;470010112000000510001500000103
779012;470010800000000390012500000001
764626;470010111000001320009500000095
763578;470010111000000220001500000009
852817;470010107000001510016500000001
1010723;470010104000000290901901020214
973811;470010107000000460903901010143
703261;470010800000000380004500000008
760262;470010106000005650021500000002
712070;470010105000000660017500000007
740637;470010106000000610053500000001
1033559;470010104000000640901901151501
760392;470010106000010370031500000001
840954;470010106000001690001500000031
832688;470010106000010880023500000001
767237;470010111000003820001500000001
973242;470010002000000070905913030252
984523;470010110000000830901901131303
949914;470010006000000020084500000039
861133;470010112000001360001500000010
791092;470010002000000044547500000199
3020373;470010002000000070902913020245
989353;470010107000000690905901010135
897955;470010106000001780011500000001
840449;470010900000000610005500000002
828565;470010106000007830009500000001
1064794;470010107000000280904901150367
917446;470010106000007110017500000001
813970;470010106000004300030500000001
703536;470010103000002200009500000001
844641;470010112000000380001500000006
813828;470010109000004350005500000001
951175;470010103000001710026500000002
827956;470010110000001520008500000001
881867;470010112000000410001500000012
810724;470010003000000010668500000004
821209;470010107000001400005500000031
731763;470010105000002170001500000008
952893;470010103000006710001500000021
917762;470010106000007430005500000001
760374;470010003000000010225500000007
719085;470010110000001480011500000002
3022872;470010110000000620902901010303
725996;470010001000000021069500000004
3013347;470010002000000040901901060071
863431;470010103000001710280500000001
796165;470010105000000930049500000002
719457;470010105000002180001500000072
932237;470010112000001750001500000004
705048;470010005000000010007500000004
839107;470010003000000011391500000001
922096;470010900000001630011500000001
870038;470010106000009990016500000001
713136;470010002000000022492500000037
710854;470010103000004620007500000058
