t_id_predio;numero_predial;destinacion_economica
848398;470010800000000420034000000000;Lote_Urbanizable_No_Urbanizado
1062719;470010002000000071428000000000;Lote_Urbanizable_No_Urbanizado
788339;470010002000000071433000000000;Lote_Urbanizable_No_Urbanizado
820042;470010110000000310002000000000;Lote_Urbanizable_No_Urbanizado
824662;470010002000000071323000000000;Lote_Urbanizable_No_Urbanizado
984324;470010002000000022564000000000;Lote_Urbanizable_No_Urbanizado
1049138;470010110000001600003000000000;Lote_Urbanizado_No_Construido
764189;470010800000000460018000000000;Lote_No_Urbanizable
960130;470010102000002500903900000486;Lote_No_Urbanizable
785462;470010002000000071426000000000;Lote_Urbanizable_No_Urbanizado
680295;470010107000001520001000000000;Lote_Urbanizado_No_Construido
681679;470010110000002190001000000000;Lote_Urbanizado_No_Construido
829612;470010109000000500901900000073;Lote_Urbanizado_No_Construido
660965;470010115000003820038000000000;Lote_Urbanizable_No_Urbanizado
996546;470010109000003690003000000000;Lote_Urbanizable_No_Urbanizado
957631;470010108000000140001000000000;Lote_Urbanizado_No_Construido
891871;470010110000000310017000000000;Lote_Urbanizable_No_Urbanizado
967366;470010002000000051960000000000;Lote_Urbanizable_No_Urbanizado
1028315;470010110000001260039000000000;Lote_Urbanizado_No_Construido
818133;470010110000000110015000000000;Lote_Urbanizado_No_Construido
790176;470010002000000071429000000000;Lote_Urbanizable_No_Urbanizado
850858;470010001000000020210500000001;Lote_Urbanizable_No_Urbanizado
864893;470010103000001010090500000001;Lote_Urbanizado_No_Construido
706711;470010106000009540019500000001;Lote_Urbanizable_No_Urbanizado
803383;470010107000001300003000000000;Lote_Urbanizado_No_Construido
923781;470010107000000690118000000000;Lote_Urbanizado_No_Construido
804269;470010104000000730014000000000;Lote_Urbanizado_No_Construido
1014533;470010107000000950011000000000;Lote_Urbanizable_No_Urbanizado
827300;470010111000001090001000000000;Lote_Urbanizable_No_Urbanizado
794638;470010104000000740008000000000;Lote_Urbanizado_No_Construido
828201;470010102000001400017000000000;Lote_Urbanizable_No_Urbanizado
809341;470010110000001870001000000000;Lote_Urbanizable_No_Urbanizado
1065898;470010111000003360008000000000;Lote_Urbanizable_No_Urbanizado
843985;470010002000000030271500000009;Lote_Urbanizable_No_Urbanizado
1018228;470010107000000060025000000000;Lote_Urbanizado_No_Construido
1018236;470010104000000600002000000000;Lote_Urbanizado_No_Construido
765319;470010900000000510020000000000;Lote_Urbanizable_No_Urbanizado
667607;470010002000000071435000000000;Lote_Urbanizable_No_Urbanizado
692132;470010111000003360014000000000;Lote_Urbanizable_No_Urbanizado
771122;470010110000002430013000000000;Lote_Urbanizado_No_Construido
962399;470010002000000021985000000000;Lote_Urbanizable_No_Urbanizado
808650;470010107000001430061000000000;Lote_No_Urbanizable
1031644;470010002000000051810000000000;Lote_Urbanizable_No_Urbanizado
1016467;470010002000000051913000000000;Lote_Urbanizable_No_Urbanizado
779589;470010002000000071413000000000;Lote_Urbanizable_No_Urbanizado
818275;470010115000003650028500000001;Lote_Urbanizable_No_Urbanizado
807308;470010110000001500014000000000;Lote_Urbanizado_No_Construido
893358;470010108000000020008000000000;Lote_Urbanizado_No_Construido
965724;470010115000002280007000000000;Lote_Urbanizable_No_Urbanizado
769436;470010110000000080019500000001;Lote_Urbanizable_No_Urbanizado
1019706;470010002000000071423000000000;Lote_Urbanizable_No_Urbanizado
765410;470010003000000012472000000000;Lote_No_Urbanizable
1012376;470010107000000060008000000000;Lote_Urbanizado_No_Construido
827330;470010111000001010005000000000;Lote_Urbanizado_No_Construido
793436;470010110000000070003000000000;Lote_Urbanizable_No_Urbanizado
1036915;470010107000001380040000000000;Lote_Urbanizable_No_Urbanizado
814681;470010102000000290015500000004;Lote_Urbanizado_No_Construido
673390;470010111000003370001000000000;Lote_Urbanizable_No_Urbanizado
957673;470010107000001520003000000000;Lote_Urbanizado_No_Construido
845398;470010102000002960006000000000;Lote_No_Urbanizable
816571;470010102000000290009000000000;Lote_Urbanizable_No_Urbanizado
855862;470010106000004240152000000000;Lote_Urbanizado_No_Construido
793447;470010111000000830014000000000;Lote_Urbanizable_No_Urbanizado
899259;470010109000003690008000000000;Lote_Urbanizable_No_Urbanizado
768143;470010002000000051083500000526;Lote_No_Urbanizable
980809;470010103000000430078000000000;Lote_No_Urbanizable
932183;470010107000000520009000000000;Lote_Urbanizado_No_Construido
662660;470010110000001010030000000000;Lote_No_Urbanizable
762834;470010106000009990014500000001;Lote_Urbanizable_No_Urbanizado
964256;470010111000002030005000000000;Lote_Urbanizable_No_Urbanizado
673173;470010110000000870271000000000;Lote_Urbanizado_No_Construido
713068;470010106000006800018500000001;Lote_Urbanizable_No_Urbanizado
1050840;470010111000003840001000000000;Lote_Urbanizable_No_Urbanizado
1054469;470010105000000220011000000000;Lote_No_Urbanizable
794266;470010112000003100014000000000;Lote_Urbanizable_No_Urbanizado
764433;470010002000000030304000000000;Lote_Urbanizable_No_Urbanizado
782678;470010109000003690010000000000;Lote_Urbanizable_No_Urbanizado
879693;470010002000000071425000000000;Lote_Urbanizable_No_Urbanizado
730781;470010110000000730038000000000;Lote_Urbanizado_No_Construido
