t_id_direccion;t_id_predio;nombre_predio
737189;737188;
744642;744641;
724185;724184;
747469;747468;
731462;731461;
743532;743531;
744250;744249;
732760;732759;
749233;749232;
747059;747058;
751487;751486;
921747;921746;0
750282;750281;
750975;750974;
728331;728330;
749978;749977;
733255;733254;
738755;738754;
730342;730341;
1065849;1065848;
660225;660224;
750391;750390;
725077;725076;
739048;739047;
733212;733211;
751434;751433;
743676;743675;
740015;740014;
729980;729979;
732014;732013;
730241;730240;
663137;663136;
749440;749439;
1065863;1065862;
699903;699902;
748122;748121;
736718;736717;
731346;731345;
730389;730388;
751299;751298;
749444;749443;
730565;730564;
899165;899164;
693620;693619;
730273;730272;
746563;746562;
734038;734037;
733370;733369;
749438;749437;
749976;749975;
750787;750786;
740061;740060;
722023;722022;
749388;749387;
722065;722064;0
731209;731208;
749630;749629;
732136;732135;
1058312;1058311;
744911;744910;
719621;719620;
710983;710982;
750154;750153;
744784;744783;
710929;710928;
696699;696698;
732758;732757;
742173;742172;
722019;722018;
747065;747064;
750894;750893;
735311;735310;
749713;749712;
666400;666399;
739150;739149;
741479;741478;
730129;730128;
751010;751009;
742756;742755;
739195;739194;
732890;732889;
742032;742031;
731260;731259;
744400;744399;
732278;732277;
742175;742174;
705211;705210;
731623;731622;
737476;737475;
731350;731349;
744786;744785;
743224;743223;
739144;739143;
749382;749381;
750385;750384;
745355;745354;
751397;751396;
731973;731972;
749386;749385;
741167;741166;
742030;742029;
751356;751355;
732050;732049;
1058316;1058315;
749990;749989;
750491;750490;
747160;747159;
722964;722963;
732306;732305;
729956;729955;
742754;742753;
731878;731877;
751448;751447;
731062;731061;
749821;749820;
732124;732123;
732187;732186;
731348;731347;
744149;744148;
740599;740598;
742124;742123;
738548;738547;
952848;952847;
743350;743349;
735271;735270;
737183;737182;
730635;730634;
729954;729953;
751048;751047;
742911;742910;
724079;724078;
731064;731063;
735545;735544;
745889;745888;
749808;749807;
740707;740706;
751117;751116;
744062;744061;
731672;731671;
744782;744781;
699933;699932;
733404;733403;
721969;721968;
732594;732593;
1065879;1065878;
735066;735065;
731215;731214;
733082;733081;
733162;733161;
736997;736996;
750310;750309;
750158;750157;
735448;735447;
725234;725233;
749245;749244;
695961;695960;
733488;733487;
733446;733445;
742967;742966;
731490;731489;
734034;734033;
736999;736998;
734384;734383;
740908;740907;
735365;735364;
747164;747163;
743232;743231;
733452;733451;
730127;730126;
681836;681835;
733626;733625;
749922;749921;
694791;694790;
731344;731343;
732012;732011;
735590;735589;
751046;751045;
743184;743183;
725514;725513;
743384;743383;
741475;741474;
1065865;1065864;
730195;730194;
745840;745839;
743352;743351;
744300;744299;
730243;730242;
737003;737002;
730133;730132;
732016;732015;
725457;725456;
732185;732184;
738856;738855;
725075;725074;
736347;736346;
745792;745791;
1058822;1058821;0
734859;734858;
737744;737743;
731985;731984;
731416;731415;
742399;742398;
732132;732131;
730249;730248;
747412;747411;
743148;743147;
667104;667103;
730553;730552;
744008;744007;
868641;868640;C
743386;743385;
731292;731291;
711793;711792;
730724;730723;
748590;748589;
709009;709008;
1058306;1058305;
752501;752500;
733208;733207;
732712;732711;
744548;744547;
750839;750838;
730233;730232;
730135;730134;
750682;750681;
1073035;1073034;
738252;738251;
730938;730937;
736908;736907;
737628;737627;
1058818;1058817;0
749853;749852;
730502;730501;
742674;742673;
736524;736523;
737474;737473;
751081;751080;
729952;729951;
732554;732553;
721492;721491;
730561;730560;
737185;737184;
743316;743315;
749914;749913;
730551;730550;
747575;747574;
733584;733583;
748537;748536;
742670;742669;
751079;751078;
734124;734123;
749934;749933;
734699;734698;
743188;743187;
1073039;1073038;
743962;743961;
745165;745164;
749902;749901;
742443;742442;
732508;732507;
743266;743265;
725021;725020;
813279;813278;
733490;733489;
737960;737959;
1065851;1065850;
740705;740704;
731621;731620;
751215;751214;
737222;737221;
730946;730945;
736948;736947;
739743;739742;
733374;733373;
747158;747157;
741775;741774;
703258;703257;
698319;698318;
749721;749720;
666315;666314;
741860;741859;
730722;730721;
732372;732371;
731540;731539;
747712;747711;0
743526;743525;
747577;747576;
733168;733167;
730940;730939;
746999;746998;
675577;675576;
725566;725565;
751217;751216;
741779;741778;
744738;744737;
742171;742170;
732140;732139;
735899;735898;
751044;751043;
727939;727938;
731466;731465;
730519;730518;
731458;731457;
731987;731986;
718295;718294;C
744546;744545;
742702;742701;
735903;735902;
725288;725287;
748640;748639;
732430;732429;
732376;732375;
732382;732381;
751145;751144;
732514;732513;
751141;751140;
749974;749973;
736448;736447;
744959;744958;
736037;736036;
744742;744741;
730340;730339;
671836;671835;
745369;745368;
743314;743313;
738997;738996;
751157;751156;
732380;732379;
722518;722517;
1061128;1061127;C
752013;752012;
750896;750895;
729756;729755;
743344;743343;
730948;730947;
732754;732753;
725400;725399;
749667;749666;
750843;750842;
736400;736399;
740306;740305;
749446;749445;
750024;750023;
737135;737134;
749851;749850;
731012;731011;
1065857;1065856;
723549;723548;
732768;732767;
751438;751437;
747473;747472;
696067;696066;
750022;750021;
724081;724080;
747211;747210;
751249;751248;
745647;745646;
741369;741368;
1065813;1065812;
735218;735217;
659869;659868;
699621;699620;
749290;749289;
704887;704886;
749347;749346;
735691;735690;
746287;746286;
749284;749283;
743346;743345;
743528;743527;
714011;714010;
734651;734650;
751366;751365;
730207;730206;
750214;750213;
668785;668784;
724193;724192;
754929;754928;
721066;721065;
731486;731485;
732300;732299;
744552;744551;
749717;749716;
744066;744065;
749257;749256;
734126;734125;
730336;730335;
1065817;1065816;
742439;742438;
737525;737524;
737423;737422;
662774;662773;
749806;749805;
732942;732941;
725236;725235;
741483;741482;
701519;701518;
730930;730929;
750569;750568;
746756;746755;
742459;742458;
1073049;1073048;
736526;736525;
745007;745006;
732590;732589;
731056;731055;
740019;740018;
734028;734027;
731302;731301;
735643;735642;
724021;724020;
751159;751158;
714119;714118;
751002;751001;
733628;733627;
750636;750635;
730510;730509;
732548;732547;
691209;691208;
730898;730897;
749448;749447;
869763;869762;C
725831;725830;
752152;752151;
732130;732129;
743060;743059;
1065855;1065854;
734701;734700;
739052;739051;
749529;749528;
732888;732887;
743438;743437;
731625;731624;
731334;731333;
725568;725567;
743268;743267;
729851;729850;
744698;744697;
742672;742671;
746174;746173;
745171;745170;
742128;742127;
732464;732463;
733820;733819;
729800;729799;
750166;750165;
721971;721970;
751083;751082;
749620;749619;
731577;731576;
749332;749331;
739369;739368;
738145;738144;
732142;732141;
716776;716775;
745603;745602;
