t_id_predio;numero_predial;t_id_tramitecatastral
668231;470010104000001050904900000233;1186166
662611;470010107000000460903900000304;1186971
658044;470010115000006650904900002815;1179939
1066799;470010110000000400902900000104;1184688
698738;470010002000000070903911050218;1182632
659737;470010002000000070903921020405;1182618
730522;470010002000000070801800007027;1182741
1009606;470010115000006730008000000000;1183700
694778;470010002000000050520000000000;1186362
1052462;470010002000000070903904040074;1184948
1030144;470010102000001420022000000000;1185502
731031;470010108000000060902902160155;1184105
686851;470010002000000070903913020246;1185175
1040682;470010002000000076901901040234;1183640
721902;470010002000000070903908040155;1183393
810914;470010104000000910903901000188;1185920
1042827;470010002000000065881000000000;1182759
3008556;470010002000000040901901010039;1187335
660472;470010002000000070905927040534;1186964
1045387;470010002000000070905905030089;1184857
720940;470010002000000070902907030131;1185050
967576;470010106000000560901905060279;1186894
1035059;470010110000000340014000000000;1186563
718226;470010002000000070801800006989;1185831
1015499;470010101000000840901900000059;1185809
821425;470010106000000560901902070119;1181987
1028551;470010002000000040801800005005;1181377
788895;470010002000000070801800007029;1185548
927886;470010002000000070902910030192;1184528
801875;470010106000002910008000000000;1180200
1041460;470010106000000560901902070114;1181960
784917;470010002000000070905914040276;1181019
722734;470010002000000070905913050260;1182537
988392;470010003000000010395000000000;1179876
1072189;470010107000001050801800000036;1186188
1041328;470010115000004960023000000000;1179878
699780;470010106000000560901901080059;1181347
1014475;470010002000000070902907010124;1184968
720243;470010002000000070902903040055;1185152
710199;470010102000002500902900000175;1179682
970320;470010115000006650901900000311;1181670
685956;470010002000000040801800003957;1180672
822165;470010002000000070905902020028;1182416
668170;470010002000000070905903050059;1186846
883989;470010002000000021110000000000;1185483
945355;470010002000000040901900000125;1187169
796923;470010104000000910903901000186;1185888
690101;470010106000000560901901010004;1184239
917672;470010111000002880801800000012;1180562
784207;470010106000000310100000000000;1186187
666475;470010102000003900017000000000;1183082
927894;470010002000000023543000000000;1184536
943082;470010002000000040901900000131;1186912
822133;470010002000000070905911010203;1182394
847092;470010002000000022902000000000;1179982
1069889;470010002000000070905901030012;1183189
1040906;470010002000000070903923030450;1181112
678078;470010002000000076901903080399;1181624
973242;470010002000000070905913030252;1187520
735544;470010115000003880016000000000;1185557
683228;470010104000000930906902020487;1179790
699070;470010002000000040801800005006;1181375
671753;470010002000000070902903050059;1185248
791393;470010102000000910007000000000;1186096
1024945;470010002000000071723000000000;1183833
891027;470010108000000060902902150149;1184093
792020;470010002000000040901901010015;1182086
940390;470010002000000040901900000082;1186600
967074;470010002000000070903901050019;1186853
659717;470010002000000070903902040034;1183230
694446;470010107000000090906901010155;1186089
3020268;470010002000000076901906070580;1187355
707729;470010106000010930002500000001;1186133
1052451;470010002000000041830000000000;1179947
657886;470010002000000076901904060445;1180618
721912;470010002000000070903910010182;1183924
1060101;470010002000000070905928020547;1186625
900807;470010109000000290007000000000;1179622
791391;470010102000002980001000000000;1186426
821403;470010106000000560901901030018;1181963
680035;470010002000000010067000000000;1181071
859155;470010104000000910903901000193;1185927
944774;470010002000000070905926010503;1187102
1007999;470010108000000060902902060085;1183981
723149;470010002000000070905924020468;1184849
823231;470010101000001650901900000061;1187704
659727;470010115000000730901900000085;1180360
1003770;470010002000000070903913030250;1183010
720395;470010002000000070902904050079;1185006
691172;470010002000000070905919040375;1182353
687671;470010002000000070905902030031;1182417
713042;470010103000000340009000000000;1179495
1016644;470010002000000070905916030311;1187265
3013323;470010002000000076901903050375;1186740
684920;470010104000000910903901070164;1185897
931278;470010103000000050901900000029;1185342
938787;470010002000000070903902020027;1183935
658070;470010002000000070902913030251;1184980
718289;470010002000000070801800006994;1185835
1036159;470010102000000790006000000000;1186292
802864;470010002000000076978000000000;1184554
766251;470010104000000930906901000263;1180667
698750;470010106000000560901901070055;1182213
1060912;470010002000000042146000000000;1185608
1018059;470010102000002320902900000076;1183056
790306;470010104000000910903901020078;1181006
722640;470010002000000070905904010062;1183145
691196;470010002000000070903903030051;1182568
732051;470010002000000076901906050567;1182025
1009501;470010002000000070905912040236;1182541
796855;470010104000000910903901010146;1185938
1040661;470010104000000910903901000123;1182278
975460;470010104000000910903901000198;1185926
1064113;470010002000000070905910050200;1182506
961496;470010116000002000008000000000;1179710
972289;470010106000000560901904040218;1187356
909767;470010002000000076901907050622;1180925
662487;470010002000000076901907050619;1182073
3013218;470010002000000076901903020349;1187360
788007;470010002000000070905919020368;1182327
820314;470010104000000910902901020071;1180041
979219;470010002000000065641000000000;1180514
913850;470010106000000560901901070051;1181341
1006904;470010002000000070903914050278;1180790
1025009;470010115000006790901900000072;1187688
726862;470010002000000076901904080457;1181642
796336;470010106000010770003500000001;1184491
869204;470010104000000930906901040232;1184157
3014202;470010002000000076901901040236;1187187
1056169;470010002000000070905904040073;1180986
1041037;470010114000000490011000000000;1180210
1060104;470010105000000230902900000110;1186699
977051;470010002000000070902901030009;1185058
759103;470010002000000070902916030311;1182829
823655;470010115000005900018000000000;1185641
666252;470010104000000910903901010145;1185876
718776;470010103000000050901900000021;1185311
848270;470010002000000076901903070388;1180070
790535;470010002000000070902909030171;1183574
3017517;470010002000000076901902040303;1187510
722300;470010002000000070903921050419;1184956
813172;470010002000000070903907010122;1181797
720753;470010104000000920901901100034;1183763
968067;470010106000000560901902020077;1182233
787586;470010002000000050672000000000;1179770
801103;470010104000000670901901010040;1183896
880779;470010002000000070803800007079;1186377
1052482;470010002000000070903908020146;1183428
909942;470010102000002480030000000000;1180309
729903;470010104000000930906902120491;1179868
733356;470010002000000070905922030430;1187390
1024059;470010002000000076901903030358;1187542
754689;470010002000000070801800006999;1186261
701057;470010002000000060916900007037;1179705
1048675;470010002000000076901906080590;1182040
834271;470010104000000930906901000267;1179745
819863;470010110000000510902901030052;1184430
759635;470010105000002520042000000000;1180597
1020850;470010110000001480006000000000;1184487
885636;470010108000000060902902070093;1183998
1006839;470010002000000076901904060446;1180619
3014316;470010106000000560901904050225;1187171
869276;470010104000000930906902020459;1179808
812361;470010102000002850005000000000;1186516
3020763;470010002000000076901902020284;1187582
963121;470010115000004900018000000000;1180405
678349;470010108000000060902902150146;1183626
726914;470010002000000076901905070514;1181611
758973;470010002000000070902909040173;1183573
822211;470010002000000070905912050240;1182436
917518;470010103000004230020000000000;1180550
975950;470010110000000400903901020422;1187618
668713;470010002000000070905926050520;1186843
3011517;470010002000000040901901040060;1187105
1028723;470010115000005500012000000000;1180144
671614;470010002000000070801800007046;1186051
785730;470010104000000930906901050235;1181229
676065;470010106000002250003000000000;1185259
868261;470010104000000670901901050032;1183879
1064136;470010002000000070903903030049;1183079
790188;470010110000000630901900000326;1186173
1003535;470010104000000910903901000137;1182305
1020363;470010108000000060902902050077;1183912
1044558;470010002000000070902906030109;1184800
662487;470010002000000076901907050619;1182074
827436;470010003000000010086500000014;1186232
698634;470010002000000070905919010362;1187031
1036825;470010002000000070902902010024;1182660
950756;470010104000000910903901000136;1182304
691760;470010107000000870901900000049;1180261
1014315;470010108000000060902902080097;1184010
957888;470010112000000940801800000060;1186157
992363;470010002000000070902911020206;1185128
801576;470010115000003820037000000000;1184211
1064184;470010002000000070903922020427;1184974
1009703;470010002000000070902911050220;1185062
684912;470010104000000930906901010277;1184165
954214;470010115000006650901900000781;1186122
1016968;470010002000000070801800007014;1185552
968580;470010002000000070905911050218;1187007
681546;470010002000000076901902060319;1183598
868899;470010104000000910903901000117;1182266
797092;470010106000003990021000000000;1186276
726950;470010002000000076901906010532;1182046
691196;470010002000000070903903030051;1182567
1040768;470010002000000070903902020026;1183275
659904;470010002000000076901902070327;1183672
868245;470010104000000670901901020018;1183844
3010920;470010106000000560901902040095;1187154
721744;470010002000000070903903020047;1182563
777399;470010116000001780023000000000;1180057
3016329;470010002000000076901907040613;1186742
708368;470010104000000910903901010148;1185873
1056254;470010002000000070903916020306;1183451
941019;470010002000000070905922010424;1186672
955128;470010002000000040901900000113;1186819
1060106;470010002000000040901901010004;1182117
1020611;470010108000000060902902120127;1184059
745480;470010002000000070801800007012;1185536
1069769;470010002000000070902913030249;1184525
825522;470010113000000040902900000062;1183060
766523;470010111000002840008000000000;1180310
1000173;470010002000000040901901010021;1182098
721381;470010002000000070902913020248;1184989
721962;470010002000000070903912030232;1182656
778399;470010600000000080012000000000;1180416
764828;470010115000006650901900000719;1180331
1032846;470010002000000070902914030270;1182904
972307;470010002000000070905925030489;1187354
722110;470010002000000070903918050359;1183258
657877;470010002000000076901905070519;1181618
3019824;470010002000000076901908020173;1187149
826643;470010104000001200008000000000;1185433
3021567;470010002000000076901908020168;1186868
782678;470010109000003690010000000000;1186303
950762;470010002000000040801800004965;1181459
1035059;470010110000000340014000000000;1186437
1020308;470010101000000520010000000000;1180029
1040904;470010002000000070903918020348;1184897
3016410;470010002000000076901901050241;1186775
801060;470010002000000040901901010019;1182105
1066904;470010107000000100901900000025;1180005
720290;470010002000000070902903040056;1184982
750311;470010002000000070902905030091;1182976
1041334;470010101000000940005000000000;1186194
1017033;470010106000000560901902020080;1182236
1052480;470010002000000070903907040133;1183471
721199;470010002000000070902910020187;1183048
971987;470010002000000040901900000116;1187311
863976;470010103000004810020000000000;1184507
1032766;470010114000000320033000000000;1180521
3023805;470010002000000076901904070456;1186833
679788;470010106000005270006000000000;1180607
1054659;470010103000007980007000000000;1186152
3024249;470010002000000076901901030228;1187556
714023;470010103000006580037000000000;1179522
1052424;470010002000000076901907010594;1180877
687839;470010111000001320019000000000;1186514
940477;470010106000000560901903050165;1186613
869274;470010104000000930906902020456;1179845
721385;470010002000000070902913030252;1185208
939208;470010106000000560901902040090;1181973
721740;470010002000000070903903030052;1183077
1008330;470010002000000060917900007112;1185612
801417;470010002000000066303000000000;1179605
1053292;470010101000000430011000000000;1180284
721848;470010002000000070903906030111;1184734
659694;470010002000000070905909030169;1183523
728071;470010002000000060902900000939;1181094
723065;470010002000000070905923030450;1180763
800767;470010002000000070905916050320;1187179
834997;470010002000000060801800004577;1179777
666316;470010002000000070902902040035;1184817
864412;470010108000000060902901120045;1182751
667085;470010002000000070902908020145;1185113
1069749;470010002000000070902908040153;1185106
1030424;470010002000000076901906050568;1182028
722967;470010002000000070905923050459;1184909
669167;470010002000000040801800003945;1180692
659939;470010002000000076901904060447;1180622
668154;470010002000000021961000000000;1180025
3013476;470010002000000076901903070386;1187450
659912;470010002000000070905910050199;1182374
662605;470010002000000060912900004402;1184175
745458;470010002000000070903913050257;1184890
943727;470010002000000040901901010171;1186988
821739;470010104000000910903901090100;1182151
1024252;470010107000000320903900000129;1179696
720145;470010002000000070902902050037;1182703
685663;470010002000000070903900000000;1184549
759614;470010106000003040001000000000;1180601
1056145;470010002000000040801800005004;1181379
1064138;470010106000000560901904070246;1187489
1057001;470010106000004750007000000000;1179502
1063022;470010115000006650904900003598;1186029
998320;470010105000000920005000000000;1186018
678117;470010002000000070903907050140;1183441
689291;470010104000000930906901120255;1181257
972466;470010101000001110901900000026;1187387
661873;470010002000000020248000000000;1180287
3015486;470010106000000560901903060172;1187521
940223;470010002000000040908900005647;1179547
695823;470010002000000051803000000000;1186406
722570;470010002000000070905902050038;1183114
952533;470010110000000220004000000000;1185954
1003539;470010001000000020801800002396;1186320
892400;470010105000002120026000000000;1180136
726819;470010002000000076901904060443;1181169
726817;470010002000000076901904030421;1179715
3010698;470010002000000070903903040056;1187493
962793;470010002000000051998000000000;1179955
678078;470010002000000076901903080399;1181625
796987;470010106000000560901901010001;1183600
1033634;470010110000000630042000000000;1185460
780473;470010800000001180013000000000;1180021
992203;470010002000000070905912020228;1183169
721886;470010002000000070903907050139;1183443
722574;470010002000000070905903010042;1183126
1052449;470010002000000060917900007361;1181088
890894;470010105000002720901900000559;1185343
825526;470010105000002580044000000000;1183058
775242;470010002000000070801800006988;1181689
1029476;470010002000000040901901010149;1186346
659077;470010002000000070903901050017;1183286
1041409;470010106000000560901903040156;1187602
818217;470010105000001730072500000001;1181907
869272;470010104000000930906902020498;1179780
3023538;470010002000000076901901080271;1186973
3024378;470010002000000076901901060249;1187000
1069715;470010002000000070902902050038;1182705
818508;470010002000000022527000000000;1186068
1033092;470010101000000840901900000054;1185802
1055623;470010002000000023791000000000;1180485
971951;470010002000000070903909050177;1183920
685691;470010002000000070905903010044;1183158
1016327;470010002000000040901901010011;1182079
1025021;470010101000001820901900000034;1185587
785832;470010104000000930906901090246;1181293
1016956;470010002000000040801800005011;1181365
731529;470010002000000070905903040053;1182500
1064184;470010002000000070903922020427;1184973
1069787;470010002000000070902915050298;1182857
779518;470010104000000910903901030152;1185967
1048677;470010002000000076901907010595;1180881
1069761;470010002000000070902910020185;1182682
813274;470010002000000070903906020105;1181858
1048657;470010002000000076901904020416;1186646
825387;470010106000007550023000000000;1183025
662744;470010108000000060902902120124;1184053
1024043;470010002000000040801800004973;1181442
1032609;470010002000000076901905020474;1181147
678143;470010104000000910903900000000;1185982
839532;470010103000000600902900000045;1179917
664874;470010800000000840026000000000;1186207
939038;470010002000000040901901050062;1187332
971473;470010106000000560901903040160;1187260
720290;470010002000000070902903040056;1184981
866011;470010108000000060902902050080;1183979
1007686;470010002000000070905926030510;1180728
3024141;470010002000000070902912010222;1186783
1028697;470010106000000560901901070052;1182212
946333;470010105000000230902900000059;1187293
1009547;470010002000000070903909020165;1182555
1056135;470010104000000930906902030461;1179846
971866;470010002000000070905923020447;1184777
932470;470010116000002570012000000000;1186446
813784;470010900000000520003000000000;1181785
744643;470010106000000560901901020014;1183718
1040867;470010002000000070903907020125;1183483
969828;470010002000000040901900000119;1187141
686464;470010002000000076901905080521;1180095
3013215;470010002000000076901908010100;1187193
912960;470010108000000060902902100114;1184038
689291;470010104000000930906901120255;1181258
790325;470010106000004960010000000000;1180967
840935;470010103000004180006000000000;1179611
684764;470010002000000070905904010063;1187136
793603;470010103000003060028000000000;1185455
1069833;470010002000000070903915030292;1183498
787596;470010002000000040801800005014;1179689
952847;470010102000002670018901010001;1186421
685635;470010002000000070905905040096;1181001
668188;470010111000000830016000000000;1181331
1060188;470010103000000050901900000033;1180205
1064182;470010104000000930906901010317;1181265
779500;470010104000000910903901090169;1185966
1064064;470010002000000040801800004967;1181453
675492;470010107000000870901900000053;1187653
662839;470010101000002020018000000000;1180048
927134;470010104000000930906901020002;1184155
884356;470010104000000930906902080460;1179803
745480;470010002000000070801800007012;1185535
938508;470010002000000070905920030389;1182382
958107;470010111000002220003000000000;1180572
660047;470010002000000070905911020208;1187262
838004;470010004000000050052000000000;1180042
949727;470010103000002230901900000246;1186450
3010905;470010106000000560901903010134;1186589
694519;470010002000000023605000000000;1183827
1003792;470010108000000060902902110122;1184050
659715;470010110000000830901900000367;1181092
3010410;470010002000000076901901080268;1187134
1033747;470010103000001420001000000000;1181920
1041355;470010002000000070905919020367;1187264
1060160;470010104000000910903901110173;1185779
687344;470010002000000070903918030349;1183926
1046633;470010002000000070902906010104;1182909
753280;470010110000000640903901010285;1187723
720499;470010002000000070902904040075;1184731
1057201;470010115000000730901900000087;1181929
722780;470010002000000070905915030290;1180781
685757;470010108000000060902902150148;1184091
1040710;470010002000000070905913050259;1187191
1036500;470010002000000040901901010022;1182107
954406;470010108000000060902902160153;1184102
3010899;470010002000000076901908020167;1187206
731783;470010112000001660015000000000;1180226
760358;470010900000000780024500000002;1185337
1069867;470010002000000070903920030392;1182592
691194;470010002000000070903903030050;1180759
659729;470010002000000070903919030372;1181796
1068900;470010002000000022970000000000;1179545
1069781;470010002000000070902915010282;1185082
684738;470010002000000040801800004970;1181448
923405;470010005000000010007000000000;1181052
975504;470010110000000530902900000205;1180393
678076;470010002000000070905902030030;1183118
808215;470010103000007640009000000000;1182736
659225;470010002000000040801800003970;1181494
1006762;470010001000000020801800002387;1186215
3010407;470010002000000076901901010214;1186615
741925;470010002000000040901901010033;1181990
743143;470010002000000070903910050197;1184833
793603;470010103000003060028000000000;1185456
660345;470010002000000070905911030210;1183183
1060197;470010106000003300010000000000;1180297
745460;470010002000000070903915020288;1180855
726979;470010002000000076901906070582;1180808
728216;470010002000000042236000000000;1187694
659133;470010002000000070903915010282;1180847
1001892;470010002000000071226000000000;1184447
882708;470010001000000020801800002413;1183586
1016606;470010002000000040801800004977;1181434
664454;470010107000000600006000000000;1185530
1033128;470010002000000076901903010342;1186599
699599;470010003000000040085000000000;1185484
683507;470010104000000910903901000206;1185776
687240;470010002000000040801800003978;1181478
1053222;470010003000000010635000000000;1184542
1041377;470010002000000070905919030372;1187611
971957;470010104000000910903901150183;1185970
1060063;470010002000000070905908040154;1181132
720856;470010104000000930906902030493;1179834
1045813;470010002000000070903919030370;1183245
722694;470010002000000070905908040156;1183539
678141;470010002000000070903924020466;1184791
1069857;470010002000000070903916040313;1183414
1041493;470010104000000930906901100249;1181272
871416;470010104000001430012000000000;1185604
684912;470010104000000930906901010277;1184166
1028524;470010111000000830026000000000;1179508
817903;470010111000000810007000000000;1185412
792514;470010108000000010901904041530;1185506
995683;470010002000000040901901010178;1186851
1041584;470010002000000070902904030071;1181834
954811;470010002000000076901905010470;1184548
671646;470010002000000040901901010007;1182124
681592;470010002000000070903921030410;1183061
1014278;470010002000000070905906050120;1180802
1071360;470010002000000070903907030132;1183473
1006923;470010106000000560901901080064;1186584
657873;470010002000000070903902040035;1183229
1060208;470010002000000070902912030230;1182999
678061;470010001000000020801800002415;1184704
821549;470010101000001210902900000050;1185490
952240;470010113000000780105000000000;1180349
861353;470010002000000070903913030252;1185075
1006762;470010001000000020801800002387;1186214
959979;470010115000006560901900000158;1187679
821463;470010109000003260005000000000;1179702
1052590;470010002000000070902912050237;1184530
722967;470010002000000070905923050459;1184910
1045803;470010106000004070005000000000;1179958
821875;470010104000000910903901000130;1182291
951695;470010002000000076901906020543;1180838
803177;470010002000000022195000000000;1184588
818147;470010002000000023171000000000;1181673
658044;470010115000006650904900002815;1179938
667166;470010104000001070902900000252;1180511
1065056;470010115000003890010000000000;1185349
938217;470010109000002580801800000262;1186150
721906;470010002000000070903909040173;1183310
1003832;470010110000000620902900000252;1187658
884395;470010104000000930906902100473;1179840
684918;470010104000000910903901050158;1185780
694432;470010110000000030901900000111;1180143
659805;470010002000000070902901040016;1183560
868981;470010104000000910903901130112;1182256
891837;470010108000000060902902170159;1184116
687140;470010002000000076901906020539;1180830
821345;470010106000000560901902040096;1181893
3016452;470010002000000076901901080269;1186805
715335;470010106000007860002500000001;1184537
925758;470010106000000560901901070050;1181967
947962;470010104000000910903901130178;1185899
690935;470010106000000560901901060045;1182207
694360;470010002000000040801800003959;1181515
740010;470010002000000070903905050100;1184627
662552;470010002000000066749000000000;1181085
938303;470010002000000070905911010204;1182396
659173;470010002000000070903920040394;1182595
1072971;470010002000000040901900000098;1186904
764407;470010111000001310015000000000;1180193
1046637;470010105000000110018000000000;1184446
684214;470010108000000060902901060010;1184677
1040863;470010106000008140006000000000;1180273
1003630;470010002000000076901907010596;1182061
721752;470010104000001250007000000000;1180007
821719;470010104000000910903901100103;1182157
3014094;470010106000000560901902070120;1187477
913949;470010002000000070903922040436;1181792
667079;470010110000000400903900000395;1187638
3006681;470010002000000040901901010035;1186888
745310;470010109000004130005000000000;1180199
800072;470010001000000020801800002399;1186381
1042618;470010001000000021303000000000;1187306
857641;470010001000000020801800002417;1183735
678929;470010002000000070903920020387;1183992
1040690;470010110000000830901900000173;1183637
3017361;470010002000000076901902020286;1187408
1045387;470010002000000070905905030089;1184858
