t_id_caracterististica_unidadconstruccion;identificador;area_construida;anio_construccion
65284;A;0.0;
84189;A;55.9;
78201;A;67.7;
84057;A;67.7;
81577;A;78.5;
60909;A;41.8;
60986;A;60.3;
70740;A;0.0;
57008;A;67.7;
60947;A;72.1;
64661;A;67.7;
60999;A;60.3;
60984;A;60.3;
34932;A;0.0;
54189;A;67.7;
51371;A;67.7;
49789;A;67.7;
84168;A;45.6;
60938;A;72.1;
79865;A;31.4;
84173;A;47.6;
53096;A;224.4;
60974;A;41.8;
35153;A;0.0;
56257;A;67.7;
60958;A;72.1;
75650;A;67.7;
6600;A;31.4;
60850;A;41.8;
84208;A;207.1;
25932;A;0.0;
60963;A;41.8;
32443;A;0.0;
73150;A;67.7;
60477;A;67.7;
60972;A;41.8;
84052;A;67.7;
565;A;55.9;
60882;A;72.1;
84039;A;0.0;
78941;A;73.6;
59595;A;67.7;
74072;A;67.7;
84174;A;47.6;
75235;A;0.0;
60879;A;41.8;
7971;A;0.0;
84178;A;55.9;
50712;A;67.7;
74927;A;0.0;
60566;A;67.7;
9693;A;31.4;
61002;A;60.3;
80391;A;53.7;
46056;A;0.0;
75694;A;67.7;
53125;A;55.9;
84204;A;55.9;
60951;A;72.1;
60966;A;41.8;
53045;A;47.6;
16090;A;53.7;
60860;A;41.8;
4678;A;73.8;
83071;A;73.8;
60916;A;60.3;
52560;NULL;74.9;
48162;A;0.0;
60941;A;72.1;
60912;A;60.3;
70212;A;0.0;
21247;A;53.7;
84193;A;55.9;
60864;A;72.1;
53112;A;55.9;
47632;A;0.0;
84205;A;55.9;
60934;A;72.1;
60924;A;60.3;
29725;A;0.0;
14939;A;31.4;
61453;A;67.7;
53592;A;47.6;
74003;A;0.0;
60990;A;60.3;
84185;A;47.6;
60875;A;41.8;
84190;A;47.6;
84032;A;0.0;
60832;A;60.3;
13653;A;73.8;
81093;A;73.8;
60965;A;41.8;
53800;A;67.7;
61013;A;0.0;
84063;A;67.7;
53420;A;55.9;
74883;A;0.0;
53046;A;30.7;
60932;A;72.1;
50403;A;67.7;
60896;A;41.8;
48558;A;0.0;
61366;A;67.7;
19235;A;31.4;
80919;A;67.7;
72501;A;0.0;
62730;A;0.0;
7312;A;73.8;
84199;A;55.9;
60827;A;60.3;
84054;A;67.7;
60939;A;72.1;
83642;A;78.5;
84196;A;47.6;
60840;A;60.3;
60993;A;60.3;
60874;A;41.8;
60908;A;41.8;
80961;A;53.7;
60902;A;41.8;
80523;A;31.4;
73251;A;0.0;
7839;A;73.8;
84072;A;67.7;
58673;A;67.7;
61009;A;60.3;
84028;A;0.0;
53136;A;55.9;
84165;A;55.9;
38216;A;0.0;
45173;A;0.0;
60838;A;60.3;
60952;A;72.1;
84603;C-11;15.8;
77497;A;67.7;
60877;A;41.8;
53621;A;47.6;
53069;A;29.9;
77747;A;31.4;
74728;A;67.7;
