t_id_predio;numero_predial
763927;470010006000000020084500000047
725456;470010113000000840090000000000
751140;470010800000000920001000000000
907341;470010006000000020022000000000
750488;470010102000004830001000000000
750978;470010002000000012540000000000
749337;470010106000011760003000000000
741424;470010103000008250009000000000
749485;470010107000000810801800000333
865310;470010004000000020209500000001
749722;470010002000000049020000000000
711144;470010900000001970004000000000
728562;470010111000003590005000000000
770347;470010003000000010225500000014
756305;470010008000000010139500000003
750675;470010002000000071862000000000
751486;470010006000000029043000000000
750213;470010105000001150055000000000
749232;470010003000000011996000000000
741482;470010103000008250006000000000
918501;470010004000000090077000000000
918506;470010003000000020026000000000
749441;470010106000001660045000000000
727938;470010002000000012541000000000
749975;470010900000001970003000000000
782680;470010001000000022451000000000
751449;470010006000000029048000000000
750021;470010111000003250020000000000
700773;470010006000000020084500000006
760412;470010002000000030031500000001
749437;470010106000000310166000000000
749283;470010104000001050027000000000
1058751;470010004000000080001000000000
750999;470010002000000071594000000000
749333;470010101000001440902900000000
964248;470010006000000020084500000009
733571;470010800000000600010000000000
663590;470010008000000020012500000001
865375;470010003000000030232500000001
750416;470010002000000071412000000000
751357;470010800000001580001000000000
751070;470010800000001010001000000000
832875;470010008000000010110500000002
737959;470010109000002010801800000050
750155;470010104000001030058000000000
749248;470010101000001790903900000000
750414;470010002000000071137000000000
749989;470010103000008250017000000000
749901;470010111000003150005000000000
844183;470010003000000030248500000001
750976;470010002000000066501000000000
749530;470010113000000940007000000000
907133;470010004000000010317000000000
760474;470010004000000010001500000002
896315;470010002000000020510000000000
872171;470010004000000050050500000001
725458;470010002000000040538000000000
760478;470010003000000020027500000001
748845;470010103000008250012000000000
1021932;470010005000000010021500000001
750313;470010106000010270001000000000
750484;470010900000000900045000000000
750159;470010115000006260010000000000
749481;470010107000000460903900000000
1058749;470010005000000020163000000000
779000;470010002000000020549000000000
753534;470010004000000090018500000004
843210;470010002000000020232000000000
750895;470010002000000065971000000000
750031;470010111000001300011000000000
749761;470010001000000020010000000000
750893;470010002000000066970000000000
750570;470010002000000039012000000000
751433;470010800000000730001000000000
728246;470010110000000380905900001362
749905;470010001000000021728000000000
729358;470010002000000067045000000000
751156;470010103000000450262000000000
724188;470010114000000780045000000000
761998;470010001000000021098500000001
749250;470010900000001970010000000000
740221;470010003000000011997000000000
758493;470010002000000030440500000001
751074;470010800000000790001000000000
733073;470010002000000071741000000000
746286;470010103000008250010000000000
750384;470010002000000071016000000000
750392;470010001000000022381000000000
723881;470010102000002420002000000000
749447;470010106000000080050000000000
725330;470010002000000071935000000000
1058821;470010101000001840901900000000
750281;470010103000008250013000000000
725074;470010800000000820001000000000
749670;470010002000000049224000000000
737743;470010800000000830001000000000
751043;470010800000000870001000000000
841930;470010006000000020084500000034
972687;470010005000000010004500000001
749759;470010001000000021225000000000
953586;470010105000000020039000000000
749381;470010106000011850001000000000
848652;470010006000000020084500000018
750532;470010002000000030325000000000
751365;470010800000000420024000000000
750681;470010002000000044778000000000
770427;470010002000000030049500000001
764028;470010106000011370073500000001
861114;470010002000000020011000000000
751447;470010006000000020203000000000
751009;470010800000000800001000000000
749483;470010107000000800098000000000
749327;470010115000002650042000000000
738511;470010800000000810001000000000
749487;470010107000001300801800000000
759196;470010006000000020084500000032
749389;470010106000007100801800000017
