t_id_caracterististica_unidadconstruccion;identificador
81797;A
51684;B
72986;A
20440; 
56682;B
80391;A
61092;A
34372;A
48067;B
13730;A
61348;A
56722;B
11094; 
60824;A
80873;A
60944;A
53064;A
61007;A
58323;A
10418;A
57568;B
8747;A
61930;C
84057;A
60924;A
60756;B
57705;D
38241;A
61685;A
34623;A
77747;A
74881;C
48510;A
60433;A
73737;A
60918;A
75721;A
56425;A
58417;A
57317;A
56550;B
4523;A
83977;C
81879;C
22620; 
60934;A
60997;A
13556;A
49343;B
53649;A
6826;A
84034;A
55812;A
52463;NULL
56298;A
45307;A
65868;C
24818;A
84056;A
65932;C
61533;B
16486;A
60962;A
35607; 
15766;A
60951;A
60838;A
34552;A
75650;A
62482;C
8454;A
84179;A
56683;A
50009;A
3116;A
53505;B
84174;A
52488;B
71932;C
15958;A
72853;A
60973;A
71918;A
82939;A
39744;A
32113;A
60923;A
36273;A
11811; 
74487;A
43380;C
11026;A
73632;A
60273;B
46321;A
6912;A
6923;A
78465;A
24853;A
60984;A
8418;A
42887;A
84037;A
52667;A
30244; 
22203;A
53554;A
62794;C
39564; 
60832;A
42085;A
60834;A
638; 
49724;B
60904;A
57727;B
6821;A
15914;A
23207;A
10431;A
10407;A
1386;A
53136;A
9402;A
60906;A
10502;A
74618;A
46798;C
56456;C
10441;A
84761;A-1
84073;A
76857;A
24135;A
61321;B
60867;A
74971;A
18797;A
3423;A
84189;A
60837;A
10062;A
84200;A
39740;A
10420;A
83071;A
84038;A
60645;B
59417;A
76618;A
46175;A
84046;A
84029;A
34759;A
9041;A
84763;A
56687;A
64268;C
61013;A
80919;A
13707;A
44838;A
31820; 
30290;A
84183;A
84187;A
49525;A
4815;A
39686;A
8286;A
48909;A
47476;B
38211;A
9040;A
4801;A
60913;A
32502;A
42729;C
44835;A
34706;A
3963;A
84162;A
48366;B
12435;A
64245;B
49717;A
60828;A
84050;A
75298;A
52426;A
84169;A
84065;A
6823;A
4730;A
48932;A
1444; 
23391;A
23029;A
57924;C
10426;A
63917;C
15633;A
34084;A
53672;A
19638;A
8401;A
70685;C
60972;A
33735;A
6914;A
14601;A
8677;A
65175;C
10416;A
4309;A
79544;B
2860;A
22450;A
60846;A
35153;A
65638;C
11031;A
831; 
61431;C
60891;A
10414;A
7927;A
60957;A
36991;A
56723;A
37962; 
4521;A
39733;A
34932;A
82455;A
41201;A
73431;C
60259;A
84067;A
19235;A
84181;A
50580;A
10406;A
60841;A
53430;A
56457;B
57754;A
36021;A
44626;A
29997;A
82895;A
53125;A
33219;A
61011;A
56749;A
21881;A
76882;A
4798;A
6435; 
60899;A
73588;A
79693;A
58378;B
38140;C
12437;A
84201;A
35606; 
9304;A
59674;A
53432;A
84175;A
60856;A
67308;A
60822;A
51710;A
42492;C
49068;C
5356;A
565;A
53370;A
56079;A
53053;B
74750;A
13147;A
60936;A
46576;A
60970;A
8246;A
33315;A
57926;A
75342;A
16186;A
62772;C
1806; 
84190;A
42747;A
56532;C
60881;A
81093;A
61686;C
45781;A
60995;A
39742;A
10298;A
67321;C
10061;A
61006;A
51321;A
73018;A
2682;A
12992;A
55965;B
82763;A
6018;A
794;A
57383;A
73062;A
84617;A-1
21426;A
78322;A
38067;C
84053;A
75413;A
32443;A
73693;A
77234;A
61893;A
13603;A
29581;A
84163;A
