t_id_predio;numero_predial
771092;470010104000000330032500000001
849427;470010110000000290004500000002
770930;470010107000000680012200000001
1012073;470010110000001970001500000002
766149;470010110000001740011200000001
660781;470010110000000250003500000021
914679;470010108000000090006200000004
763400;470010104000001750001500000001
719200;470010107000001180007500000001
661325;470010110000000250003500000044
661951;470010110000000250152500000034
747246;470010110000000080008500000001
825071;470010110000000250003500000001
1041470;470010110000000050012300000000
1010736;470010107000000540010500000002
819827;470010110000002200008200000001
1007037;470010110000000300004500000004
980010;470010110000001720002500000001
917042;470010107000000550009500000002
766393;470010107000000630008500000001
659859;470010110000001520004200000001
771481;470010107000000610004500000003
675676;470010110000001280009200000001
756537;470010107000000560010200000004
770928;470010110000000260001200000009
1038064;470010110000000080023500000003
854378;470010110000001380003500000002
1033672;470010110000000250003500000030
770894;470010110000000080023500000001
985966;470010110000001300017500000001
819412;470010110000001480008500000002
956016;470010110000000300010500000001
832445;470010104000001640031500000001
985438;470010110000001360002200000001
863263;470010108000000090006200000001
762510;470010110000000260067200000001
914576;470010110000000260001200000006
760902;470010110000002180006500000010
720537;470010110000000250152500000033
687722;470010107000001180002500000001
962832;470010110000001790003200000001
952563;470010110000000300002500000017
908904;470010107000001290015500000001
722556;470010104000000700013500000001
764469;470010107000001480013500000001
872140;470010110000000290003500000019
767362;470010110000001480008500000001
849425;470010110000002180006500000001
1007705;470010107000000700005200000002
937873;470010110000000340003500000001
885851;470010104000000760026500000001
724034;470010112000001000001200000000
838053;470010110000001300016500000001
717876;470010110000001970001500000001
1024342;470010110000000290003500000017
929980;470010110000000250152500000003
717813;470010110000002180006200000013
909153;470010104000000180015500000001
766726;470010110000000080032500000002
989786;470010110000000250003500000004
768675;470010107000001480007500000001
891680;470010107000000720047500000001
764467;470010110000000290003500000025
669193;470010110000001520005200000001
767832;470010110000001310018500000001
663013;470010110000000250003500000022
768556;470010110000001940002500000001
766349;470010110000002430042500000001
754888;470010104000000670011200000001
728206;470010106000010590018200000000
930907;470010110000000250152500000031
718109;470010110000002430006500000001
819998;470010110000001450001200000001
