t_id_terreno;t_id_unidadconstruccion;unidadconstruccion_nocontenida_en_terreno;t_id_terreno_asociado_a_unidadconstruccion;t_id_predio
1153459;1207704;false;1153459;964102
1078303;1199926;false;1078303;914444
1129203;1188009;false;1129203;1069392
1143256;1254244;false;1143256;1000246
1074296;1195837;false;1074296;930997
1131283;1261259;false;1131283;1049480
1140399;1209145;false;1140399;948361
1113594;1249217;false;1113594;965800
1108851;1210849;false;1108851;678937
1137128;1224271;false;1137128;3021180
1119256;1212299;false;1119256;1024211
1117205;1249739;false;1117205;1027307
1086808;1265663;false;1086808;767211
1088788;1220392;false;1088788;1008044
1088461;1276230;false;1088461;3009846
1094927;1212325;false;1094927;1048856
1133247;1202862;false;1133247;931587
1129151;1212313;false;1129151;857977
1126884;1273994;false;1126884;1062319
1100634;1261840;false;1100634;1032961
1164217;1251081;false;1164217;968519
1117185;1189630;false;1117185;758396
1164609;1221767;false;1164609;823661
1079761;1203178;false;1079761;3013965
1170005;1265174;false;1170005;697113
1090578;1218311;false;1090578;924149
1146156;1253695;false;1146156;3012609
1086850;1250674;false;1086850;1000244
1105101;1263615;false;1105101;956014
1150187;1269939;false;1150187;1032830
1100323;1206266;false;1100323;808811
1147759;1195784;false;1147759;930051
1097814;1219599;false;1097814;691509
1140397;1200426;false;1140397;965247
1133711;1260122;false;1133711;971520
1091366;1238726;false;1091366;1048843
1107150;1200613;false;1107150;699820
1175651;1220394;false;1175651;686132
1075001;1207237;false;1075001;1056274
1147532;1260925;false;1147532;795312
1112646;1281911;false;1112646;899208
1148205;1200443;false;1148205;1000240
1141580;1275407;false;1141580;1006953
1173613;1270831;false;1173613;1057045
1079102;1229994;false;1079102;760568
1152667;1200666;false;1152667;671715
1155037;1198126;false;1155037;693243
1113195;1200656;false;1113195;985025
1143892;1224296;false;1143892;3013683
1170296;1203390;false;1170296;760572
1084370;1251638;false;1084370;826214
1132061;1193908;false;1132061;685767
1120887;1201124;false;1120887;1064235
1127689;1189015;false;1127689;783433
1080534;1231453;false;1080534;816672
1166619;1205730;false;1166619;968597
1111249;1196984;false;1111249;798897
1160011;1234028;false;1160011;685788
1130829;1206665;false;1130829;1050098
1118477;1225436;false;1118477;941709
1073760;1209815;false;1073760;718378
1167794;1213698;false;1167794;693820
1099093;1276933;false;1099093;945324
1088868;1273453;false;1088868;1041650
1113584;1245628;false;1113584;1018221
1084379;1196073;false;1084379;756400
1128720;1267370;false;1128720;965004
1131671;1208321;false;1131671;758331
1147729;1195704;false;1147729;672305
1178969;1263826;false;1178969;1036736
1074562;1241217;false;1074562;3021456
1132555;1232959;false;1132555;770359
1133652;1192571;false;1133652;3019971
1098625;1236367;false;1098625;759490
1091361;1200517;false;1091361;968721
1104291;1252291;false;1104291;958662
1171932;1258356;false;1171932;3021342
1114776;1202377;false;1114776;661164
1170308;1234491;false;1170308;672226
1100244;1211507;false;1100244;662601
1120221;1254206;false;1120221;717931
1109358;1195341;false;1109358;666408
1118888;1200241;false;1118888;963085
1135420;1235752;false;1135420;679569
1122828;1214152;false;1122828;1020681
1078303;1262507;false;1078303;914444
1147757;1197683;false;1147757;691315
1130829;1218861;false;1130829;1050098
1168690;1268177;false;1168690;985719
1151813;1218727;false;1151813;1003745
1136873;1254599;false;1136873;1015915
1094526;1252279;false;1094526;997917
1098636;1201439;false;1098636;966036
1138774;1226536;false;1138774;800076
1174517;1233357;false;1174517;938366
1104716;1200171;false;1104716;964166
1143254;1197005;false;1143254;691520
1109185;1195215;false;1109185;760516
1132778;1226711;false;1132778;1024243
1103786;1244046;false;1103786;961969
1098638;1193252;false;1098638;770930
1143265;1233760;false;1143265;838055
1078295;1191928;false;1078295;1034397
1083678;1202182;false;1083678;796196
1113585;1195009;false;1113585;678373
1117205;1205675;false;1117205;1027307
1118882;1208553;false;1118882;952567
1114036;1200987;false;1114036;1064254
1103041;1189919;false;1103041;1057827
1146955;1270009;false;1146955;790182
1156311;1198809;false;1156311;981878
1078510;1247821;false;1078510;795749
1140387;1197268;false;1140387;691501
1103018;1209295;false;1103018;842309
1159609;1227197;false;1159609;974310
1169206;1233406;false;1169206;693765
1139573;1268751;false;1139573;668726
1157541;1234828;false;1157541;1063383
1073362;1210974;false;1073362;891747
1129151;1232792;false;1129151;857977
1123304;1201006;false;1123304;3021054
1155026;1262402;false;1155026;849802
1157552;1224285;false;1157552;1020710
1137914;1243819;false;1137914;1052618
1154280;1271321;false;1154280;3020322
1163801;1214385;false;1163801;700372
1142419;1239083;false;1142419;3022389
1090540;1197689;false;1090540;907175
1088993;1259161;false;1088993;987632
1178061;1206621;false;1178061;690163
1091742;1213995;false;1091742;929277
1126697;1254239;false;1126697;923560
1155047;1212074;false;1155047;1054569
1106335;1250341;false;1106335;954154
1125088;1200749;false;1125088;968117
1100361;1243960;false;1100361;816656
1093747;1266309;false;1093747;661367
1127113;1246075;false;1127113;943870
1157102;1270449;false;1157102;1056362
1110030;1274974;false;1110030;689323
1147757;1202357;false;1147757;691315
1088057;1262494;false;1088057;924718
1154561;1266599;false;1154561;977227
1149370;1196796;false;1149370;1066463
1160137;1270200;false;1160137;770047
1160430;1270530;false;1160430;762144
1090948;1211747;false;1090948;681608
1086806;1195563;false;1086806;944558
1138346;1196084;false;1138346;1056395
1096881;1191285;false;1096881;660341
1088448;1212307;false;1088448;1028895
1075216;1252652;false;1075216;1027187
1152804;1248856;false;1152804;701436
1165175;1201193;false;1165175;1060250
1101441;1204363;false;1101441;793428
1144099;1250417;false;1144099;1060175
1144888;1266757;false;1144888;668290
1158328;1198089;false;1158328;897799
1105805;1265228;false;1105805;959771
1118603;1193148;false;1118603;672917
1170734;1213531;false;1170734;963514
1146074;1258759;false;1146074;1062960
1117595;1260753;false;1117595;946499
1094535;1267441;false;1094535;972673
1138069;1231762;false;1138069;3010674
1139981;1242769;false;1139981;3023367
1139176;1189835;false;1139176;946939
1168229;1206609;false;1168229;902934
1103453;1218898;false;1103453;1060036
1145885;1212378;false;1145885;890031
1125900;1201064;false;1125900;1020423
1100635;1251589;false;1100635;694046
1127116;1220540;false;1127116;693425
1102263;1249117;false;1102263;1043896
1131283;1199457;false;1131283;1049480
1159587;1210746;false;1159587;701778
1137115;1279990;false;1137115;746107
1105067;1248405;false;1105067;752061
1105144;1259015;false;1105144;1000275
1112632;1215874;false;1112632;723592
1139573;1198611;false;1139573;668726
1127112;1200409;false;1127112;1038176
1158733;1252808;false;1158733;659751
1122776;1233024;false;1122776;795533
1117205;1189223;false;1117205;1027307
1077882;1272014;false;1077882;768675
1157156;1200554;false;1157156;661865
1090083;1202074;false;1090083;1041020
1155196;1237280;false;1155196;995848
1176472;1199017;false;1176472;927965
1094535;1229252;false;1094535;972673
1107153;1228895;false;1107153;3022299
1109622;1191504;false;1109622;675486
1164619;1211786;false;1164619;1025029
1162170;1198413;false;1162170;1054988
1081557;1238708;false;1081557;973430
1074302;1191721;false;1074302;891115
1125176;1196115;false;1125176;821039
1129947;1220071;false;1129947;931996
1113554;1270748;false;1113554;1060935
1106348;1250408;false;1106348;958273
1099758;1191434;false;1099758;686813
1171910;1267911;false;1171910;958909
1093343;1224594;false;1093343;1005211
1087236;1271302;false;1087236;973281
1152653;1248532;false;1152653;1056564
1131287;1234868;false;1131287;829606
1138343;1211820;false;1138343;763402
1149763;1259384;false;1149763;790282
1123403;1219694;false;1123403;1038174
1073703;1233710;false;1073703;3021639
1090955;1256867;false;1090955;826826
1141578;1203890;false;1141578;942818
1174426;1271928;false;1174426;968111
1129594;1253691;false;1129594;763779
1129164;1244989;false;1129164;1028869
1133711;1237191;false;1133711;971520
1116428;1193249;false;1116428;738645
1088063;1262549;false;1088063;941707
1171554;1200990;false;1171554;979885
1093343;1265574;false;1093343;1005211
1080083;1251668;false;1080083;1015857
1172055;1222355;false;1172055;796577
1140800;1274595;false;1140800;948589
1136663;1208827;false;1136663;957861
1117221;1215282;false;1117221;675494
1084658;1226284;false;1084658;941276
1107134;1251632;false;1107134;691453
1137490;1214383;false;1137490;840116
1137111;1201874;false;1137111;664155
1104717;1241890;false;1104717;1060177
1077210;1270945;false;1077210;866748
1155224;1281515;false;1155224;795181
1079895;1265070;false;1079895;1070260
1159986;1201854;false;1159986;954136
1157974;1224803;false;1157974;671702
1178080;1200445;false;1178080;790659
1140797;1246417;false;1140797;882355
1107290;1209869;false;1107290;1003794
1164587;1195971;false;1164587;675302
1146955;1237195;false;1146955;790182
1157971;1256816;false;1157971;925619
1143246;1202882;false;1143246;953493
1174884;1215562;false;1174884;963374
1103881;1211760;false;1103881;929625
1123444;1197013;false;1123444;929665
1097814;1187971;false;1097814;691509
1092979;1203211;false;1092979;785904
1133694;1198997;false;1133694;791592
1075014;1220790;false;1075014;1060232
1121903;1262119;false;1121903;692286
1124271;1274521;false;1124271;799959
1085094;1278873;false;1085094;799170
1162966;1212746;false;1162966;928541
1112639;1256117;false;1112639;717956
1151391;1208305;false;1151391;921598
1132058;1267333;false;1132058;691724
1095895;1233813;false;1095895;770062
1117549;1199170;false;1117549;962176
1116816;1201114;false;1116816;3023040
1090544;1261262;false;1090544;1032817
1143262;1220468;false;1143262;658072
1165833;1201053;false;1165833;977300
1121289;1231639;false;1121289;1020669
1178941;1204560;false;1178941;690159
1123304;1279675;false;1123304;3021054
1153845;1255527;false;1153845;803126
1097815;1267287;false;1097815;689533
1140071;1264223;false;1140071;861228
1144090;1243343;false;1144090;1033433
1144110;1202158;false;1144110;992367
1140236;1242011;false;1140236;3018582
1097019;1256306;false;1097019;970824
1163368;1201890;false;1163368;940221
1106522;1274804;false;1106522;795573
1137115;1243025;false;1137115;746107
1116814;1223878;false;1116814;718057
1144508;1201034;false;1144508;3021792
1167002;1237629;false;1167002;664958
1125457;1204714;false;1125457;892469
1081980;1198344;false;1081980;857142
1162575;1218980;false;1162575;671712
1101856;1198552;false;1101856;928535
1074302;1256551;false;1074302;891115
1102263;1194976;false;1102263;1043896
1083630;1200923;false;1083630;1048820
1144612;1225223;false;1144612;1063734
1115215;1281044;false;1115215;725070
1135795;1191250;false;1135795;1045996
1125058;1271745;false;1125058;845210
1083206;1270049;false;1083206;3017736
1147366;1205997;false;1147366;760410
1078437;1204860;false;1078437;861251
1108397;1233144;false;1108397;1000270
1103051;1234518;false;1103051;661327
1097832;1219670;false;1097832;963077
1171135;1222746;false;1171135;786244
1096601;1233555;false;1096601;886834
1113197;1226759;false;1113197;683503
1158671;1258095;false;1158671;790196
1122198;1214071;false;1122198;691065
1097516;1262071;false;1097516;974099
1093753;1200384;false;1093753;967120
1101453;1239049;false;1101453;1045928
1074572;1238302;false;1074572;1072102
1174891;1232471;false;1174891;3013365
1096198;1190827;false;1096198;3007920
1124684;1195785;false;1124684;958713
1169452;1196958;false;1169452;996436
1167388;1209528;false;1167388;747407
1083304;1265185;false;1083304;670687
1127112;1207694;false;1127112;1038176
1132942;1248796;false;1132942;812591
1148575;1218610;false;1148575;1060240
1144508;1234950;false;1144508;3021792
1174830;1216780;false;1174830;928851
1155196;1221856;false;1155196;995848
1117635;1209340;false;1117635;916047
1171910;1216305;false;1171910;958909
1133916;1250145;false;1133916;997245
1090955;1278301;false;1090955;826826
1115574;1200989;false;1115574;884286
1097882;1281455;false;1097882;770227
1107695;1204202;false;1107695;908790
1077210;1199312;false;1077210;866748
1086410;1254967;false;1086410;1028831
1175696;1200831;false;1175696;1008116
1134558;1275036;false;1134558;3021213
1173557;1207876;false;1173557;681632
1167407;1261337;false;1167407;968785
1080424;1237611;false;1080424;968982
1093739;1256155;false;1093739;1003857
1162552;1190943;false;1162552;907922
1156296;1194977;false;1156296;720549
1149284;1200369;false;1149284;984089
1075014;1221832;false;1075014;1060232
1085958;1215258;false;1085958;683637
1128055;1251346;false;1128055;667648
1114375;1219726;false;1114375;967275
1157897;1280906;false;1157897;961989
1173987;1261209;false;1173987;933386
1075007;1210026;false;1075007;1007281
1161132;1231921;false;1161132;795236
1175417;1253204;false;1175417;1017183
1100250;1266198;false;1100250;914902
1092549;1245630;false;1092549;690087
1130416;1203101;false;1130416;1072088
1091732;1221394;false;1091732;905767
1132835;1202653;false;1132835;691816
1138908;1204840;false;1138908;889101
1107119;1196015;false;1107119;670568
1169116;1276668;false;1169116;770201
1139158;1205020;false;1139158;914297
1123878;1280000;false;1123878;826635
1109206;1260073;false;1109206;674940
1122828;1279303;false;1122828;1020681
1173572;1260704;false;1173572;770049
1166235;1197009;false;1166235;958643
1083191;1260004;false;1083191;752518
1081996;1194839;false;1081996;1003846
1082763;1249081;false;1082763;1072438
