t_id_predio;numero_predial;condicion_predio;destinacion_economica;uso_construccion
799611;470010002000000050801800000285;Condominio.Unidad_Predial;Recreacional;
934412;470010109000000510001000000000;NPH;Recreacional;
796354;470010002000000052022000000000;NPH;Recreacional;
794935;470010001000000020803800001671;Condominio.Unidad_Predial;Recreacional;
763582;470010113000001240001000000000;NPH;Recreacional;
765436;470010002000000022555000000000;NPH;Recreacional;
800092;470010002000000050802800000399;Condominio.Unidad_Predial;Recreacional;
1023875;470010102000003140003000000000;NPH;Recreacional;
799442;470010002000000050801800000269;Condominio.Unidad_Predial;Recreacional;
795200;470010004000000020801800000255;Condominio.Unidad_Predial;Recreacional;
813990;470010003000000010141500000022;Parque_Cementerio.Unidad_Predial;Recreacional;
891881;470010001000000020803800001648;Condominio.Unidad_Predial;Recreacional;
795031;470010002000000050801800000203;Condominio.Unidad_Predial;Recreacional;
795103;470010003000000030162500000007;Parque_Cementerio.Unidad_Predial;Recreacional;
731887;470010003000000030119500000034;Parque_Cementerio.Unidad_Predial;Recreacional;
795023;470010002000000050801800000121;Condominio.Unidad_Predial;Recreacional;
795671;470010004000000020801800000347;Condominio.Unidad_Predial;Recreacional;
795905;470010106000008890001000000000;NPH;Recreacional;
961185;470010002000000010187000000000;NPH;Recreacional;
961257;470010002000000050801800000244;Condominio.Unidad_Predial;Recreacional;
1051554;470010001000000020801800001381;Condominio.Unidad_Predial;Recreacional;
799615;470010002000000050801800000192;Condominio.Unidad_Predial;Recreacional;
800060;470010002000000050802800000382;Condominio.Unidad_Predial;Recreacional;
763797;470010106000011700001000000000;NPH;Recreacional;
962293;470010002000000050801800000201;Condominio.Unidad_Predial;Recreacional;
937537;470010002000000050801800000304;Condominio.Unidad_Predial;Recreacional;
665302;470011000000000270001000000000;NPH;Recreacional;
779556;470010111000000940001000000000;NPH;Recreacional;
795545;470010004000000020801800000332;Condominio.Unidad_Predial;Recreacional;
974037;470010002000000050801800000157;Condominio.Unidad_Predial;Recreacional;
961989;470010004000000020801800000375;Condominio.Unidad_Predial;Recreacional;
1011812;470010002000000050801800000199;Condominio.Unidad_Predial;Recreacional;
765163;470010002000000020606000000000;NPH;Recreacional;
799008;470010003000000030162500000010;Parque_Cementerio.Unidad_Predial;Recreacional;
939206;470010001000000021324000000000;NPH;Recreacional;
666561;470010003000000040280000000000;NPH;Recreacional;
801489;470010003000000030119500000040;Parque_Cementerio.Unidad_Predial;Recreacional;
799768;470010002000000050801800000227;Condominio.Unidad_Predial;Recreacional;
741220;470010102000004130001000000000;NPH;Recreacional;
795055;470010002000000050801800000308;Condominio.Unidad_Predial;Recreacional;
941097;470010002000000021938000000000;NPH;Recreacional;
795733;470010004000000020801800000356;Condominio.Unidad_Predial;Recreacional;
799617;470010002000000050801800000297;Condominio.Unidad_Predial;Recreacional;
799647;470010002000000050801800000296;Condominio.Unidad_Predial;Recreacional;
762842;470010106000005920001000000000;NPH;Recreacional;
960330;470010001000000021372000000000;NPH;Recreacional;
847744;470010600000000060004000000000;NPH;Recreacional;
1036352;470010004000000020801800000328;Condominio.Unidad_Predial;Recreacional;
958487;470010103000000450130000000000;NPH;Recreacional;
679314;470010004000000020801800000238;Condominio.Unidad_Predial;Recreacional;
717482;470010112000000650001000000000;NPH;Recreacional;
816773;470010101000001340001000000000;NPH;Recreacional;
799643;470010002000000050801800000189;Condominio.Unidad_Predial;Recreacional;
799649;470010002000000050801800000194;Condominio.Unidad_Predial;Recreacional;
800036;470010002000000050802800000378;Condominio.Unidad_Predial;Recreacional;
802422;470010003000000012321000000000;NPH;Recreacional;
663397;470010002000000050802800000372;Condominio.Unidad_Predial;Recreacional;
1061378;470010002000000050801800000170;Condominio.Unidad_Predial;Recreacional;
947606;470010107000000220006000000000;NPH;Recreacional;
961058;470010003000000010001000000000;NPH;Recreacional;
746872;470010106000008760001000000000;NPH;Recreacional;
929893;470010102000004290001000000000;NPH;Recreacional;
710523;470010002000000052033000000000;NPH;Recreacional;
667883;470010004000000020801800000341;Condominio.Unidad_Predial;Recreacional;
799601;470010002000000050801800000289;Condominio.Unidad_Predial;Recreacional;
665745;470010002000000050801800000260;Condominio.Unidad_Predial;Recreacional;
800050;470010002000000050802800000383;Condominio.Unidad_Predial;Recreacional;
960063;470010112000000650011000000000;NPH;Recreacional;
698897;470010107000001320010000000000;NPH;Recreacional;
662427;470010102000003160026000000000;NPH;Recreacional;
719775;470010004000000100028000000000;NPH;Recreacional;
1053973;470010002000000050801800000134;Condominio.Unidad_Predial;Recreacional;
827494;470010111000000710001000000000;NPH;Recreacional;
795569;470010004000000020801800000319;Condominio.Unidad_Predial;Recreacional;
999341;470010002000000050801800000122;Condominio.Unidad_Predial;Recreacional;
960840;470010900000001170004000000000;NPH;Recreacional;
794616;470010002000000072155000000000;NPH;Recreacional;
796927;470010002000000050801800000101;Condominio.Unidad_Predial;Recreacional;
1047606;470010004000000020801800000340;Condominio.Unidad_Predial;Recreacional;
766097;470010002000000050801800000113;Condominio.Unidad_Predial;Recreacional;
960810;470010002000000050801800000150;Condominio.Unidad_Predial;Recreacional;
763785;470010106000011720001000000000;NPH;Recreacional;
961247;470010002000000050801800000239;Condominio.Unidad_Predial;Recreacional;
1038730;470010002000000050801800000315;Condominio.Unidad_Predial;Recreacional;
763654;470010106000006530030000000000;NPH;Recreacional;
793058;470010106000011730001000000000;NPH;Recreacional;
815206;470010008000000010188000000000;NPH;Recreacional;
1054267;470010002000000050802800000400;Condominio.Unidad_Predial;Recreacional;
763672;470010106000006550023000000000;NPH;Recreacional;
834889;470010004000000050046000000000;NPH;Recreacional;
961223;470010003000000030208000000000;NPH;Recreacional;
799577;470010002000000050801800000282;Condominio.Unidad_Predial;Recreacional;
959771;470010004000000020801800000234;Condominio.Unidad_Predial;Recreacional;
800975;470010103000007770001000000000;NPH;Recreacional;
867762;470010001000000020803800001650;Condominio.Unidad_Predial;Recreacional;
900179;470010111000000860801800000021;Condominio.Unidad_Predial;Recreacional;
659288;470010004000000020801800000257;Condominio.Unidad_Predial;Recreacional;
801586;470010004000000020179000000000;NPH;Recreacional;
902690;470010003000000030119500000072;Parque_Cementerio.Unidad_Predial;Recreacional;
763444;470010106000008720001000000000;NPH;Recreacional;
1040591;470010002000000050801800000149;Condominio.Unidad_Predial;Recreacional;
1006164;470010111000001030001000000000;NPH;Recreacional;
718107;470010107000001320019000000000;NPH;Recreacional;
855999;470010003000000030119500000071;Parque_Cementerio.Unidad_Predial;Recreacional;
799681;470010002000000050801800000211;Condominio.Unidad_Predial;Recreacional;
813900;470010003000000030119500000051;Parque_Cementerio.Unidad_Predial;Recreacional;
849780;470010106000011830001000000000;NPH;Recreacional;
692098;470010002000000050801800000108;Condominio.Unidad_Predial;Recreacional;
800086;470010002000000050802800000389;Condominio.Unidad_Predial;Recreacional;
704736;470010106000010080002500000001;Parque_Cementerio.Unidad_Predial;Recreacional;
1000969;470010003000000040007000000000;NPH;Recreacional;
765235;470010002000000022129000000000;NPH;Recreacional;
961052;470010002000000050801800000232;Condominio.Unidad_Predial;Recreacional;
795105;470010003000000010141500000025;Parque_Cementerio.Unidad_Predial;Recreacional;
1025840;470010002000000050801800000312;Condominio.Unidad_Predial;Recreacional;
846347;470010003000000010141500000011;Parque_Cementerio.Unidad_Predial;Recreacional;
815180;470010004000000020121000000000;NPH;Recreacional;
665369;470010004000000020801800000358;Condominio.Unidad_Predial;Recreacional;
1040043;470010001000000020803800001649;Condominio.Unidad_Predial;Recreacional;
1038732;470010002000000050801800000320;Condominio.Unidad_Predial;Recreacional;
795911;470010106000008920001000000000;NPH;Recreacional;
659068;470010002000000050802800000397;Condominio.Unidad_Predial;Recreacional;
1047572;470010002000000050801800000228;Condominio.Unidad_Predial;Recreacional;
765817;470010107000001320016000000000;NPH;Recreacional;
