t_id_predio;numero_predial;condicion_predio;tipo_predio
1009614;470010104000000610902900000000;PH.Matriz;Predio.Publico.Ejido
801630;470010107000000220901900000000;PH.Matriz;Predio.Publico.Ejido
1033346;470010107000000520903900000000;PH.Matriz;Predio.Publico.Ejido
662782;470010107000000930902900000000;PH.Matriz;Predio.Publico.Ejido
680410;470010104000000020903900000000;PH.Matriz;Predio.Publico.Ejido
856293;470010110000001820901900000000;PH.Matriz;Predio.Publico.Ejido
963174;470010104000000650901900000000;PH.Matriz;Predio.Publico.Ejido
691279;470010107000000260902900000000;PH.Matriz;Predio.Publico.Ejido
1014540;470010110000000380906900000000;PH.Matriz;Predio.Publico.Ejido
1067521;470010107000000470901900000000;PH.Matriz;Predio.Publico.Ejido
954279;470010107000000070903900000000;PH.Matriz;Predio.Publico.Ejido
976988;470010107000000550902900000000;PH.Matriz;Predio.Publico.Ejido
1020570;470010002000000070901900000000;PH.Matriz;Predio.Publico.Ejido
659765;470010107000000270906900000000;PH.Matriz;Predio.Publico.Ejido
693031;470010110000000190902900000000;PH.Matriz;Predio.Publico.Ejido
802513;470010107000000100910900000000;PH.Matriz;Predio.Publico.Ejido
1007757;470010107000000220903900000000;PH.Matriz;Predio.Publico.Ejido
1064226;470010107000000570902900000000;PH.Matriz;Predio.Publico.Ejido
675522;470010107000000310901900000000;PH.Matriz;Predio.Publico.Ejido
694336;470010107000000570904900000000;PH.Matriz;Predio.Publico.Ejido
1056466;470010110000000540902900000000;PH.Matriz;Predio.Publico.Ejido
750572;470010110000000570903900000000;PH.Matriz;Predio.Publico.Ejido
1038169;470010107000000630903900000000;PH.Matriz;Predio.Publico.Ejido
931282;470010107000000080905900000000;PH.Matriz;Predio.Publico.Ejido
908459;470010108000000010901900000000;PH.Matriz;Predio.Publico.Ejido
694676;470010104000000280902900000000;PH.Matriz;Predio.Publico.Ejido
958841;470010107000000570903900000000;PH.Matriz;Predio.Publico.Ejido
1024254;470010104000000140903900000000;PH.Matriz;Predio.Publico.Ejido
1060918;470010107000000130904900000000;PH.Matriz;Predio.Publico.Ejido
940159;470010107000000310904900000000;PH.Matriz;Predio.Publico.Ejido
1009815;470010110000000580902900000000;PH.Matriz;Predio.Publico.Ejido
678531;470010108000000060902900000000;PH.Matriz;Predio.Publico.Ejido
985662;470010104000000170902900000000;PH.Matriz;Predio.Publico.Ejido
747046;470010110000000380902900000000;PH.Matriz;Predio.Publico.Ejido
1020466;470010110000000500901900000000;PH.Matriz;Predio.Publico.Ejido
1038453;470010104000000670902900000000;PH.Matriz;Predio.Publico.Ejido
1043798;470010110000000510901900000000;PH.Matriz;Predio.Publico.Ejido
1032825;470010107000000100902900000000;PH.Matriz;Predio.Publico.Ejido
826406;470010107000000170901900000000;PH.Matriz;Predio.Publico.Ejido
678143;470010104000000910903900000000;PH.Matriz;Predio.Publico.Ejido
1067555;470010107000000690901900000000;PH.Matriz;Predio.Publico.Ejido
957683;470010107000000490908900000000;PH.Matriz;Predio.Publico.Ejido
797903;470010110000000490901900000000;PH.Matriz;Predio.Publico.Ejido
1028707;470010107000000270904900000000;PH.Matriz;Predio.Publico.Ejido
666318;470010107000000080910900000000;PH.Matriz;Predio.Publico.Ejido
955088;470010107000000120902900000000;PH.Matriz;Predio.Publico.Ejido
1009697;470010104000000730901900000000;PH.Matriz;Predio.Publico.Ejido
1028845;470010107000000020901900000000;PH.Matriz;Predio.Publico.Ejido
683328;470010107000000460903900000000;PH.Matriz;Predio.Publico.Ejido
919426;470010107000000690903900000000;PH.Matriz;Predio.Publico.Ejido
1064262;470010107000000280902900000000;PH.Matriz;Predio.Publico.Ejido
959040;470010110000000640903900000000;PH.Matriz;Predio.Publico.Ejido
940171;470010107000000170903900000000;PH.Matriz;Predio.Publico.Ejido
932117;470010110000000670902900000000;PH.Matriz;Predio.Publico.Ejido
953125;470010107000000060901900000000;PH.Matriz;Predio.Publico.Ejido
666272;470010104000000300902900000000;PH.Matriz;Predio.Publico.Ejido
667179;470010107000000430902900000000;PH.Matriz;Predio.Publico.Ejido
826377;470010108000000020903900000000;PH.Matriz;Predio.Publico.Ejido
981924;470010107000000690907900000000;PH.Matriz;Predio.Publico.Ejido
666331;470010107000000690905900000000;PH.Matriz;Predio.Publico.Ejido
826854;470010102000002710039000000000;PH.Matriz;Predio.Publico.Ejido
1068365;470010107000000690906900000000;PH.Matriz;Predio.Publico.Ejido
939858;470010107000000320904900000000;PH.Matriz;Predio.Publico.Ejido
1028688;470010107000000080904900000000;PH.Matriz;Predio.Publico.Ejido
958428;470010107000000560901900000000;PH.Matriz;Predio.Publico.Ejido
683093;470010107000000320902900000000;PH.Matriz;Predio.Publico.Ejido
931290;470010108000000020902900000000;PH.Matriz;Predio.Publico.Ejido
929347;470010107000000600902900000000;PH.Matriz;Predio.Publico.Ejido
976978;470010104000000140902900000000;PH.Matriz;Predio.Publico.Ejido
985027;470010107000001210901900000000;PH.Matriz;Predio.Publico.Ejido
959003;470010110000000380904900000000;PH.Matriz;Predio.Publico.Ejido
1056342;470010107000000220904900000000;PH.Matriz;Predio.Publico.Ejido
1028712;470010107000000090906900000000;PH.Matriz;Predio.Publico.Ejido
693887;470010107000000560902900000000;PH.Matriz;Predio.Publico.Ejido
1060938;470010104000000050901900000000;PH.Matriz;Predio.Publico.Ejido
1056296;470010107000000400902900000000;PH.Matriz;Predio.Publico.Ejido
698846;470010107000000180901900000000;PH.Matriz;Predio.Publico.Ejido
1067461;470010107000000270903900000000;PH.Matriz;Predio.Publico.Ejido
1006972;470010104000000660901900000000;PH.Matriz;Predio.Publico.Ejido
959059;470010110000000480903900000000;PH.Matriz;Predio.Publico.Ejido
1040961;470010108000000190901900000000;PH.Matriz;Predio.Publico.Ejido
826353;470010107000000190902900000000;PH.Matriz;Predio.Publico.Ejido
984995;470010104000000570901900000000;PH.Matriz;Predio.Publico.Ejido
691262;470010107000000220905900000000;PH.Matriz;Predio.Publico.Ejido
1003862;470010104000000140901900000000;PH.Matriz;Predio.Publico.Ejido
718273;470010104000000040901900000000;PH.Matriz;Predio.Publico.Ejido
1044383;470010107000000610903900000000;PH.Matriz;Predio.Publico.Ejido
675461;470010107000000270901900000000;PH.Matriz;Predio.Publico.Ejido
918162;470010107000000090902900000000;PH.Matriz;Predio.Publico.Ejido
666314;470010101000001520901900000000;PH.Matriz;Predio.Publico.Ejido
979807;470010107000000430903900000000;PH.Matriz;Predio.Publico.Ejido
1025348;470010107000000490907900000000;PH.Matriz;Predio.Publico.Ejido
697181;470010104000000290901900000000;PH.Matriz;Predio.Publico.Ejido
659649;470010107000000280906900000000;PH.Matriz;Predio.Publico.Ejido
985658;470010104000000690901900000000;PH.Matriz;Predio.Publico.Ejido
826316;470010107000000280901900000000;PH.Matriz;Predio.Publico.Ejido
666301;470010107000000460901900000000;PH.Matriz;Predio.Publico.Ejido
796593;470010107000000130901900000000;PH.Matriz;Predio.Publico.Ejido
886742;470010108000000060901900000000;PH.Matriz;Predio.Publico.Ejido
659892;470010110000000630902900000000;PH.Matriz;Predio.Publico.Ejido
1044413;470010104000000620901900000000;PH.Matriz;Predio.Publico.Ejido
724136;470010102000002320902900000000;PH.Matriz;Predio.Publico.Ejido
826414;470010107000000770901900000000;PH.Matriz;Predio.Publico.Ejido
658092;470010107000000130903900000000;PH.Matriz;Predio.Publico.Ejido
985021;470010107000000100906900000000;PH.Matriz;Predio.Publico.Ejido
658597;470010107000000210902900000000;PH.Matriz;Predio.Publico.Ejido
698794;470010107000000150903900000000;PH.Matriz;Predio.Publico.Ejido
955045;470010107000000170902900000000;PH.Matriz;Predio.Publico.Ejido
958927;470010110000000400901900000000;PH.Matriz;Predio.Publico.Ejido
927867;470010104000000320903900000000;PH.Matriz;Predio.Publico.Ejido
861805;470010107000000090904900000000;PH.Matriz;Predio.Publico.Ejido
734169;470010105000000300901900000000;PH.Matriz;Predio.Publico.Ejido
940155;470010107000000300903900000000;PH.Matriz;Predio.Publico.Ejido
958629;470010107000000450901900000000;PH.Matriz;Predio.Publico.Ejido
695159;470010104000000610901900000000;PH.Matriz;Predio.Publico.Ejido
671717;470010107000000200901900000000;PH.Matriz;Predio.Publico.Ejido
675329;470010108000000180901900000000;PH.Matriz;Predio.Publico.Ejido
1056930;470010110000000400904900000000;PH.Matriz;Predio.Publico.Ejido
1067407;470010107000000080907900000000;PH.Matriz;Predio.Publico.Ejido
758472;470010107000000740901900000000;PH.Matriz;Predio.Publico.Ejido
958454;470010107000001480901900000000;PH.Matriz;Predio.Publico.Ejido
934193;470010110000000620901900000000;PH.Matriz;Predio.Publico.Ejido
675407;470010108000000140902900000000;PH.Matriz;Predio.Publico.Ejido
963775;470010107000000080911900000000;PH.Matriz;Predio.Publico.Ejido
698822;470010107000000410902900000000;PH.Matriz;Predio.Publico.Ejido
1057026;470010107000000430901900000000;PH.Matriz;Predio.Publico.Ejido
1008090;470010107000000190904900000000;PH.Matriz;Predio.Publico.Ejido
1006947;470010104000000740901900000000;PH.Matriz;Predio.Publico.Ejido
1056285;470010107000000280904900000000;PH.Matriz;Predio.Publico.Ejido
663228;470010113000000310901900000000;PH.Matriz;Predio.Publico.Ejido
1011991;470010107000000070901900000000;PH.Matriz;Predio.Publico.Ejido
916841;470010107000000690904900000000;PH.Matriz;Predio.Publico.Ejido
1008106;470010110000000190905900000000;PH.Matriz;Predio.Publico.Ejido
826398;470010108000000170901900000000;PH.Matriz;Predio.Publico.Ejido
985002;470010104000000170901900000000;PH.Matriz;Predio.Publico.Ejido
896989;470010107000000060905900000000;PH.Matriz;Predio.Publico.Ejido
676077;470010104000000750901900000000;PH.Matriz;Predio.Publico.Ejido
1025317;470010104000000320904900000000;PH.Matriz;Predio.Publico.Ejido
955034;470010107000000310903900000000;PH.Matriz;Predio.Publico.Ejido
1053527;470010104000000020902900000000;PH.Matriz;Predio.Publico.Ejido
1017149;470010107000000950901900000000;PH.Matriz;Predio.Publico.Ejido
838467;470010110000000870902900000000;PH.Matriz;Predio.Publico.Ejido
796955;470010108000000060902900000000;PH.Matriz;Predio.Publico.Ejido
1068335;470010104000000290901900000000;PH.Matriz;Predio.Publico.Ejido
796609;470010107000000070904900000000;PH.Matriz;Predio.Publico.Ejido
826867;470010110000000480902900000000;PH.Matriz;Predio.Publico.Ejido
1028952;470010110000000700902900000000;PH.Matriz;Predio.Publico.Ejido
729801;470010115000006650902900000000;PH.Matriz;Predio.Publico.Ejido
882497;470010110000000510902900000000;PH.Matriz;Predio.Publico.Ejido
926888;470010107000000490901900000000;PH.Matriz;Predio.Publico.Ejido
1033772;470010107000000510901900000000;PH.Matriz;Predio.Publico.Ejido
720553;470010104000000800901900000000;PH.Matriz;Predio.Publico.Ejido
892373;470010104000000760902900000000;PH.Matriz;Predio.Publico.Ejido
958545;470010104000000620904900000000;PH.Matriz;Predio.Publico.Ejido
956589;470010110000000540901900000000;PH.Matriz;Predio.Publico.Ejido
1060261;470010110000000650902900000000;PH.Matriz;Predio.Publico.Ejido
1003809;470010107000000690902900000000;PH.Matriz;Predio.Publico.Ejido
690353;470010107000000520904900000000;PH.Matriz;Predio.Publico.Ejido
933010;470010107000000540901900000000;PH.Matriz;Predio.Publico.Ejido
817509;470010110000000190904900000000;PH.Matriz;Predio.Publico.Ejido
1015634;470010107000000210903900000000;PH.Matriz;Predio.Publico.Ejido
955078;470010104000000610903900000000;PH.Matriz;Predio.Publico.Ejido
725235;470010102000002410901900000000;PH.Matriz;Predio.Publico.Ejido
826955;470010110000000480904900000000;PH.Matriz;Predio.Publico.Ejido
1066787;470010107000000600901900000000;PH.Matriz;Predio.Publico.Ejido
757014;470010107000000740901900000000;PH.Matriz;Predio.Publico.Ejido
1028424;470010107000000080908900000000;PH.Matriz;Predio.Publico.Ejido
798726;470010107000000120901900000000;PH.Matriz;Predio.Publico.Ejido
1028851;470010107000000100901900000000;PH.Matriz;Predio.Publico.Ejido
963205;470010104000000010901900000000;PH.Matriz;Predio.Publico.Ejido
801691;470010104000000670901900000000;PH.Matriz;Predio.Publico.Ejido
796632;470010107000000080909900000000;PH.Matriz;Predio.Publico.Ejido
725397;470010002000000040909900000000;PH.Matriz;Predio.Publico.Ejido
957265;470010104000000310902900000000;PH.Matriz;Predio.Publico.Ejido
796787;470010107000000180902900000000;PH.Matriz;Predio.Publico.Ejido
695586;470010107000000530903900000000;PH.Matriz;Predio.Publico.Ejido
931306;470010104000000330903900000000;PH.Matriz;Predio.Publico.Ejido
1038308;470010104000000300905900000000;PH.Matriz;Predio.Publico.Ejido
1029608;470010104000000760901900000000;PH.Matriz;Predio.Publico.Ejido
959521;470010107000000630902900000000;PH.Matriz;Predio.Publico.Ejido
992350;470010107000000270905900000000;PH.Matriz;Predio.Publico.Ejido
725289;470010102000002500901900000000;PH.Matriz;Predio.Publico.Ejido
928164;470010107000000060904900000000;PH.Matriz;Predio.Publico.Ejido
666429;470010110000000800901900000000;PH.Matriz;Predio.Publico.Ejido
940225;470010104000000640901900000000;PH.Matriz;Predio.Publico.Ejido
977586;470010110000002430901900000000;PH.Matriz;Predio.Publico.Ejido
964616;470010110000000710901900000000;PH.Matriz;Predio.Publico.Ejido
1028874;470010107000000490906900000000;PH.Matriz;Predio.Publico.Ejido
957798;470010110000000910901900000000;PH.Matriz;Predio.Publico.Ejido
752308;470010110000000640901900000000;PH.Matriz;Predio.Publico.Ejido
775572;470010107000000150901900000000;PH.Matriz;Predio.Publico.Ejido
1008059;470010107000000230901900000000;PH.Matriz;Predio.Publico.Ejido
1066471;470010107000000100905900000000;PH.Matriz;Predio.Publico.Ejido
1029613;470010107000000500901900000000;PH.Matriz;Predio.Publico.Ejido
1006963;470010104000000560901900000000;PH.Matriz;Predio.Publico.Ejido
902412;470010107000000200903900000000;PH.Matriz;Predio.Publico.Ejido
727682;470010107000001210902900000000;PH.Matriz;Predio.Publico.Ejido
664984;470010104000000330902900000000;PH.Matriz;Predio.Publico.Ejido
1044568;470010107000000370901900000000;PH.Matriz;Predio.Publico.Ejido
957733;470010107000000410904900000000;PH.Matriz;Predio.Publico.Ejido
941373;470010110000001670901900000000;PH.Matriz;Predio.Publico.Ejido
802141;470010110000000870901900000000;PH.Matriz;Predio.Publico.Ejido
1017046;470010107000000280905900000000;PH.Matriz;Predio.Publico.Ejido
826341;470010107000000280903900000000;PH.Matriz;Predio.Publico.Ejido
1052573;470010107000000090903900000000;PH.Matriz;Predio.Publico.Ejido
1021028;470010110000000680903900000000;PH.Matriz;Predio.Publico.Ejido
1067204;470010107000000070902900000000;PH.Matriz;Predio.Publico.Ejido
796627;470010107000000370902900000000;PH.Matriz;Predio.Publico.Ejido
1056289;470010107000000280904900000000;PH.Matriz;Predio.Publico.Ejido
661900;470010110000000620903900000000;PH.Matriz;Predio.Publico.Ejido
932207;470010110000000580901900000000;PH.Matriz;Predio.Publico.Ejido
672220;470010107000000190901900000000;PH.Matriz;Predio.Publico.Ejido
826382;470010108000000020901900000000;PH.Matriz;Predio.Publico.Ejido
689352;470010110000000380907900000000;PH.Matriz;Predio.Publico.Ejido
956222;470010107000000320901900000000;PH.Matriz;Predio.Publico.Ejido
958400;470010107000000570901900000000;PH.Matriz;Predio.Publico.Ejido
914671;470010107000001300901900000000;PH.Matriz;Predio.Publico.Ejido
977489;470010110000000190907900000000;PH.Matriz;Predio.Publico.Ejido
758652;470010107000000740901900000000;PH.Matriz;Predio.Publico.Ejido
1048835;470010104000000590901900000000;PH.Matriz;Predio.Publico.Ejido
940151;470010107000000210905900000000;PH.Matriz;Predio.Publico.Ejido
1028823;470010107000000320903900000000;PH.Matriz;Predio.Publico.Ejido
1014479;470010104000000550902900000000;PH.Matriz;Predio.Publico.Ejido
1018240;470010107000000250901900000000;PH.Matriz;Predio.Publico.Ejido
958856;470010104000000660902900000000;PH.Matriz;Predio.Publico.Ejido
958962;470010110000000380903900000000;PH.Matriz;Predio.Publico.Ejido
1048768;470010104000000310903900000000;PH.Matriz;Predio.Publico.Ejido
657821;470010002000000070905900000000;PH.Matriz;Predio.Publico.Ejido
790039;470010104000000270901900000000;PH.Matriz;Predio.Publico.Ejido
931308;470010106000000560901900000000;PH.Matriz;Predio.Publico.Ejido
1043954;470010107000000130908900000000;PH.Matriz;Predio.Publico.Ejido
690059;470010104000000300903900000000;PH.Matriz;Predio.Publico.Ejido
662582;470010107000000130906900000000;PH.Matriz;Predio.Publico.Ejido
1007898;470010110000000030901900000000;PH.Matriz;Predio.Publico.Ejido
1007873;470010107000000130902900000000;PH.Matriz;Predio.Publico.Ejido
664415;470010107000000610901900000000;PH.Matriz;Predio.Publico.Ejido
1041225;470010110000000690901900000000;PH.Matriz;Predio.Publico.Ejido
1056960;470010110000000650901900000000;PH.Matriz;Predio.Publico.Ejido
777843;470010104000000300901900000000;PH.Matriz;Predio.Publico.Ejido
958744;470010107000000460902900000000;PH.Matriz;Predio.Publico.Ejido
1060928;470010107000000080912900000000;PH.Matriz;Predio.Publico.Ejido
796750;470010107000000200902900000000;PH.Matriz;Predio.Publico.Ejido
667672;470010110000000400903900000000;PH.Matriz;Predio.Publico.Ejido
956643;470010110000000610901900000000;PH.Matriz;Predio.Publico.Ejido
796661;470010107000000160902900000000;PH.Matriz;Predio.Publico.Ejido
720084;470010104000000550901900000000;PH.Matriz;Predio.Publico.Ejido
953080;470010107000000630901900000000;PH.Matriz;Predio.Publico.Ejido
685663;470010002000000070903900000000;PH.Matriz;Predio.Publico.Ejido
1042687;470010110000000680901900000000;PH.Matriz;Predio.Publico.Ejido
1067679;470010107000000500902900000000;PH.Matriz;Predio.Publico.Ejido
926252;470010107000000460903900000000;PH.Matriz;Predio.Publico.Ejido
1067338;470010110000001600901900000000;PH.Matriz;Predio.Publico.Ejido
698803;470010104000000030901900000000;PH.Matriz;Predio.Publico.Ejido
775136;470010107000000090905900000000;PH.Matriz;Predio.Publico.Ejido
1028683;470010107000000210901900000000;PH.Matriz;Predio.Publico.Ejido
660674;470010110000000570902900000000;PH.Matriz;Predio.Publico.Ejido
963827;470010107000000100904900000000;PH.Matriz;Predio.Publico.Ejido
931758;470010107000000630904900000000;PH.Matriz;Predio.Publico.Ejido
1067423;470010107000000240901900000000;PH.Matriz;Predio.Publico.Ejido
829274;470010110000000660901900000000;PH.Matriz;Predio.Publico.Ejido
955066;470010107000000490904900000000;PH.Matriz;Predio.Publico.Ejido
1067481;470010107000000450902900000000;PH.Matriz;Predio.Publico.Ejido
1015955;470010104000000570902900000000;PH.Matriz;Predio.Publico.Ejido
930022;470010110000000470901900000000;PH.Matriz;Predio.Publico.Ejido
826333;470010108000000160903900000000;PH.Matriz;Predio.Publico.Ejido
981928;470010107000000690907900000000;PH.Matriz;Predio.Publico.Ejido
667918;470010110000000830901900000000;PH.Matriz;Predio.Publico.Ejido
826346;470010108000000110901900000000;PH.Matriz;Predio.Publico.Ejido
940163;470010107000000300901900000000;PH.Matriz;Predio.Publico.Ejido
933050;470010107000000450904900000000;PH.Matriz;Predio.Publico.Ejido
760133;470010110000001130901900000000;PH.Matriz;Predio.Publico.Ejido
1068312;470010107000000720901900000000;PH.Matriz;Predio.Publico.Ejido
940143;470010107000000150904900000000;PH.Matriz;Predio.Publico.Ejido
1035454;470010107000000300905900000000;PH.Matriz;Predio.Publico.Ejido
790000;470010110000001590901900000000;PH.Matriz;Predio.Publico.Ejido
675552;470010110000002530901900000000;PH.Matriz;Predio.Publico.Ejido
796716;470010107000000230902900000000;PH.Matriz;Predio.Publico.Ejido
1052562;470010107000000100909900000000;PH.Matriz;Predio.Publico.Ejido
1024925;470010110000000610903900000000;PH.Matriz;Predio.Publico.Ejido
1064411;470010110000000190903900000000;PH.Matriz;Predio.Publico.Ejido
826391;470010107000000080901900000000;PH.Matriz;Predio.Publico.Ejido
746302;470010110000000190901900000000;PH.Matriz;Predio.Publico.Ejido
663147;470010107000000490902900000000;PH.Matriz;Predio.Publico.Ejido
958863;470010107000000120904900000000;PH.Matriz;Predio.Publico.Ejido
671797;470010110000000640905900000000;PH.Matriz;Predio.Publico.Ejido
830164;470010110000000730901900000000;PH.Matriz;Predio.Publico.Ejido
807783;470010110000000530902900000000;PH.Matriz;Predio.Publico.Ejido
1068203;470010110000000620902900000000;PH.Matriz;Predio.Publico.Ejido
931274;470010104000000300904900000000;PH.Matriz;Predio.Publico.Ejido
681811;470010107000000160901900000000;PH.Matriz;Predio.Publico.Ejido
692746;470010110000000100901900000000;PH.Matriz;Predio.Publico.Ejido
666274;470010104000000320901900000000;PH.Matriz;Predio.Publico.Ejido
1009655;470010104000000730901900000000;PH.Matriz;Predio.Publico.Ejido
916419;470010110000000190906900000000;PH.Matriz;Predio.Publico.Ejido
1004192;470010110000000670901900000000;PH.Matriz;Predio.Publico.Ejido
777066;470010104000000130901900000000;PH.Matriz;Predio.Publico.Ejido
684976;470010107000000310905900000000;PH.Matriz;Predio.Publico.Ejido
922288;470010104000000330901900000000;PH.Matriz;Predio.Publico.Ejido
1000039;470010104000000320902900000000;PH.Matriz;Predio.Publico.Ejido
958592;470010107000000450903900000000;PH.Matriz;Predio.Publico.Ejido
720135;470010104000000620902900000000;PH.Matriz;Predio.Publico.Ejido
913733;470010002000000040901900000000;PH.Matriz;Predio.Publico.Ejido
1021376;470010104000000660903900000000;PH.Matriz;Predio.Publico.Ejido
1056322;470010107000000300904900000000;PH.Matriz;Predio.Publico.Ejido
826906;470010107000000400901900000000;PH.Matriz;Predio.Publico.Ejido
690143;470010107000000520901900000000;PH.Matriz;Predio.Publico.Ejido
861971;470010104000000630901900000000;PH.Matriz;Predio.Publico.Ejido
1020658;470010104000000030902900000000;PH.Matriz;Predio.Publico.Ejido
953052;470010108000000180902900000000;PH.Matriz;Predio.Publico.Ejido
1020691;470010107000000220902900000000;PH.Matriz;Predio.Publico.Ejido
1008073;470010107000000950902900000000;PH.Matriz;Predio.Publico.Ejido
659757;470010107000000130905900000000;PH.Matriz;Predio.Publico.Ejido
