t_id_predio;numero_predial;condicion_predio;destinacion_economica;tipo_predio
1042600;470010107000000530903901010075;PH.Unidad_Predial;Forestal;Predio.Publico.Ejido
770928;470010110000000260001200000009;Informal;Forestal;Predio.Publico.Ejido
1040759;470010105000000230902900000304;PH.Unidad_Predial;Forestal;Predio.Publico.Ejido
980366;470010113000000740901900000014;PH.Unidad_Predial;Forestal;Predio.Publico.Ejido
841326;470010103000004620007500000444;Parque_Cementerio.Unidad_Predial;Forestal;Predio.Publico.Ejido
3022095;470010110000000400904901000595;PH.Unidad_Predial;Forestal;Predio.Publico.Ejido
3009267;470010110000000530902901010105;PH.Unidad_Predial;Forestal;Predio.Publico.Ejido
776212;470010110000000640905901020995;PH.Unidad_Predial;Forestal;Predio.Publico.Ejido
3018672;470010107000000490905901000533;PH.Unidad_Predial;Forestal;Predio.Publico.Ejido
800498;470010106000001160001000000000;NPH;Forestal;Predio.Publico.Ejido
790665;470010106000005950009000000000;NPH;Forestal;Predio.Publico.Ejido
972199;470010104000001640003000000000;NPH;Forestal;Predio.Publico.Ejido
754621;470010103000005040001500000004;Parque_Cementerio.Unidad_Predial;Forestal;Predio.Publico.Ejido
1067058;470010115000006650904900002719;PH.Unidad_Predial;Forestal;Predio.Publico.Ejido
718195;470010110000000570902900000084;PH.Unidad_Predial;Forestal;Predio.Publico.Ejido
3019641;470010107000000280904901150365;PH.Unidad_Predial;Forestal;Predio.Publico.Ejido
3016713;470010107000000490904901010173;PH.Unidad_Predial;Forestal;Predio.Publico.Ejido
3006837;470010110000000400902901030114;PH.Unidad_Predial;Forestal;Predio.Publico.Ejido
922712;470010107000000740901902030137;PH.Unidad_Predial;Forestal;Predio.Publico.Ejido
1067381;470010105000002320002000000000;NPH;Forestal;Predio.Publico.Ejido
914081;470010106000010880040500000001;Parque_Cementerio.Unidad_Predial;Forestal;Predio.Publico.Ejido
3011745;470010110000000870902901070212;PH.Unidad_Predial;Forestal;Predio.Publico.Ejido
756541;470010105000002480013500000004;Parque_Cementerio.Unidad_Predial;Forestal;Predio.Publico.Ejido
