t_id_unidadconstruccion;t_id_caracteristicaunidadconstruccion;tipo_unidad_construccion;uso_construccion;total_habitaciones
1201522;28351;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1236758;61296;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1259169;14316;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1261061;34509;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1281210;23023;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1236103;69962;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1212219;40857;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1208065;34200;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1268281;11299;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1209660;41504;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1257983;29423;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1255037;77590;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1202440;11870;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1210673;34515;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1218410;12170;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1273487;3202;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1241254;83749;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1204536;28087;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1277955;52331;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1209827;82186;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1272119;9297;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1193751;45200;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1254845;53507;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1201997;43343;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1202131;56810;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1222238;19735;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1215433;30165;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1208621;13680;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1208193;46216;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1194291;51746;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1204007;38672;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1188346;6447;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1238203;37771;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1203053;28222;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1249124;45142;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1272330;34195;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1199384;22686;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1266373;8011;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1206801;21594;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1264515;2343;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1205371;34964;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1223172;8729;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1226495;6934;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1195810;63552;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1253967;24716;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1202790;34457;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1207315;33098;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1222041;29056;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1203699;4840;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1279253;47828;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1203417;61596;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1229865;9364;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1248734;83520;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1240348;39778;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1219176;21158;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1252571;11988;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1197538;13444;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1222500;12624;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1254626;44732;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1253324;23012;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1223659;18781;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1246402;52283;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1238517;22690;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1278115;7028;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1238043;535;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1264610;46233;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1270982;23919;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1269270;57310;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1221263;45318;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1195372;42831;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1277468;12951;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1193419;51269;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1256132;47903;Residencial;Residencial.Apartamentos_Mas_De_4_Pisos;0
1250120;18333;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1270435;22975;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1225313;35297;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1204184;6170;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1199901;58511;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1240173;1466;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1278432;6060;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1250008;4677;Residencial;Residencial.Apartamentos_Mas_De_4_Pisos;0
1247606;70413;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1212177;30126;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1226407;82413;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1190596;33887;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1220159;20631;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1209676;28444;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1205108;15190;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1259101;4833;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1262706;8396;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1268472;34357;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1200686;66746;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1274713;6834;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1210950;41205;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1247464;35554;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1249651;27458;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1198081;41647;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1206254;2686;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1261006;26517;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1214976;46912;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1263735;60601;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1273342;63222;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1231396;1253;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1240090;71686;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1273902;5315;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
