t_id_predio;numero_predial;vigencia_actualizacion_catastral
980901;470010108000000010901903131000;2023-01-04
957651;470010108000000160902901010145;2023-01-04
960106;470010110000000020003000000000;2023-02-02
928531;470010108000000140902901070108;2023-01-04
748760;470010110000000400904901000618;2023-02-02
1024979;470010110000000380903900001185;2023-02-02
1048693;470010002000000070905927020527;2023-01-21
974348;470010107000000460903901050187;2023-01-04
750242;470010110000000540903901030144;2023-02-02
1064885;470010108000000180903901110281;2023-01-04
754065;470010110000000640905901010933;2023-02-02
658057;470010104000000300008000000000;2023-01-04
966675;470010107000000490904901090264;2023-01-04
799286;470010110000000730901901020272;2023-02-02
971228;470010107000000460903901020263;2023-01-04
947747;470010104000000130902901110059;2023-01-04
659785;470010002000000070902908050157;2022-12-20
1033250;470010110000000380901902020128;2023-02-02
1012017;470010104000000650901901100508;2023-01-04
693180;470010110000000250040000000000;2023-02-02
1032798;470010110000000830901901080803;2023-02-02
1064440;470010107000000460903901060189;2023-01-04
751816;470010110000000630901901020304;2023-02-02
864437;470010107000000930902901010066;2023-01-04
959753;470010107000000130009000000000;2023-01-04
967256;470010107000000120902901000146;2023-01-04
1066413;470010002000000049983000000000;2023-01-21
3025029;470010107000000280904901020224;2023-01-04
784011;470010107000000070904901030152;2023-01-04
955899;470010110000000400904901000649;2023-02-02
3010704;470010106000000560901903020140;2023-01-21
819390;470010107000000410903901040079;2023-01-04
944751;470010107000000430902901010064;2023-01-04
1038399;470010104000000010901901060123;2023-01-04
986778;470010110000000530902901020049;2023-02-02
1037447;470010110000000640902914010205;2023-02-02
1048705;470010106000000560901903040158;2023-01-21
1069149;470010110000000380906901021561;2023-02-02
846071;470010104000000180022000000000;2023-01-04
1049314;470010104000000610903901010100;2023-01-04
972824;470010107000000310905901020132;2023-01-04
1036522;470010002000000070903910020186;2023-01-23
3018201;470010110000000380903901020578;2023-02-02
1042638;470010107000000480901901010076;2023-01-04
664013;470010107000000300905901070704;2023-01-04
959501;470010110000000640905901020854;2023-02-02
3017988;470010110000000380904901000079;2023-02-02
753774;470010110000000640903903060575;2023-02-02
1010521;470010107000000220903901070095;2023-01-04
750382;470010002000000044736000000000;2022-07-20
799250;470010104000000700005000000000;2023-01-04
3021930;470010110000000540902901030110;2023-02-02
989846;470010110000000380901901080375;2023-02-02
749619;470010114000001000001000000000;2022-07-20
1064962;470010110000000530902901050224;2023-02-02
956753;470010110000000870901900000014;2023-02-02
772964;470010107000000740901902080031;2023-01-04
987031;470010107000000690907901120458;2023-01-04
803397;470010107000000280906901010544;2023-01-04
980745;470010110000000620903901990533;2023-02-02
3007344;470010107000000080910901010401;2023-01-04
746241;470010110000000170801800000006;2023-02-02
972729;470010107000000080913901010031;2023-01-04
866738;470010104000000300904901020092;2023-01-04
1042754;470010110000000480904901140214;2023-02-02
1049428;470010110000000570902900000148;2023-02-02
968198;470010107000000260902901010002;2023-01-04
1025164;470010107000000490907901130036;2023-01-04
3011811;470010110000000710901901050178;2023-02-02
683268;470010107000000400902901070055;2023-01-04
3011073;470010110000000530902901020052;2023-02-02
1032961;470010108000000070801800000036;2023-01-04
664375;470010106000000560901902080123;2023-01-21
3015030;470010107000000490905901130334;2023-01-04
721201;470010002000000070902911050218;2022-12-20
3019023;470010104000000300905901080802;2023-01-04
818904;470010110000000830901901151508;2023-02-02
972316;470010104000000280902901140191;2023-01-04
3010092;470010110000000380901902010039;2023-02-02
1033198;470010104000000610903901010109;2023-01-04
3023289;470010107000001310801800000016;2023-01-04
814339;470010107000000490901901020038;2023-01-04
948478;470010107000000310905901000196;2023-01-04
987386;470010110000000570902900000078;2023-02-02
3015834;470010110000000620902901150455;2023-02-02
718703;470010107000000610001500000006;2023-01-04
864188;470010110000000910901901070073;2023-02-02
1049616;470010104000000270901901080036;2023-01-04
3010449;470010107000000690907901160325;2023-01-04
3018369;470010107000001210904901100205;2023-01-04
1052740;470010110000000570902900000100;2023-02-02
978883;470010108000000010901903010647;2023-01-04
948332;470010104000000640901901021020;2023-01-04
965582;470010107000000460903901030322;2023-01-04
953147;470010110000000260059000000000;2023-02-02
1044272;470010107000000200903901020044;2023-01-04
1041191;470010110000001050009000000000;2023-01-04
694253;470010107000000070902901030037;2023-01-04
692994;470010110000000100901901000176;2023-02-02
698992;470010110000000440001000000000;2023-02-02
802053;470010107000000060131000000000;2023-01-04
3011568;470010107000000080909901050384;2023-01-04
666516;470010110000000830901901111101;2023-02-02
664383;470010110000000830901901070708;2023-02-02
862916;470010110000000960006000000000;2023-01-04
720465;470010104000000730901901090031;2023-01-04
3022395;470010110000000640902903010190;2023-02-02
1065191;470010104000000300904901020116;2023-01-04
942150;470010107000000200904901100099;2023-01-04
949184;470010110000000570902900000075;2023-02-02
989259;470010110000000610901901990030;2023-02-02
965468;470010107000000230077000000000;2023-01-04
1000153;470010110000000910901901070087;2023-02-02
968380;470010107000000460903901040181;2023-01-04
683782;470010107000000250901901040029;2023-01-04
804142;470010108000000010901904081098;2023-01-04
678061;470010001000000020801800002415;2022-12-27
705314;470010110000000630901901020156;2023-02-02
984643;470010108000000010901901100494;2023-01-04
981317;470010107000001310001000000000;2023-01-04
945096;470010002000000070905911040214;2023-01-21
753698;470010110000000640903902120540;2023-02-02
1015220;470010108000000010901903151019;2023-01-04
1042519;470010107000000270905901010230;2023-01-04
968753;470010107000000060151000000000;2023-01-04
1042600;470010107000000530903901010075;2023-01-04
1041794;470010110000000690901901160078;2023-02-02
751078;470010800000000620001000000000;2022-07-20
1015223;470010110000000380907901131689;2023-02-02
717944;470010110000001200005200000001;2023-02-02
1033230;470010110000000380903901070652;2023-02-02
750350;470010110000000540903901060158;2023-02-02
1028858;470010104000000010004000000000;2023-01-04
668253;470010107000000280904901010189;2023-01-04
974450;470010107000000280903901040060;2023-01-04
3015312;470010108000000020902901040187;2023-01-04
3009396;470010104000000630901901140054;2023-01-04
761988;470010002000000076901903030355;2023-01-21
981988;470010107000000630904901020327;2023-01-04
1042495;470010108000000010901904011329;2023-01-04
747914;470010110000000380907901131685;2023-02-02
866102;470010107000000740901901020092;2023-01-04
1012081;470010107000000610901901030032;2023-01-04
3019914;470010104000000290901901090154;2023-01-04
