t_id_predio;numero_predial;condicion_predio;destinacion_economica
789338;470010106000009060016000000000;NPH;Forestal
3010245;470010107000000170903901010178;PH.Unidad_Predial;Forestal
3024276;470010107000000490905902150413;PH.Unidad_Predial;Forestal
3008547;470010107000000490903901030096;PH.Unidad_Predial;Forestal
900448;470010103000007980025500000001;Parque_Cementerio.Unidad_Predial;Forestal
3011553;470010110000000380901902020094;PH.Unidad_Predial;Forestal
923719;470010106000007020801800000018;Condominio.Unidad_Predial;Forestal
856052;470010900000001120003000000000;NPH;Forestal
3012744;470010110000000620901901000005;PH.Unidad_Predial;Forestal
800759;470010102000002890038000000000;NPH;Forestal
3019857;470010107000000280904902060400;PH.Unidad_Predial;Forestal
3014217;470010107000000950902903010016;PH.Unidad_Predial;Forestal
3016698;470010107000000490904901170281;PH.Unidad_Predial;Forestal
1014837;470010110000000630901901020129;PH.Unidad_Predial;Forestal
1026693;470010104000000280014000000000;NPH;Agropecuario
1052850;470010110000000640905901041031;PH.Unidad_Predial;Forestal
3023364;470010107000000630903901150173;PH.Unidad_Predial;Forestal
965037;470010107000000410904901010100;PH.Unidad_Predial;Forestal
966188;470010104000000610903901010071;PH.Unidad_Predial;Forestal
3022737;470010107000001570801800000040;Condominio.Unidad_Predial;Forestal
1041284;470010110000000660901901000090;PH.Unidad_Predial;Forestal
3015141;470010107000000150904901010256;PH.Unidad_Predial;Forestal
989758;470010107000000600902901060121;PH.Unidad_Predial;Forestal
963131;470010103000003360118000000000;NPH;Forestal
3021015;470010110000000400904901020827;PH.Unidad_Predial;Forestal
1052847;470010110000000400902901100136;PH.Unidad_Predial;Forestal
1020955;470010107000000630904901030347;PH.Unidad_Predial;Forestal
1060788;470010107000000240901901120058;PH.Unidad_Predial;Forestal
3017106;470010104000000010901901100162;PH.Unidad_Predial;Agropecuario
3010644;470010107000000630904901020328;PH.Unidad_Predial;Forestal
3015327;470010110000000620902901150448;PH.Unidad_Predial;Forestal
3008859;470010110000000480904901990235;PH.Unidad_Predial;Forestal
795240;470010110000000380901901010184;PH.Unidad_Predial;Forestal
969320;470010115000005470005000000000;NPH;Forestal
1036797;470010107000001360011000000000;NPH;Forestal
1042187;470010110000000870902901000069;PH.Unidad_Predial;Forestal
3011757;470010107000000690907901040406;PH.Unidad_Predial;Forestal
995586;470010103000003060016000000000;NPH;Forestal
3008166;470010110000000830901902060614;PH.Unidad_Predial;Forestal
3010611;470010110000000620901901000030;PH.Unidad_Predial;Forestal
1012384;470010107000000150904901010291;PH.Unidad_Predial;Forestal
926351;470010107000000170003000000000;NPH;Forestal
965365;470010104000000640901901041004;PH.Unidad_Predial;Forestal
978361;470010107000000630904901170428;PH.Unidad_Predial;Forestal
1015211;470010110000000380903901001241;PH.Unidad_Predial;Forestal
832586;470010106000009390009500000001;Parque_Cementerio.Unidad_Predial;Forestal
1043060;470010104000000300903901030102;PH.Unidad_Predial;Agropecuario
856949;470010106000009040056500000001;Parque_Cementerio.Unidad_Predial;Forestal
923968;470010112000000260018000000000;NPH;Forestal
974011;470010107000000190905901150268;PH.Unidad_Predial;Forestal
862745;470010106000006640044500000001;Parque_Cementerio.Unidad_Predial;Forestal
3012408;470010110000000380901902010032;PH.Unidad_Predial;Forestal
927711;470010104000000660002000000000;NPH;Forestal
770097;470010103000004980004500000002;Parque_Cementerio.Unidad_Predial;Forestal
788295;470010900000002030009000000000;NPH;Agropecuario
3020289;470010107000000490905901000509;PH.Unidad_Predial;Forestal
945272;470010104000000280902901070162;PH.Unidad_Predial;Forestal
3013230;470010104000000650901901150545;PH.Unidad_Predial;Forestal
974930;470010107000000410901901020023;PH.Unidad_Predial;Forestal
797944;470010115000006220017000000000;NPH;Forestal
753701;470010106000006640055500000001;Parque_Cementerio.Unidad_Predial;Forestal
3009612;470010110000000680902901010034;PH.Unidad_Predial;Forestal
1012168;470010108000000010901903080945;PH.Unidad_Predial;Forestal
1010019;470010110000000620901901050098;PH.Unidad_Predial;Forestal
970821;470010107000000080905901100222;PH.Unidad_Predial;Forestal
970942;470010104000000540901901010218;PH.Unidad_Predial;Agropecuario
882200;470010112000000450001500000031;Parque_Cementerio.Unidad_Predial;Forestal
